,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score
0,1397,230137091,252218264,1.0,51363.0,29228.0,13.0,34.0,1.0,0.0,1.0,7459.0,0.0,0.0,59.0,6520.0,51335.0,37003.0,75.0,12.0,63.0,46.0,415.0,B
1,1466,87237285,109079457,1.0,8796.0,5640.0,4.0,0.0,0.0,0.0,0.0,8752.0,0.0,0.0,20.0,1274.0,8796.0,7621.0,4.0,5.0,0.0,5.0,75.0,B
2,1466,841411834,848808342,1.0,40430.0,24350.0,3.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,5558.0,40408.0,29102.0,40.0,7.0,56.0,57.0,149.0,B
3,1715,196475671,226948323,1.0,53406.0,34862.0,7.0,12.0,1.0,0.0,0.0,440.0,0.0,0.0,88.0,8379.0,53135.0,45270.0,25.0,11.0,26.0,39.0,401.0,B
4,1748,157055342,236010068,1.0,3654.0,2202.0,6.0,1.0,0.0,0.0,0.0,3451.0,0.0,0.0,4.0,474.0,3457.0,2669.0,0.0,3.0,0.0,5.0,66.0,Start
5,2154,139574404,143567231,1.0,54439.0,32170.0,3.0,47.0,8.0,0.0,0.0,531.0,0.0,0.0,70.0,6831.0,54301.0,39618.0,56.0,9.0,65.0,75.0,392.0,B
6,3117,74476213,112675232,1.0,12894.0,7813.0,5.0,8.0,0.0,0.0,0.0,12847.0,0.0,0.0,29.0,1788.0,12861.0,9896.0,15.0,5.0,10.0,9.0,59.0,B
7,3144,244706011,246638363,1.0,14209.0,9300.0,2.0,0.0,0.0,0.0,0.0,6049.0,0.0,0.0,38.0,2260.0,14159.0,12830.0,8.0,7.0,3.0,10.0,60.0,C
8,3390,20387799,21981248,1.0,47605.0,27946.0,5.0,0.0,0.0,0.0,0.0,47498.0,0.0,0.0,75.0,6169.0,47588.0,38699.0,89.0,13.0,0.0,8.0,400.0,B
9,3430,64030048,77613918,1.0,12339.0,7388.0,2.0,1.0,0.0,0.0,0.0,12225.0,0.0,0.0,22.0,1691.0,12257.0,9892.0,22.0,5.0,0.0,4.0,129.0,B
10,4644,413222556,413280803,1.0,17434.0,11089.0,15.0,5.0,11.0,0.0,1.0,1228.0,0.0,0.0,17.0,2409.0,17260.0,13000.0,9.0,9.0,6.0,40.0,108.0,C
11,5642,128045340,131132879,1.0,3841.0,2554.0,1.0,0.0,0.0,0.0,0.0,3792.0,0.0,0.0,16.0,563.0,3800.0,3348.0,0.0,4.0,0.0,3.0,52.0,Start
12,5669,405076016,405076216,1.0,54614.0,30380.0,7.0,53.0,0.0,0.0,1.0,1112.0,0.0,0.0,39.0,6652.0,54195.0,29954.0,41.0,10.0,86.0,105.0,387.0,FA
13,6546,178548971,178587142,1.0,74728.0,48330.0,8.0,18.0,17.0,0.0,0.0,3480.0,0.0,0.0,165.0,10693.0,74556.0,58753.0,37.0,13.0,52.0,61.0,489.0,B
14,7015,295147461,295613723,1.0,12440.0,7591.0,9.0,5.0,2.0,0.0,1.0,5052.0,0.0,2.0,19.0,1565.0,12335.0,8939.0,10.0,8.0,9.0,17.0,95.0,C
15,7023,579256221,579256361,1.0,216095.0,134048.0,12.0,39.0,4.0,28.0,1.0,7218.0,0.0,2.0,273.0,28391.0,215628.0,158375.0,108.0,12.0,242.0,186.0,673.0,B
16,7025,97804545,106411605,1.0,20165.0,12547.0,2.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,37.0,2624.0,20125.0,16399.0,20.0,7.0,4.0,6.0,153.0,B
17,7122,30624003,30697318,1.0,2946.0,1949.0,3.0,0.0,0.0,0.0,0.0,2936.0,0.0,0.0,3.0,438.0,2946.0,2282.0,2.0,2.0,0.0,4.0,26.0,Start
18,7123,309393009,309616058,1.0,56312.0,24393.0,1.0,138.0,11.0,0.0,0.0,6175.0,0.0,0.0,55.0,5403.0,56087.0,19970.0,181.0,7.0,180.0,196.0,252.0,B
19,7201,128271853,131409781,1.0,9298.0,6428.0,2.0,0.0,1.0,0.0,0.0,9222.0,0.0,0.0,17.0,1493.0,9266.0,8808.0,0.0,5.0,0.0,2.0,49.0,B
20,7335,56564270,62466794,1.0,1973.0,1333.0,1.0,0.0,0.0,0.0,0.0,1963.0,0.0,0.0,4.0,308.0,1969.0,1846.0,0.0,1.0,0.0,2.0,9.0,Stub
21,7472,185714741,234371193,1.0,17301.0,10711.0,13.0,0.0,0.0,0.0,0.0,12449.0,0.0,0.0,26.0,2350.0,17219.0,14838.0,4.0,8.0,18.0,7.0,123.0,B
22,7925,386519487,386583054,1.0,71297.0,44997.0,22.0,9.0,6.0,0.0,0.0,5228.0,0.0,0.0,130.0,9938.0,71020.0,59382.0,18.0,10.0,88.0,52.0,389.0,C
23,7963,98694134,129434202,1.0,2959.0,1825.0,1.0,0.0,0.0,0.0,0.0,2923.0,0.0,0.0,8.0,433.0,2945.0,2552.0,1.0,3.0,0.0,1.0,22.0,Start
24,7966,32133853,41143044,1.0,19768.0,12466.0,5.0,0.0,0.0,0.0,0.0,19703.0,0.0,0.0,54.0,2794.0,19751.0,17230.0,0.0,12.0,0.0,3.0,337.0,B
25,8478,91954275,99333810,1.0,9388.0,5708.0,1.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,20.0,1239.0,9364.0,8007.0,12.0,5.0,7.0,3.0,58.0,B
26,8513,542123711,542128872,1.0,66967.0,43757.0,1.0,2.0,2.0,0.0,0.0,59314.0,0.0,0.0,104.0,9811.0,66945.0,60463.0,12.0,13.0,12.0,32.0,262.0,B
27,9130,209496483,210968165,1.0,29691.0,18304.0,12.0,0.0,2.0,0.0,1.0,11683.0,0.0,0.0,58.0,4103.0,29672.0,23574.0,25.0,8.0,6.0,11.0,337.0,B
28,9531,29212293,29265644,1.0,34425.0,20525.0,4.0,3.0,0.0,0.0,0.0,34242.0,0.0,0.0,73.0,4455.0,34310.0,24966.0,27.0,9.0,0.0,71.0,363.0,FA
29,10338,678632181,713444647,1.0,67232.0,42395.0,14.0,37.0,9.0,0.0,0.0,4496.0,0.0,0.0,127.0,9252.0,67198.0,52288.0,44.0,9.0,71.0,70.0,205.0,C
30,10436,457524889,495353283,1.0,10875.0,5320.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1098.0,10331.0,5512.0,12.0,6.0,17.0,26.0,79.0,C
31,10803,355976192,355980804,1.0,35188.0,21164.0,2.0,3.0,1.0,12.0,1.0,9148.0,0.0,0.0,34.0,4240.0,34526.0,25580.0,26.0,11.0,10.0,23.0,307.0,C
32,10823,92083260,95425939,1.0,32739.0,20930.0,8.0,1.0,2.0,0.0,1.0,29539.0,0.0,0.0,54.0,4501.0,32346.0,23568.0,22.0,10.0,4.0,25.0,311.0,B
33,11367,75516077,84136383,1.0,6441.0,3874.0,1.0,0.0,0.0,0.0,0.0,6428.0,0.0,0.0,10.0,839.0,6440.0,5236.0,4.0,3.0,0.0,3.0,88.0,Start
34,11593,676791711,677105346,1.0,83929.0,50431.0,5.0,79.0,1.0,0.0,0.0,985.0,0.0,0.0,142.0,11356.0,83730.0,51316.0,87.0,8.0,155.0,101.0,329.0,B
35,11673,81185027,81185091,1.0,25281.0,15740.0,4.0,0.0,0.0,0.0,1.0,14293.0,0.0,0.0,72.0,3678.0,25208.0,21056.0,26.0,11.0,15.0,9.0,192.0,B
36,11720,84842303,85336620,1.0,22575.0,13139.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,3146.0,22530.0,17042.0,31.0,12.0,16.0,9.0,140.0,B
37,11725,257741594,257747339,1.0,32864.0,19780.0,7.0,27.0,0.0,0.0,0.0,7826.0,0.0,0.0,34.0,4005.0,32735.0,20348.0,32.0,14.0,44.0,36.0,175.0,B
38,13035,131689647,133451408,1.0,13518.0,7508.0,2.0,1.0,0.0,0.0,0.0,11362.0,0.0,0.0,25.0,1842.0,13447.0,10087.0,4.0,10.0,3.0,3.0,66.0,B
39,13633,193438441,198770697,1.0,30016.0,18110.0,7.0,4.0,0.0,0.0,0.0,1710.0,0.0,0.0,48.0,4059.0,29794.0,24716.0,11.0,11.0,10.0,35.0,321.0,C
40,13658,655824844,691356348,1.0,95742.0,59506.0,3.0,73.0,7.0,0.0,1.0,46808.0,0.0,2.0,171.0,13628.0,95612.0,64935.0,62.0,12.0,94.0,152.0,398.0,B
41,13681,73305730,188153566,1.0,42938.0,26473.0,2.0,0.0,0.0,0.0,0.0,42874.0,0.0,0.0,82.0,6020.0,42878.0,39296.0,13.0,8.0,0.0,5.0,231.0,FA
42,13730,231383101,238092556,1.0,15881.0,10175.0,4.0,0.0,1.0,0.0,0.0,15695.0,0.0,0.0,25.0,2375.0,15709.0,13738.0,18.0,6.0,0.0,6.0,136.0,B
43,13930,421122514,421123009,1.0,40523.0,25887.0,3.0,13.0,4.0,0.0,1.0,29100.0,0.0,0.0,66.0,5940.0,40368.0,31361.0,14.0,6.0,22.0,68.0,397.0,C
44,14293,134104071,134176180,1.0,6556.0,4395.0,7.0,0.0,0.0,0.0,1.0,6534.0,0.0,0.0,13.0,963.0,6554.0,4870.0,3.0,4.0,0.0,2.0,56.0,Start
45,14688,34836919,59610385,1.0,6685.0,3835.0,3.0,0.0,0.0,0.0,0.0,6664.0,0.0,0.0,14.0,829.0,6666.0,5634.0,6.0,16.0,0.0,4.0,63.0,Start
46,14761,30194986,30234864,1.0,64218.0,36605.0,4.0,0.0,0.0,0.0,0.0,63444.0,0.0,0.0,112.0,8269.0,63476.0,33785.0,22.0,16.0,0.0,457.0,442.0,B
