,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score
0,689,456689361,456691676,1.0,54306.0,31850.0,2.0,50.0,4.0,0.0,1.0,16640.0,0.0,0.0,54.0,7086.0,53614.0,35635.0,54.0,12.0,68.0,90.0,608.0,B
1,1017,5669209,6042500,1.0,6066.0,3372.0,4.0,0.0,0.0,0.0,0.0,6042.0,0.0,0.0,7.0,751.0,6059.0,4826.0,7.0,3.0,0.0,1.0,84.0,Start
2,1017,6043983,11116548,1.0,7093.0,4102.0,5.0,0.0,0.0,0.0,0.0,7068.0,0.0,0.0,10.0,909.0,7086.0,5813.0,7.0,3.0,0.0,1.0,88.0,B
3,1063,32148444,35022103,1.0,2687.0,1162.0,1.0,0.0,0.0,0.0,0.0,2683.0,0.0,0.0,2.0,296.0,2687.0,1928.0,0.0,3.0,0.0,1.0,8.0,Stub
4,1146,127974275,184294275,1.0,7631.0,4853.0,3.0,0.0,1.0,0.0,0.0,5221.0,0.0,0.0,11.0,1080.0,7611.0,6464.0,4.0,6.0,2.0,7.0,52.0,C
5,1267,35855276,35985847,1.0,2234.0,1368.0,1.0,0.0,0.0,0.0,0.0,2172.0,0.0,0.0,4.0,309.0,2183.0,1742.0,0.0,0.0,0.0,2.0,34.0,Start
6,1419,201132276,201220519,1.0,11093.0,6718.0,2.0,0.0,0.0,0.0,0.0,10892.0,0.0,0.0,16.0,1533.0,10920.0,8068.0,0.0,4.0,0.0,1.0,84.0,B
7,1466,31104516,31110014,1.0,4335.0,2901.0,3.0,0.0,0.0,0.0,0.0,4309.0,0.0,0.0,12.0,630.0,4335.0,3915.0,0.0,2.0,0.0,3.0,43.0,Start
8,1537,236169114,246736838,1.0,87136.0,52085.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,10859.0,86883.0,50768.0,82.0,11.0,119.0,100.0,283.0,B
9,1715,509600674,531870458,1.0,90396.0,59916.0,10.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,151.0,14462.0,89721.0,76493.0,29.0,15.0,92.0,62.0,525.0,B
10,1997,76848933,197581582,1.0,18666.0,10944.0,1.0,15.0,1.0,0.0,0.0,18496.0,0.0,0.0,15.0,2560.0,18554.0,11921.0,4.0,9.0,0.0,18.0,142.0,B
11,2113,521148676,521148782,1.0,11704.0,7149.0,2.0,10.0,0.0,0.0,0.0,11573.0,0.0,0.0,35.0,1694.0,11597.0,7524.0,3.0,7.0,0.0,25.0,55.0,B
12,2154,89447101,123111059,1.0,93914.0,59543.0,5.0,1.0,0.0,0.0,0.0,5162.0,0.0,0.0,177.0,12859.0,93772.0,80513.0,56.0,15.0,36.0,18.0,830.0,FA
13,2167,162625830,191309176,1.0,2887.0,1838.0,1.0,0.0,0.0,0.0,0.0,2879.0,0.0,0.0,6.0,433.0,2887.0,2572.0,2.0,1.0,0.0,2.0,9.0,Start
14,2241,9082796,10457332,1.0,5650.0,3600.0,5.0,0.0,0.0,0.0,0.0,5621.0,0.0,0.0,6.0,779.0,5645.0,4638.0,0.0,1.0,0.0,2.0,85.0,Start
15,2377,138307535,148024971,1.0,31054.0,19993.0,3.0,0.0,2.0,0.0,1.0,7081.0,0.0,0.0,39.0,4139.0,30644.0,24711.0,8.0,17.0,4.0,19.0,424.0,B
16,2547,31410207,31424986,1.0,10780.0,6774.0,4.0,0.0,0.0,0.0,0.0,10743.0,0.0,0.0,17.0,1528.0,10765.0,9281.0,12.0,4.0,0.0,2.0,108.0,B
17,2661,163074031,197581655,1.0,7470.0,4787.0,2.0,0.0,0.0,0.0,0.0,7455.0,0.0,0.0,11.0,1050.0,7455.0,6649.0,2.0,6.0,0.0,8.0,47.0,Start
18,3134,7954611,8146542,1.0,1493.0,911.0,1.0,0.0,0.0,0.0,0.0,1489.0,0.0,0.0,4.0,213.0,1493.0,1210.0,0.0,0.0,0.0,1.0,18.0,Stub
19,3152,93531046,196170390,1.0,18320.0,11854.0,5.0,0.0,6.0,0.0,0.0,18244.0,0.0,0.0,33.0,2856.0,18274.0,17131.0,4.0,11.0,0.0,9.0,81.0,B
20,3253,9442895,20241286,1.0,5217.0,3484.0,0.0,0.0,0.0,0.0,0.0,5204.0,0.0,0.0,23.0,818.0,5216.0,4797.0,1.0,1.0,0.0,3.0,41.0,Start
21,3370,7820413,9360556,1.0,2297.0,1169.0,2.0,0.0,0.0,0.0,0.0,2294.0,0.0,0.0,1.0,241.0,2294.0,1137.0,0.0,0.0,0.0,1.0,34.0,Stub
22,3395,460625406,468324502,1.0,57355.0,35806.0,16.0,27.0,0.0,0.0,1.0,598.0,0.0,0.0,88.0,7785.0,56359.0,40985.0,34.0,9.0,79.0,79.0,462.0,FA
23,3634,140480692,158763099,1.0,36746.0,21304.0,3.0,10.0,2.0,0.0,0.0,8550.0,0.0,0.0,39.0,4511.0,36685.0,28582.0,37.0,9.0,42.0,24.0,230.0,B
24,3755,290342009,290517739,1.0,38291.0,21665.0,8.0,46.0,6.0,0.0,1.0,1025.0,0.0,0.0,29.0,4741.0,37964.0,20308.0,26.0,12.0,57.0,100.0,287.0,C
25,4279,592455566,592830305,1.0,4512.0,3111.0,1.0,0.0,0.0,0.0,0.0,4490.0,0.0,0.0,3.0,662.0,4512.0,3983.0,1.0,4.0,0.0,3.0,30.0,Start
26,4360,86257582,114471634,1.0,27369.0,17873.0,2.0,1.0,13.0,0.0,0.0,857.0,0.0,0.0,54.0,3906.0,27303.0,23921.0,5.0,6.0,3.0,26.0,226.0,B
27,4399,29556308,30652434,1.0,12890.0,8500.0,2.0,0.0,0.0,0.0,0.0,12843.0,0.0,0.0,35.0,1917.0,12849.0,10744.0,6.0,7.0,0.0,17.0,115.0,B
28,4443,5655161,6699390,1.0,15029.0,9693.0,3.0,0.0,0.0,0.0,0.0,14922.0,0.0,0.0,31.0,2118.0,14970.0,12870.0,4.0,7.0,0.0,2.0,142.0,B
29,4660,100426215,101940734,1.0,41782.0,26374.0,5.0,0.0,3.0,0.0,1.0,23584.0,0.0,0.0,101.0,5692.0,41705.0,34095.0,27.0,13.0,24.0,45.0,292.0,B
30,4745,65871527,66390001,1.0,43759.0,30161.0,0.0,0.0,0.0,0.0,0.0,43591.0,0.0,0.0,148.0,6597.0,43743.0,42233.0,2.0,13.0,0.0,2.0,322.0,B
31,4778,864178882,912524233,1.0,24949.0,14843.0,7.0,25.0,0.0,0.0,1.0,518.0,0.0,0.0,31.0,3263.0,24937.0,15634.0,31.0,8.0,46.0,47.0,75.0,GA
32,4781,269180693,269336833,1.0,81734.0,50092.0,9.0,99.0,8.0,0.0,0.0,5405.0,0.0,0.0,82.0,9959.0,81443.0,45247.0,49.0,13.0,107.0,124.0,414.0,B
33,4890,10710506,10986768,1.0,10305.0,6710.0,1.0,0.0,0.0,0.0,0.0,10267.0,0.0,0.0,22.0,1469.0,10305.0,9549.0,4.0,7.0,0.0,1.0,71.0,B
34,4905,560544393,560818417,1.0,26517.0,14939.0,5.0,0.0,0.0,0.0,0.0,3243.0,0.0,0.0,22.0,3001.0,26029.0,14022.0,5.0,10.0,3.0,48.0,295.0,C
35,5015,31412232,31425650,1.0,14348.0,8712.0,6.0,0.0,0.0,0.0,0.0,14316.0,0.0,0.0,23.0,1783.0,14324.0,11850.0,21.0,7.0,0.0,3.0,116.0,B
36,5314,164733080,165268168,1.0,68943.0,46314.0,10.0,12.0,0.0,0.0,0.0,2069.0,0.0,0.0,141.0,10206.0,68705.0,57840.0,11.0,14.0,6.0,48.0,635.0,B
37,5314,165406939,165944572,1.0,69020.0,46378.0,10.0,12.0,1.0,0.0,0.0,2171.0,0.0,0.0,142.0,10217.0,68782.0,57900.0,11.0,14.0,6.0,49.0,634.0,B
38,5323,36825748,38328684,1.0,7026.0,3473.0,1.0,0.0,0.0,0.0,0.0,6993.0,0.0,0.0,13.0,697.0,7007.0,4984.0,5.0,6.0,0.0,6.0,103.0,Start
39,5382,409939031,409940117,1.0,70099.0,43994.0,2.0,65.0,2.0,0.0,0.0,12240.0,0.0,0.0,109.0,9515.0,69880.0,49124.0,35.0,10.0,104.0,88.0,302.0,B
40,5407,74182511,331654399,1.0,81085.0,50010.0,3.0,5.0,5.0,13.0,0.0,0.0,0.0,0.0,105.0,10105.0,80777.0,58127.0,26.0,13.0,4.0,40.0,902.0,B
41,5416,11591024,11770735,1.0,46247.0,29767.0,3.0,0.0,0.0,0.0,0.0,46210.0,0.0,0.0,98.0,6588.0,46247.0,42340.0,32.0,10.0,0.0,3.0,237.0,B
42,5617,31410993,31425273,1.0,11369.0,7119.0,4.0,0.0,0.0,0.0,0.0,11359.0,0.0,0.0,24.0,1545.0,11367.0,9833.0,9.0,7.0,0.0,4.0,106.0,B
43,5658,5464170,5464189,1.0,27320.0,17721.0,0.0,0.0,0.0,0.0,0.0,27292.0,0.0,0.0,92.0,4018.0,27316.0,24551.0,9.0,10.0,0.0,3.0,182.0,B
44,5658,5474020,5899112,1.0,27348.0,17750.0,0.0,0.0,0.0,0.0,0.0,27320.0,0.0,0.0,92.0,4024.0,27344.0,24587.0,9.0,10.0,0.0,2.0,181.0,B
45,5783,3938701,4000584,1.0,6525.0,4285.0,0.0,0.0,0.0,0.0,0.0,6489.0,0.0,0.0,15.0,940.0,6525.0,6002.0,1.0,11.0,0.0,2.0,59.0,B
46,6609,260608678,260642275,1.0,25438.0,15823.0,3.0,0.0,1.0,0.0,0.0,11879.0,0.0,0.0,49.0,3399.0,25326.0,19956.0,17.0,7.0,15.0,15.0,293.0,B
47,6671,74363423,80208098,1.0,60696.0,36651.0,3.0,0.0,0.0,0.0,0.0,60595.0,0.0,0.0,125.0,8808.0,60599.0,50802.0,7.0,11.0,0.0,6.0,591.0,FA
