,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score
0,5574,301662311,315352178,1.0,38727.0,24728.0,1.0,0.0,2.0,0.0,0.0,8960.0,0.0,0.0,57.0,5254.0,38503.0,32697.0,30.0,11.0,20.0,23.0,312.0,B
1,5638,819761642,819924662,1.0,47991.0,28568.0,1.0,44.0,0.0,0.0,0.0,10817.0,0.0,0.0,46.0,6227.0,47872.0,30044.0,31.0,10.0,58.0,117.0,273.0,FA
2,21689,301325407,304866854,1.0,44615.0,28416.0,3.0,2.0,3.0,0.0,0.0,29294.0,0.0,0.0,68.0,6370.0,44569.0,36444.0,19.0,10.0,16.0,91.0,243.0,C
3,38265,86940838,86941064,1.0,5570.0,3717.0,6.0,0.0,0.0,0.0,1.0,5529.0,0.0,0.0,5.0,730.0,5545.0,4270.0,1.0,4.0,0.0,2.0,57.0,Start
4,40056,256016364,259430218,1.0,19508.0,11728.0,4.0,2.0,2.0,0.0,0.0,12502.0,0.0,0.0,29.0,2548.0,19386.0,13422.0,8.0,12.0,4.0,145.0,249.0,C
5,40163,73145787,73201270,1.0,3429.0,1940.0,2.0,0.0,1.0,0.0,0.0,3295.0,0.0,0.0,4.0,375.0,3301.0,1880.0,3.0,2.0,0.0,13.0,67.0,Start
6,42058,425738806,435157812,1.0,4563.0,2962.0,8.0,0.0,0.0,0.0,0.0,1270.0,0.0,0.0,13.0,715.0,4526.0,2448.0,0.0,3.0,3.0,4.0,40.0,Start
7,53140,238323354,238995953,1.0,1536.0,966.0,2.0,0.0,0.0,0.0,0.0,1530.0,0.0,0.0,2.0,208.0,1536.0,1245.0,1.0,2.0,0.0,3.0,15.0,Stub
8,55906,254640238,259429758,1.0,78249.0,45716.0,5.0,49.0,7.0,15.0,2.0,70872.0,0.0,1.0,92.0,9502.0,77764.0,44493.0,60.0,19.0,60.0,129.0,713.0,C
9,68819,339777602,339791093,1.0,53168.0,30120.0,5.0,81.0,1.0,0.0,0.0,1209.0,0.0,0.0,53.0,5991.0,53020.0,28599.0,72.0,9.0,160.0,94.0,258.0,B
10,124450,138827670,138829359,1.0,5322.0,3277.0,2.0,0.0,5.0,0.0,0.0,5302.0,0.0,0.0,8.0,778.0,5316.0,4572.0,3.0,4.0,0.0,11.0,40.0,Start
11,130580,802484157,802484383,1.0,10477.0,5227.0,2.0,8.0,0.0,0.0,1.0,4476.0,0.0,0.0,10.0,1051.0,10475.0,4488.0,12.0,6.0,15.0,19.0,74.0,GA
12,130877,46940425,47914752,1.0,3111.0,1867.0,2.0,0.0,0.0,0.0,0.0,3087.0,0.0,0.0,9.0,465.0,3101.0,2664.0,0.0,4.0,0.0,4.0,21.0,Start
13,136354,271242815,273495074,1.0,6493.0,3554.0,2.0,0.0,0.0,0.0,1.0,6472.0,0.0,0.0,7.0,729.0,6490.0,3316.0,0.0,5.0,1.0,9.0,37.0,Start
14,137385,261723845,273836927,1.0,10308.0,6175.0,3.0,0.0,7.0,0.0,1.0,7778.0,0.0,0.0,18.0,1272.0,10301.0,6666.0,1.0,10.0,3.0,18.0,62.0,C
15,147791,359975269,364085637,1.0,15158.0,9403.0,4.0,0.0,0.0,7.0,0.0,738.0,0.0,0.0,33.0,2158.0,14891.0,12004.0,10.0,9.0,8.0,13.0,87.0,C
16,156762,234007699,234008980,1.0,14841.0,8906.0,12.0,0.0,0.0,0.0,1.0,14718.0,0.0,0.0,33.0,1915.0,14769.0,11519.0,5.0,8.0,0.0,36.0,106.0,B
17,164388,363525388,363563996,1.0,5432.0,3308.0,6.0,0.0,0.0,0.0,1.0,5417.0,0.0,0.0,21.0,688.0,5431.0,3674.0,1.0,5.0,0.0,10.0,76.0,Start
18,177227,222795890,225250383,1.0,7793.0,5053.0,3.0,0.0,2.0,0.0,1.0,5384.0,0.0,1.0,19.0,1178.0,7787.0,6444.0,4.0,5.0,3.0,8.0,55.0,C
19,184274,301661022,315664141,1.0,41548.0,26900.0,1.0,7.0,16.0,4.0,0.0,28808.0,0.0,0.0,63.0,5733.0,41296.0,32550.0,23.0,5.0,19.0,40.0,368.0,C
20,185005,424794249,425039932,1.0,2481.0,1510.0,1.0,0.0,0.0,0.0,0.0,2471.0,0.0,0.0,3.0,332.0,2481.0,1993.0,3.0,4.0,0.0,3.0,13.0,Start
21,193177,479213000,480116168,1.0,404.0,241.0,1.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,1.0,52.0,392.0,295.0,0.0,1.0,0.0,4.0,7.0,Stub
22,194858,358794046,359716082,1.0,47567.0,26939.0,18.0,51.0,5.0,0.0,1.0,0.0,0.0,0.0,74.0,6024.0,47438.0,30481.0,69.0,11.0,94.0,74.0,249.0,B
23,195246,59191404,60109959,1.0,59251.0,36384.0,9.0,0.0,1.0,0.0,1.0,59106.0,0.0,0.0,151.0,8392.0,59112.0,49263.0,93.0,20.0,0.0,12.0,371.0,B
24,202171,312177149,312202594,1.0,8277.0,5103.0,9.0,1.0,0.0,0.0,0.0,5083.0,0.0,0.0,15.0,1081.0,8225.0,6768.0,7.0,9.0,10.0,7.0,80.0,C
25,206505,171991664,172018402,1.0,6432.0,4218.0,4.0,0.0,0.0,0.0,0.0,6384.0,0.0,0.0,10.0,921.0,6410.0,5362.0,2.0,2.0,0.0,3.0,57.0,Start
26,206505,180719641,180724357,1.0,6294.0,4149.0,4.0,0.0,0.0,0.0,0.0,6248.0,0.0,0.0,10.0,911.0,6272.0,5279.0,1.0,2.0,0.0,3.0,57.0,Start
27,209918,74691034,74691933,1.0,1544.0,949.0,3.0,0.0,0.0,0.0,1.0,1518.0,0.0,0.0,1.0,191.0,1522.0,694.0,0.0,0.0,0.0,8.0,40.0,Stub
28,229623,103995090,113637653,1.0,20934.0,8454.0,2.0,1.0,0.0,0.0,0.0,487.0,0.0,0.0,5.0,1621.0,20933.0,10731.0,2.0,4.0,45.0,2.0,263.0,B
29,249427,118981597,118984121,1.0,6051.0,3413.0,8.0,0.0,0.0,0.0,0.0,6023.0,0.0,0.0,3.0,751.0,6029.0,4662.0,11.0,4.0,0.0,5.0,67.0,Start
30,254876,251801672,251802283,1.0,4533.0,2733.0,2.0,3.0,7.0,0.0,0.0,746.0,0.0,2.0,15.0,603.0,4532.0,2964.0,3.0,4.0,3.0,17.0,34.0,Start
31,260818,72753791,73045110,1.0,525.0,360.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,2.0,87.0,525.0,511.0,0.0,0.0,0.0,1.0,1.0,Stub
32,292259,76887153,77043221,1.0,12303.0,6441.0,4.0,0.0,0.0,0.0,0.0,12206.0,0.0,0.0,7.0,1330.0,12244.0,9615.0,15.0,6.0,0.0,2.0,187.0,B
33,298603,353266542,353896191,1.0,60917.0,33436.0,9.0,75.0,2.0,0.0,1.0,7756.0,0.0,0.0,56.0,7051.0,60540.0,27544.0,79.0,14.0,104.0,263.0,401.0,B
34,305346,260948305,266636390,1.0,13087.0,7872.0,5.0,2.0,0.0,0.0,0.0,4325.0,0.0,0.0,25.0,1705.0,13051.0,9653.0,21.0,7.0,3.0,9.0,95.0,C
35,307161,110085887,111036477,1.0,1773.0,1121.0,3.0,0.0,0.0,0.0,0.0,1767.0,0.0,0.0,5.0,233.0,1773.0,1365.0,1.0,2.0,0.0,4.0,35.0,Start
36,330391,82422187,83987890,1.0,4516.0,2879.0,8.0,0.0,0.0,0.0,1.0,4514.0,0.0,0.0,4.0,640.0,4516.0,3257.0,0.0,1.0,0.0,6.0,51.0,Start
37,332134,155535737,155535888,1.0,4169.0,2390.0,7.0,0.0,0.0,0.0,0.0,4163.0,0.0,0.0,1.0,515.0,4169.0,2992.0,0.0,2.0,0.0,4.0,71.0,Start
38,344298,115207533,115226721,1.0,10073.0,6551.0,16.0,0.0,9.0,0.0,0.0,10019.0,0.0,7.0,24.0,1413.0,10047.0,6653.0,0.0,1.0,0.0,42.0,96.0,Start
39,356978,91245416,91566293,1.0,13036.0,6816.0,1.0,0.0,0.0,0.0,0.0,12842.0,0.0,0.0,4.0,1273.0,12842.0,8640.0,1.0,25.0,0.0,1.0,551.0,Start
40,362456,786824441,790204699,1.0,4145.0,2026.0,3.0,9.0,0.0,0.0,1.0,1056.0,0.0,0.0,1.0,420.0,4123.0,970.0,9.0,1.0,15.0,17.0,38.0,Stub
41,363601,367890213,368619288,1.0,7625.0,4567.0,6.0,11.0,1.0,0.0,1.0,5605.0,0.0,0.0,9.0,1011.0,7501.0,4114.0,7.0,7.0,8.0,25.0,61.0,C
42,379652,180803014,239583403,1.0,43742.0,29174.0,5.0,1.0,0.0,0.0,0.0,43044.0,0.0,0.0,110.0,7031.0,43700.0,36984.0,2.0,7.0,1.0,7.0,283.0,B
43,380607,784360707,784437391,1.0,3167.0,2138.0,3.0,0.0,0.0,0.0,0.0,3017.0,0.0,0.0,4.0,501.0,3037.0,2747.0,0.0,4.0,0.0,3.0,11.0,Start
44,390906,227990267,228069532,1.0,51137.0,31497.0,3.0,12.0,10.0,0.0,0.0,2945.0,0.0,0.0,81.0,6755.0,51010.0,42324.0,46.0,14.0,51.0,32.0,333.0,B
45,393128,249002281,249507704,1.0,11812.0,7874.0,5.0,0.0,0.0,0.0,1.0,11747.0,0.0,0.0,27.0,1720.0,11793.0,9306.0,2.0,7.0,0.0,5.0,131.0,B
46,407374,364519009,364620402,1.0,3459.0,1915.0,1.0,0.0,2.0,0.0,0.0,3424.0,0.0,0.0,3.0,431.0,3430.0,2369.0,0.0,6.0,0.0,5.0,86.0,Start
47,409539,68311370,68312493,1.0,2143.0,1324.0,2.0,0.0,0.0,0.0,0.0,2068.0,0.0,0.0,1.0,309.0,2076.0,1619.0,0.0,2.0,0.0,3.0,42.0,Start
48,411052,415207738,415543566,1.0,16274.0,10481.0,4.0,0.0,0.0,0.0,1.0,16207.0,0.0,0.0,39.0,2327.0,16235.0,13536.0,1.0,6.0,0.0,6.0,164.0,B
49,411840,246016326,246033234,1.0,395.0,250.0,1.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,46.0,395.0,270.0,0.0,1.0,0.0,5.0,4.0,Stub
50,461676,301654104,301995889,1.0,9060.0,6042.0,7.0,0.0,0.0,0.0,0.0,8915.0,0.0,0.0,12.0,1300.0,8927.0,7967.0,2.0,5.0,0.0,10.0,105.0,B
51,473023,39511842,40174092,1.0,554.0,381.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,2.0,85.0,554.0,399.0,0.0,0.0,0.0,3.0,4.0,Stub
52,480509,537381995,567220580,1.0,20488.0,12578.0,7.0,0.0,13.0,0.0,0.0,20192.0,17.0,0.0,30.0,2671.0,20192.0,13479.0,11.0,8.0,0.0,53.0,151.0,C
53,488824,503044177,503053522,1.0,34301.0,20866.0,3.0,10.0,6.0,0.0,0.0,2328.0,0.0,0.0,54.0,4551.0,34199.0,26896.0,26.0,15.0,65.0,26.0,132.0,B
54,507939,269195437,269894792,1.0,1208.0,803.0,3.0,0.0,0.0,0.0,0.0,1199.0,0.0,0.0,2.0,194.0,1207.0,1028.0,0.0,1.0,0.0,1.0,22.0,Stub
55,525723,819221268,820695209,1.0,759.0,487.0,10.0,0.0,0.0,0.0,0.0,757.0,0.0,0.0,0.0,100.0,759.0,263.0,0.0,0.0,0.0,3.0,10.0,Stub
56,532538,37500690,37706236,1.0,1332.0,903.0,1.0,0.0,0.0,0.0,0.0,1326.0,0.0,0.0,0.0,206.0,1332.0,1028.0,0.0,0.0,0.0,2.0,19.0,Stub
57,557609,593002264,593047266,1.0,6614.0,3651.0,8.0,9.0,0.0,0.0,1.0,4751.0,0.0,0.0,4.0,728.0,6572.0,2960.0,13.0,6.0,10.0,19.0,41.0,Start
58,558456,293684419,293702462,1.0,2261.0,1316.0,3.0,1.0,0.0,0.0,0.0,2176.0,0.0,0.0,1.0,299.0,2178.0,1504.0,1.0,2.0,0.0,7.0,28.0,Start
59,563689,399385419,399388241,1.0,5595.0,3342.0,10.0,2.0,2.0,0.0,0.0,2936.0,0.0,0.0,6.0,662.0,5558.0,3848.0,5.0,6.0,3.0,10.0,40.0,Start
60,582727,319999230,320003760,1.0,521.0,325.0,3.0,0.0,1.0,0.0,0.0,521.0,0.0,0.0,3.0,63.0,521.0,366.0,0.0,1.0,0.0,5.0,13.0,Stub
61,585765,70965657,72030209,1.0,823.0,526.0,2.0,0.0,0.0,0.0,0.0,802.0,0.0,0.0,0.0,118.0,806.0,720.0,0.0,0.0,0.0,1.0,10.0,Stub
62,594593,234592312,243187249,1.0,7420.0,5188.0,3.0,0.0,0.0,0.0,0.0,7404.0,0.0,0.0,15.0,1230.0,7412.0,7076.0,0.0,1.0,0.0,2.0,15.0,Start
63,594792,246016190,246030797,1.0,1087.0,706.0,3.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,1.0,153.0,1084.0,884.0,0.0,1.0,0.0,5.0,21.0,Stub
64,595296,289875350,289942286,1.0,7876.0,5170.0,2.0,0.0,0.0,0.0,0.0,6014.0,0.0,0.0,40.0,1195.0,7876.0,7127.0,5.0,6.0,6.0,7.0,20.0,C
65,599042,243424965,243623111,1.0,70723.0,47733.0,4.0,0.0,15.0,0.0,0.0,23372.0,0.0,0.0,142.0,10267.0,70575.0,64270.0,14.0,6.0,10.0,22.0,487.0,B
66,616960,621971238,622047927,1.0,2997.0,1826.0,4.0,0.0,0.0,0.0,0.0,1893.0,0.0,0.0,1.0,430.0,2997.0,2503.0,3.0,3.0,3.0,5.0,22.0,Start
67,630022,238784704,238795224,1.0,2990.0,1788.0,2.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,382.0,2954.0,2617.0,3.0,2.0,5.0,1.0,16.0,Start
68,636196,154208040,154553580,1.0,1875.0,1157.0,1.0,0.0,0.0,0.0,0.0,1860.0,0.0,0.0,2.0,238.0,1868.0,1490.0,0.0,3.0,0.0,6.0,29.0,Stub
69,641043,147171143,147171190,1.0,548.0,295.0,2.0,0.0,1.0,0.0,0.0,544.0,0.0,0.0,0.0,71.0,546.0,321.0,1.0,1.0,0.0,5.0,9.0,Stub
70,657587,179275442,179279540,1.0,7310.0,4495.0,11.0,0.0,0.0,0.0,0.0,7290.0,0.0,0.0,13.0,1015.0,7304.0,5853.0,0.0,5.0,0.0,12.0,99.0,Start
71,661677,83560961,83794618,1.0,3567.0,2376.0,1.0,3.0,0.0,0.0,0.0,3557.0,0.0,0.0,14.0,551.0,3567.0,3115.0,0.0,1.0,0.0,5.0,40.0,Start
72,663578,319999281,320002132,1.0,623.0,403.0,1.0,0.0,0.0,0.0,0.0,617.0,0.0,0.0,3.0,94.0,623.0,495.0,0.0,1.0,0.0,4.0,10.0,Stub
73,665291,588693652,589150199,1.0,34669.0,19096.0,17.0,25.0,5.0,0.0,1.0,0.0,0.0,0.0,49.0,4048.0,34615.0,19386.0,55.0,6.0,53.0,80.0,170.0,C
74,698708,424849808,424877927,1.0,5380.0,3424.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,824.0,5281.0,1184.0,6.0,4.0,2.0,11.0,40.0,Start
75,741395,100858853,100880054,1.0,1602.0,1027.0,5.0,0.0,0.0,0.0,0.0,1592.0,0.0,0.0,1.0,224.0,1602.0,1340.0,0.0,0.0,0.0,2.0,23.0,Stub
76,751702,92261424,93587067,1.0,621.0,376.0,0.0,0.0,0.0,0.0,0.0,618.0,0.0,0.0,0.0,88.0,621.0,267.0,0.0,0.0,0.0,6.0,2.0,Stub
77,758448,543441152,543746271,1.0,2116.0,1106.0,2.0,1.0,0.0,0.0,1.0,1258.0,0.0,0.0,2.0,239.0,2094.0,875.0,1.0,1.0,1.0,6.0,11.0,Stub
78,763153,261996337,266154639,1.0,13300.0,8533.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1898.0,13295.0,11784.0,13.0,9.0,4.0,4.0,83.0,B
