,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score
0,303,825641311,846427632,1.0,182261.0,100330.0,8.0,187.0,5.0,0.0,2.0,34444.0,0.0,0.0,141.0,20544.0,182030.0,90012.0,262.0,14.0,277.0,304.0,1046.0,B
1,336,820688844,871733120,1.0,68381.0,42395.0,9.0,64.0,1.0,0.0,0.0,11301.0,0.0,0.0,103.0,9201.0,68240.0,45149.0,32.0,9.0,90.0,90.0,219.0,B
2,612,857914034,974231286,1.0,11004.0,6524.0,1.0,4.0,0.0,0.0,0.0,8178.0,0.0,0.0,20.0,1577.0,10971.0,8082.0,4.0,9.0,4.0,15.0,50.0,C
3,615,841601469,939814322,1.0,12893.0,7797.0,3.0,3.0,0.0,0.0,1.0,1661.0,0.0,0.0,16.0,1626.0,12881.0,7517.0,4.0,5.0,3.0,30.0,159.0,C
4,639,828587290,832043893,1.0,61624.0,35565.0,3.0,30.0,6.0,0.0,0.0,30706.0,0.0,0.0,72.0,7948.0,61381.0,41877.0,28.0,13.0,55.0,77.0,402.0,B
5,709,863480663,940421007,1.0,26047.0,14115.0,5.0,14.0,1.0,0.0,1.0,8426.0,0.0,0.0,23.0,3011.0,26012.0,16730.0,28.0,9.0,49.0,29.0,180.0,C
6,951,875138139,905338551,1.0,41168.0,24644.0,18.0,21.0,2.0,0.0,1.0,21105.0,0.0,1.0,52.0,5069.0,41111.0,22567.0,29.0,14.0,28.0,138.0,332.0,C
7,972,852049116,935014624,1.0,10731.0,6656.0,6.0,5.0,1.0,0.0,0.0,6522.0,0.0,0.0,15.0,1505.0,10644.0,7718.0,8.0,5.0,6.0,21.0,71.0,C
8,1023,909717593,966664509,1.0,114330.0,71162.0,10.0,54.0,12.0,0.0,0.0,4672.0,0.0,0.0,191.0,15050.0,114173.0,71940.0,120.0,12.0,157.0,131.0,399.0,B
9,1146,857914147,891682528,1.0,29180.0,17725.0,7.0,36.0,0.0,0.0,0.0,10723.0,0.0,0.0,21.0,3974.0,29153.0,17344.0,21.0,8.0,34.0,60.0,167.0,B
10,1239,869177215,925635191,1.0,89761.0,53939.0,15.0,83.0,18.0,0.0,1.0,0.0,9.0,1.0,116.0,11620.0,89471.0,52748.0,97.0,8.0,121.0,187.0,531.0,B
11,1948,863923247,921547312,1.0,26686.0,15037.0,24.0,16.0,1.0,0.0,1.0,10223.0,0.0,0.0,34.0,3254.0,26637.0,16109.0,30.0,15.0,21.0,90.0,159.0,C
12,2118,819371347,829582665,1.0,35479.0,19524.0,4.0,9.0,0.0,0.0,1.0,23172.0,0.0,0.0,38.0,4867.0,35352.0,26337.0,9.0,8.0,25.0,115.0,66.0,C
13,2118,829742163,888187730,1.0,37415.0,20404.0,4.0,10.0,0.0,0.0,1.0,24882.0,0.0,0.0,40.0,5157.0,37242.0,27620.0,10.0,8.0,26.0,116.0,66.0,C
14,2154,823469531,905726406,1.0,169183.0,94199.0,5.0,212.0,9.0,0.0,1.0,0.0,0.0,0.0,187.0,19594.0,168955.0,85395.0,274.0,18.0,329.0,298.0,762.0,B
15,2406,876423857,917027142,1.0,24799.0,14622.0,17.0,27.0,5.0,0.0,0.0,8615.0,4.0,0.0,13.0,3081.0,24736.0,14606.0,34.0,6.0,20.0,60.0,117.0,C
16,2482,882644450,890558655,1.0,25093.0,15004.0,11.0,10.0,1.0,23.0,1.0,8400.0,0.0,0.0,24.0,3393.0,24967.0,14604.0,19.0,8.0,17.0,39.0,181.0,C
17,2645,839847838,916335011,1.0,19205.0,10586.0,6.0,15.0,0.0,0.0,1.0,865.0,8.0,0.0,14.0,2257.0,19165.0,8634.0,24.0,9.0,28.0,56.0,117.0,GA
18,2756,880883917,939317473,1.0,27029.0,15630.0,1.0,33.0,0.0,0.0,0.0,10777.0,0.0,0.0,30.0,3232.0,26985.0,14333.0,21.0,8.0,31.0,50.0,168.0,GA
19,3060,857766205,971236933,1.0,39989.0,23268.0,4.0,2.0,8.0,0.0,1.0,18742.0,0.0,0.0,29.0,5218.0,39903.0,28197.0,37.0,8.0,36.0,42.0,185.0,C
20,3120,826408137,833420371,1.0,12944.0,6684.0,1.0,8.0,0.0,0.0,1.0,5205.0,0.0,0.0,10.0,1265.0,12934.0,4174.0,12.0,5.0,10.0,18.0,44.0,C
21,3144,845754825,956465410,1.0,43412.0,25683.0,9.0,39.0,0.0,0.0,1.0,13402.0,0.0,0.0,65.0,5955.0,43263.0,28915.0,50.0,10.0,73.0,73.0,159.0,B
22,3333,820718659,824357685,1.0,84248.0,50233.0,36.0,58.0,1.0,0.0,1.0,3050.0,0.0,0.0,129.0,11334.0,84126.0,57511.0,78.0,13.0,144.0,106.0,350.0,GA
23,4170,946164008,980890012,1.0,55186.0,25974.0,12.0,34.0,0.0,0.0,1.0,2045.0,0.0,0.0,32.0,5241.0,55092.0,27437.0,69.0,12.0,211.0,89.0,266.0,GA
