,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score
0,25,18861655,19646448,1.0,57870.0,36150.0,4.0,2.0,0.0,0.0,0.0,57818.0,0.0,0.0,133.0,7800.0,57870.0,50216.0,102.0,17.0,0.0,7.0,189.0,B
1,25,19691961,19895860,1.0,55477.0,34632.0,4.0,2.0,0.0,0.0,0.0,55409.0,0.0,0.0,130.0,7434.0,55459.0,48015.0,100.0,16.0,0.0,6.0,176.0,B
2,358,125523762,176192859,1.0,46845.0,27547.0,7.0,2.0,5.0,0.0,1.0,3758.0,0.0,0.0,70.0,5752.0,46364.0,32832.0,36.0,13.0,20.0,51.0,606.0,B
3,670,90515846,122738345,1.0,23322.0,15124.0,3.0,8.0,0.0,0.0,0.0,21306.0,0.0,0.0,52.0,3299.0,23156.0,18071.0,8.0,9.0,3.0,23.0,250.0,B
4,824,132854009,139768065,1.0,37477.0,18318.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,41.0,4849.0,36747.0,20610.0,8.0,9.0,2.0,429.0,185.0,B
5,863,9338175,9740334,1.0,35540.0,22327.0,2.0,0.0,0.0,0.0,0.0,35457.0,0.0,0.0,49.0,4940.0,35535.0,30006.0,33.0,13.0,0.0,3.0,360.0,FA
6,1241,35171541,172252807,1.0,15151.0,10098.0,1.0,0.0,0.0,0.0,0.0,15079.0,0.0,0.0,37.0,2237.0,15131.0,13658.0,2.0,8.0,0.0,5.0,99.0,B
7,1637,520381638,550928024,1.0,1620.0,999.0,3.0,0.0,0.0,0.0,0.0,1614.0,0.0,0.0,1.0,229.0,1620.0,1244.0,1.0,2.0,0.0,5.0,25.0,Stub
8,2141,48992769,48993011,1.0,42856.0,27761.0,3.0,0.0,0.0,0.0,0.0,42739.0,0.0,0.0,110.0,6464.0,42845.0,38457.0,25.0,12.0,0.0,1.0,230.0,FA
9,2371,32469832,37324155,1.0,12259.0,7807.0,9.0,0.0,0.0,0.0,0.0,12217.0,0.0,0.0,22.0,1743.0,12257.0,10551.0,8.0,4.0,0.0,2.0,72.0,B
10,2778,157662118,208310176,1.0,34589.0,21228.0,1.0,8.0,0.0,0.0,1.0,10648.0,0.0,0.0,73.0,4896.0,34543.0,27695.0,36.0,7.0,10.0,12.0,125.0,B
11,2955,446089456,446089834,1.0,6275.0,3674.0,2.0,0.0,0.0,0.0,0.0,5280.0,0.0,0.0,16.0,817.0,6127.0,4904.0,5.0,7.0,5.0,5.0,96.0,Start
12,3070,295055995,295128548,1.0,19852.0,12382.0,2.0,0.0,0.0,0.0,1.0,11737.0,0.0,1.0,27.0,2720.0,19800.0,15224.0,22.0,6.0,11.0,16.0,146.0,C
13,3198,256932395,257040457,1.0,26860.0,16756.0,14.0,0.0,3.0,0.0,0.0,10215.0,0.0,0.0,37.0,3802.0,26846.0,23015.0,16.0,8.0,23.0,12.0,183.0,B
14,3263,73133545,75424468,1.0,18299.0,11005.0,4.0,0.0,4.0,0.0,0.0,15614.0,0.0,0.0,21.0,2524.0,18216.0,15679.0,15.0,9.0,16.0,9.0,134.0,C
