,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score
0,1537,579564024,581951437,1.0,120825.0,65665.0,4.0,194.0,1.0,0.0,2.0,0.0,3.0,0.0,138.0,13627.0,120425.0,47721.0,164.0,13.0,285.0,244.0,345.0,B
1,2153,569359886,608318676,1.0,5471.0,2924.0,3.0,4.0,0.0,0.0,0.0,662.0,0.0,0.0,10.0,612.0,5467.0,3158.0,10.0,4.0,2.0,16.0,30.0,Start
2,13089,703796298,704096338,1.0,5696.0,3119.0,3.0,6.0,1.0,0.0,0.0,1924.0,0.0,0.0,2.0,676.0,5694.0,3739.0,11.0,6.0,10.0,10.0,28.0,Start
3,13155,959504522,968524636,1.0,10915.0,6782.0,6.0,1.0,0.0,0.0,1.0,5349.0,0.0,0.0,20.0,1550.0,10915.0,8316.0,3.0,8.0,4.0,15.0,111.0,C
4,16692,598824006,844971808,1.0,43513.0,25934.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,5925.0,43398.0,34021.0,9.0,7.0,154.0,44.0,466.0,GA
5,16708,642656786,647631222,1.0,5421.0,2612.0,9.0,1.0,0.0,0.0,1.0,1489.0,0.0,0.0,2.0,486.0,5421.0,2770.0,13.0,3.0,5.0,12.0,47.0,Start
6,16801,655305277,699591304,1.0,20386.0,11817.0,4.0,18.0,0.0,0.0,1.0,4897.0,0.0,0.0,29.0,2646.0,20344.0,13626.0,28.0,7.0,27.0,32.0,83.0,GA
7,16801,715129502,752485957,1.0,24583.0,14297.0,5.0,28.0,1.0,0.0,1.0,6797.0,0.0,0.0,30.0,3234.0,24490.0,15315.0,35.0,8.0,33.0,44.0,84.0,C
8,19391,647797516,649735752,1.0,60644.0,37521.0,2.0,46.0,1.0,0.0,0.0,2575.0,0.0,0.0,72.0,8052.0,60448.0,46363.0,50.0,8.0,90.0,68.0,147.0,B
9,20217,557901858,567658275,1.0,66461.0,36601.0,40.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,56.0,7504.0,66360.0,40345.0,138.0,10.0,126.0,51.0,492.0,B
10,20547,714624129,714686988,1.0,2152.0,1257.0,3.0,0.0,0.0,0.0,0.0,2146.0,0.0,0.0,4.0,278.0,2152.0,1306.0,3.0,2.0,0.0,8.0,17.0,Stub
11,21433,705482678,721759604,1.0,151537.0,94615.0,3.0,39.0,39.0,0.0,0.0,0.0,3.0,0.0,280.0,20704.0,151231.0,111315.0,69.0,19.0,220.0,460.0,864.0,B
12,21986,592967208,612132238,1.0,1809.0,1141.0,4.0,1.0,0.0,0.0,0.0,1801.0,0.0,0.0,3.0,251.0,1807.0,1386.0,0.0,3.0,0.0,4.0,15.0,Stub
13,22735,508568436,528541532,1.0,68228.0,41007.0,7.0,15.0,5.0,0.0,0.0,716.0,4.0,0.0,122.0,9372.0,67666.0,48839.0,69.0,9.0,99.0,49.0,228.0,B
14,25074,531324531,642168794,1.0,148612.0,86401.0,3.0,108.0,13.0,0.0,0.0,6599.0,0.0,0.0,218.0,18303.0,148271.0,97543.0,195.0,9.0,242.0,193.0,713.0,B
15,27071,456298008,456300273,1.0,83273.0,48726.0,12.0,54.0,3.0,0.0,1.0,13709.0,0.0,0.0,158.0,10938.0,82972.0,52175.0,68.0,15.0,111.0,175.0,493.0,B
16,28667,631234750,659803222,1.0,45157.0,23491.0,11.0,71.0,0.0,0.0,2.0,1050.0,0.0,0.0,42.0,5005.0,45103.0,20873.0,90.0,11.0,101.0,102.0,155.0,GA
17,31904,560138069,572948295,1.0,17009.0,10611.0,4.0,0.0,0.0,0.0,1.0,16987.0,0.0,0.0,11.0,2175.0,16987.0,14510.0,24.0,6.0,5.0,9.0,64.0,C
18,37107,830882959,921686911,1.0,18167.0,11237.0,6.0,10.0,0.0,0.0,1.0,2521.0,0.0,0.0,15.0,2428.0,18156.0,13436.0,22.0,6.0,21.0,30.0,50.0,C
19,37712,458115308,458123484,1.0,4964.0,2815.0,2.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,11.0,563.0,4961.0,3985.0,6.0,4.0,5.0,3.0,17.0,Start
20,37712,458134870,458136491,1.0,5199.0,2961.0,2.0,0.0,1.0,0.0,0.0,1165.0,0.0,0.0,11.0,589.0,5196.0,4123.0,6.0,5.0,5.0,5.0,19.0,Start
21,37876,713308253,713345837,1.0,22669.0,13713.0,5.0,5.0,14.0,0.0,1.0,5090.0,0.0,0.0,17.0,2820.0,22650.0,16549.0,26.0,8.0,26.0,41.0,130.0,C
22,40977,878221232,950415266,1.0,1708.0,985.0,1.0,0.0,0.0,0.0,1.0,1704.0,0.0,0.0,0.0,189.0,1708.0,1009.0,3.0,2.0,0.0,7.0,14.0,Stub
