,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score
0,1537,579564024,581951437,1.0,120825.0,65665.0,4.0,194.0,1.0,0.0,2.0,0.0,3.0,0.0,138.0,13627.0,120425.0,47721.0,164.0,13.0,285.0,244.0,345.0,B
1,1722,467987382,514484619,1.0,11148.0,6675.0,6.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,1406.0,11063.0,6281.0,8.0,8.0,15.0,29.0,117.0,C
2,1722,520380060,525138846,1.0,16649.0,8869.0,6.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,20.0,1906.0,16564.0,8977.0,34.0,8.0,17.0,32.0,122.0,C
3,2134,607027262,803036390,1.0,40765.0,24381.0,4.0,13.0,0.0,0.0,0.0,8398.0,0.0,0.0,45.0,5752.0,40701.0,29643.0,36.0,8.0,47.0,50.0,257.0,B
4,3273,427506591,519590714,1.0,22111.0,12579.0,10.0,4.0,0.0,0.0,1.0,10287.0,0.0,0.0,48.0,2754.0,22091.0,16275.0,27.0,19.0,21.0,12.0,175.0,B
5,4086,618426373,701222234,1.0,23253.0,13505.0,3.0,10.0,3.0,0.0,1.0,12618.0,0.0,0.0,39.0,3103.0,23226.0,17541.0,10.0,6.0,10.0,33.0,45.0,C
6,4691,718657485,782520365,1.0,10724.0,5354.0,6.0,1.0,6.0,0.0,0.0,2036.0,0.0,0.0,17.0,1285.0,10682.0,5971.0,27.0,5.0,23.0,25.0,45.0,C
7,4691,782521593,939826705,1.0,13480.0,6646.0,6.0,11.0,4.0,0.0,0.0,733.0,0.0,0.0,20.0,1598.0,13444.0,6495.0,35.0,5.0,32.0,31.0,48.0,C
8,4778,479239212,575208727,1.0,43476.0,28516.0,1.0,16.0,2.0,0.0,0.0,17721.0,0.0,0.0,82.0,6575.0,43339.0,36959.0,26.0,9.0,46.0,24.0,63.0,B
9,5363,501194324,904956150,1.0,68274.0,38287.0,1.0,60.0,4.0,0.0,0.0,6134.0,0.0,0.0,80.0,8521.0,67970.0,40210.0,99.0,12.0,95.0,105.0,384.0,B
10,6088,692970086,692970839,1.0,69342.0,37915.0,3.0,107.0,3.0,0.0,0.0,1114.0,0.0,0.0,111.0,8491.0,69070.0,24587.0,98.0,9.0,109.0,134.0,140.0,C
11,9332,306467178,306751417,1.0,24412.0,14797.0,10.0,4.0,0.0,0.0,1.0,15284.0,0.0,0.0,41.0,3333.0,24363.0,18988.0,28.0,5.0,12.0,12.0,189.0,B
12,9751,479812325,482920541,1.0,11554.0,6846.0,11.0,6.0,0.0,0.0,1.0,2635.0,0.0,0.0,11.0,1593.0,11486.0,7346.0,8.0,5.0,8.0,22.0,99.0,C
13,10312,562700537,664824831,1.0,55743.0,33446.0,12.0,32.0,1.0,4.0,1.0,44912.0,0.0,0.0,42.0,6884.0,55564.0,33773.0,33.0,10.0,67.0,69.0,349.0,B
14,10685,605198365,634333448,1.0,34617.0,21888.0,9.0,10.0,1.0,0.0,0.0,21488.0,0.0,0.0,75.0,4960.0,34602.0,27937.0,40.0,11.0,23.0,29.0,106.0,B
15,11118,477096904,555736950,1.0,57717.0,36431.0,17.0,15.0,0.0,0.0,1.0,590.0,0.0,0.0,87.0,7918.0,57331.0,41344.0,45.0,14.0,82.0,45.0,389.0,FA
16,11676,678305009,678538342,1.0,29954.0,17037.0,2.0,2.0,1.0,0.0,0.0,3256.0,0.0,0.0,41.0,3605.0,29234.0,20105.0,10.0,7.0,31.0,29.0,238.0,C
17,12426,509876407,524792691,1.0,44169.0,27925.0,16.0,11.0,10.0,0.0,1.0,13664.0,0.0,0.0,73.0,6406.0,44050.0,34938.0,22.0,11.0,33.0,48.0,259.0,C
18,18760,448347234,473808405,1.0,59905.0,28142.0,9.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,5973.0,59723.0,22280.0,69.0,10.0,157.0,126.0,368.0,GA
19,19864,597552081,611135877,1.0,11366.0,6966.0,4.0,11.0,0.0,1.0,1.0,5989.0,0.0,0.0,13.0,1518.0,11290.0,7501.0,12.0,7.0,11.0,25.0,48.0,C
20,19992,814376655,815036346,1.0,18239.0,10737.0,10.0,21.0,2.0,0.0,1.0,2345.0,1.0,0.0,17.0,2315.0,18003.0,8861.0,11.0,9.0,32.0,52.0,108.0,C
21,20040,511760274,671002108,1.0,5014.0,2570.0,2.0,3.0,0.0,3.0,1.0,3486.0,0.0,0.0,2.0,596.0,5012.0,2668.0,4.0,6.0,4.0,11.0,50.0,Start
22,21857,569052975,569514375,1.0,6446.0,4253.0,3.0,1.0,0.0,0.0,0.0,6134.0,0.0,0.0,47.0,922.0,6446.0,5414.0,2.0,7.0,1.0,13.0,80.0,Start
23,21868,537949126,542582923,1.0,17359.0,10283.0,3.0,20.0,1.0,0.0,0.0,930.0,0.0,0.0,22.0,2239.0,17297.0,9751.0,10.0,7.0,20.0,28.0,116.0,C
24,24955,287860276,287875228,1.0,13137.0,8566.0,16.0,4.0,0.0,0.0,1.0,7181.0,0.0,1.0,25.0,1814.0,13049.0,10408.0,10.0,7.0,10.0,23.0,108.0,C
25,26992,743724894,796529491,1.0,66018.0,40355.0,19.0,54.0,24.0,0.0,1.0,0.0,0.0,0.0,67.0,8668.0,65569.0,41502.0,45.0,15.0,100.0,134.0,415.0,B
26,26992,796624597,888945303,1.0,71191.0,44561.0,18.0,80.0,16.0,0.0,1.0,0.0,0.0,0.0,77.0,9518.0,70603.0,40697.0,37.0,14.0,108.0,158.0,409.0,B
27,26992,891757554,958494966,1.0,75170.0,46590.0,18.0,85.0,8.0,0.0,1.0,0.0,0.0,0.0,77.0,9895.0,74527.0,42279.0,45.0,14.0,119.0,162.0,435.0,B
28,28341,698249516,704994175,1.0,9875.0,6098.0,13.0,2.0,0.0,0.0,1.0,8114.0,0.0,0.0,11.0,1412.0,9875.0,7163.0,8.0,6.0,8.0,14.0,72.0,C
29,28971,758992378,759945497,1.0,37674.0,24266.0,5.0,11.0,1.0,0.0,1.0,26933.0,0.0,0.0,71.0,5529.0,37628.0,32434.0,21.0,14.0,13.0,23.0,102.0,B
30,29279,878866852,909474440,1.0,8970.0,5183.0,5.0,0.0,1.0,0.0,1.0,2104.0,0.0,0.0,17.0,1058.0,8969.0,6883.0,14.0,5.0,8.0,11.0,39.0,C
31,29279,909482393,909597838,1.0,14094.0,5187.0,5.0,32.0,0.0,0.0,1.0,1736.0,0.0,0.0,9.0,1048.0,14094.0,4235.0,40.0,5.0,89.0,46.0,77.0,GA
32,29313,623930992,757904720,1.0,1942.0,980.0,2.0,2.0,0.0,0.0,0.0,801.0,0.0,0.0,2.0,204.0,1938.0,817.0,5.0,4.0,2.0,14.0,13.0,Stub
33,30907,809866754,809919829,1.0,54782.0,33399.0,8.0,33.0,1.0,0.0,0.0,2260.0,0.0,0.0,88.0,7437.0,54542.0,38200.0,63.0,5.0,83.0,72.0,162.0,B
34,32193,791838563,798008136,1.0,25324.0,14457.0,18.0,21.0,1.0,0.0,1.0,11191.0,0.0,0.0,30.0,3182.0,25314.0,14659.0,38.0,7.0,26.0,47.0,143.0,C
35,32472,814214410,814798833,1.0,53044.0,28015.0,24.0,49.0,0.0,0.0,1.0,588.0,0.0,0.0,56.0,6075.0,52921.0,29212.0,94.0,10.0,161.0,93.0,362.0,GA
36,32472,820630227,903839457,1.0,55453.0,29408.0,24.0,51.0,2.0,0.0,1.0,589.0,0.0,0.0,60.0,6389.0,55330.0,29841.0,95.0,10.0,166.0,100.0,366.0,B
37,34535,685708231,686026004,1.0,33486.0,19422.0,4.0,27.0,18.0,0.0,0.0,3349.0,0.0,0.0,47.0,4280.0,33433.0,17620.0,41.0,10.0,56.0,95.0,116.0,C
38,38217,542057657,600546754,1.0,5021.0,3144.0,4.0,0.0,0.0,0.0,0.0,5010.0,0.0,0.0,7.0,697.0,5020.0,4169.0,4.0,5.0,0.0,6.0,44.0,Start
39,38983,582419581,601073723,1.0,10427.0,6604.0,1.0,0.0,1.0,0.0,0.0,7649.0,0.0,0.0,29.0,1515.0,10426.0,9211.0,7.0,3.0,7.0,9.0,49.0,C
40,39237,849424059,855861367,1.0,148814.0,84577.0,7.0,130.0,7.0,16.0,1.0,30903.0,0.0,0.0,168.0,18532.0,148301.0,88398.0,198.0,17.0,189.0,222.0,785.0,B
41,39445,820633933,833138756,1.0,114689.0,70864.0,5.0,118.0,5.0,0.0,0.0,1063.0,0.0,0.0,267.0,14646.0,114446.0,73191.0,86.0,11.0,201.0,194.0,326.0,B
42,42147,557787320,768441505,1.0,15526.0,9395.0,20.0,6.0,2.0,0.0,1.0,6386.0,0.0,0.0,49.0,2131.0,15520.0,10680.0,12.0,7.0,19.0,21.0,127.0,C
43,44488,643167973,936596631,1.0,28151.0,15692.0,10.0,19.0,3.0,0.0,1.0,1754.0,0.0,0.0,38.0,3299.0,28120.0,17966.0,61.0,10.0,60.0,37.0,133.0,C
44,44531,669509819,721932355,1.0,86613.0,54435.0,2.0,47.0,2.0,0.0,2.0,27381.0,0.0,0.0,114.0,11868.0,86265.0,68489.0,35.0,17.0,112.0,81.0,588.0,B
45,47630,492694129,496933457,1.0,18189.0,10511.0,2.0,16.0,0.0,0.0,1.0,5124.0,0.0,0.0,34.0,2266.0,18057.0,10524.0,27.0,8.0,35.0,34.0,131.0,GA
46,47858,461336008,646256495,1.0,32415.0,19979.0,6.0,6.0,0.0,0.0,0.0,9915.0,0.0,0.0,32.0,4352.0,31708.0,25086.0,17.0,7.0,29.0,30.0,360.0,B
47,49251,651025062,651084036,1.0,14550.0,8465.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,1722.0,14531.0,7779.0,10.0,12.0,18.0,35.0,100.0,C
48,53133,634240207,726548433,1.0,19985.0,11173.0,7.0,28.0,0.0,0.0,0.0,528.0,0.0,0.0,21.0,2441.0,19917.0,11953.0,40.0,8.0,33.0,41.0,42.0,C
49,53467,538342836,623776294,1.0,5164.0,3261.0,5.0,0.0,1.0,0.0,1.0,5148.0,0.0,0.0,7.0,709.0,5164.0,3414.0,3.0,1.0,0.0,20.0,42.0,Start
50,53569,520408827,638959483,1.0,55481.0,31598.0,17.0,36.0,3.0,0.0,1.0,8803.0,0.0,0.0,47.0,7138.0,55290.0,35705.0,60.0,9.0,64.0,69.0,451.0,B
51,53602,890149629,920832355,1.0,56871.0,33158.0,20.0,55.0,0.0,0.0,1.0,19316.0,0.0,0.0,73.0,7676.0,56816.0,32187.0,63.0,8.0,64.0,79.0,361.0,GA
52,53787,737752498,741162482,1.0,141750.0,81554.0,7.0,267.0,0.0,1.0,0.0,6291.0,31.0,0.0,167.0,17295.0,141117.0,78852.0,110.0,9.0,198.0,363.0,396.0,FA
53,55315,778423195,783360132,1.0,20019.0,10363.0,3.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2293.0,20012.0,10399.0,36.0,7.0,65.0,35.0,82.0,GA
54,58324,481806548,607320842,1.0,22255.0,12761.0,2.0,17.0,0.0,0.0,1.0,17214.0,0.0,0.0,39.0,3153.0,22241.0,15629.0,29.0,5.0,78.0,23.0,33.0,GA
55,65786,768615181,899782968,1.0,113168.0,53704.0,6.0,182.0,2.0,0.0,0.0,1018.0,0.0,0.0,218.0,11608.0,112297.0,49550.0,268.0,7.0,225.0,237.0,352.0,B
56,65858,596370694,596705429,1.0,10979.0,5607.0,7.0,25.0,0.0,0.0,0.0,1109.0,0.0,0.0,4.0,1098.0,10967.0,4408.0,33.0,6.0,33.0,33.0,36.0,C
57,65984,358397559,358929218,1.0,18406.0,10900.0,22.0,0.0,2.0,0.0,1.0,5482.0,0.0,0.0,22.0,2412.0,18360.0,14760.0,22.0,6.0,17.0,14.0,115.0,C
58,66934,679284531,904070936,1.0,20915.0,12091.0,13.0,3.0,1.0,0.0,1.0,18068.0,0.0,0.0,18.0,2733.0,20615.0,14566.0,4.0,11.0,7.0,21.0,255.0,C
59,68865,520810296,590065615,1.0,2290.0,1257.0,3.0,0.0,0.0,0.0,0.0,2240.0,0.0,0.0,0.0,316.0,2244.0,1003.0,2.0,1.0,0.0,17.0,29.0,Stub
