,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,2426307,167543052,73668644,0.0,12118.0,7363.0,1.0,9.0,3.0,0.0,0.0,7555.0,0.0,0.0,19.0,1688.0,12100.0,9217.0,11.0,3.0,4.0,16.0,60.0,C,7.983407174736091
1,7049432,125746711,150310078,1.0,4592.0,3065.0,1.0,0.0,0.0,0.0,0.0,4568.0,0.0,0.0,13.0,696.0,4592.0,4450.0,0.0,6.0,0.0,4.0,8.0,Start,15.605581769553712
2,312477,55726387,63487881,1.0,11921.0,8292.0,1.0,0.0,0.0,0.0,0.0,11850.0,0.0,0.0,34.0,1729.0,11888.0,11136.0,4.0,12.0,0.0,3.0,56.0,B,9.155111347409536
3,19260,43257883,40439654,0.0,42316.0,25271.0,2.0,0.0,0.0,2.0,1.0,41986.0,0.0,0.0,52.0,5169.0,42017.0,31247.0,37.0,19.0,0.0,14.0,484.0,B,6.811514704402298
4,2668699,23484157,23905970,1.0,634.0,486.0,0.0,0.0,0.0,0.0,0.0,634.0,0.0,0.0,0.0,106.0,634.0,603.0,0.0,0.0,0.0,3.0,0.0,Stub,12.0502337080643
5,46743844,663037855,663607142,1.0,1335.0,748.0,0.0,4.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0,161.0,1333.0,632.0,4.0,0.0,4.0,9.0,0.0,Stub,14.912434588993769
6,7073817,429108285,429107607,0.0,6519.0,4294.0,2.0,0.0,0.0,0.0,0.0,6502.0,0.0,0.0,7.0,868.0,6510.0,6037.0,0.0,5.0,0.0,4.0,20.0,Start,10.980608956269442
7,264989,201953085,201952921,0.0,6597.0,4397.0,2.0,0.0,5.0,0.0,0.0,6558.0,0.0,0.0,20.0,947.0,6578.0,5776.0,4.0,8.0,0.0,11.0,39.0,Start,15.605581769553712
8,20311,144822733,177195888,1.0,20635.0,13588.0,2.0,0.0,0.0,0.0,0.0,20551.0,0.0,0.0,36.0,2734.0,20575.0,17833.0,16.0,30.0,0.0,5.0,214.0,B,14.912434588993769
9,650232,86889831,86224423,0.0,13568.0,8158.0,4.0,1.0,0.0,0.0,1.0,13558.0,0.0,0.0,20.0,1826.0,13560.0,9119.0,23.0,8.0,0.0,6.0,143.0,B,10.396095616712293
10,83933,455819668,455819769,1.0,25334.0,15328.0,1.0,1.0,2.0,0.0,0.0,17245.0,0.0,1.0,68.0,3067.0,25174.0,19422.0,7.0,10.0,9.0,20.0,374.0,C,15.605581769553712
11,23687029,59343443,59047208,0.0,2474.0,1163.0,5.0,0.0,0.0,0.0,0.0,2469.0,0.0,0.0,4.0,237.0,2469.0,1467.0,11.0,2.0,0.0,5.0,15.0,Stub,14.912434588993769
12,877746,207581869,207441611,0.0,1459.0,948.0,2.0,0.0,0.0,0.0,0.0,1447.0,0.0,0.0,0.0,207.0,1459.0,1215.0,1.0,2.0,0.0,5.0,5.0,Stub,13.207686496755342
13,618998,239691431,227771060,0.0,5290.0,3224.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,671.0,5290.0,3867.0,4.0,4.0,1.0,5.0,48.0,Start,12.0502337080643
14,850536,130234160,125268456,0.0,36987.0,22580.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,140.0,4963.0,36934.0,30567.0,25.0,6.0,4.0,7.0,407.0,B,11.598248584321242
15,55998495,934024223,934036080,1.0,12824.0,5907.0,9.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1260.0,12818.0,3507.0,32.0,5.0,30.0,29.0,60.0,C,13.996143857119613
16,491908,21432105,21529707,1.0,6386.0,4265.0,3.0,0.0,0.0,0.0,0.0,6366.0,0.0,0.0,10.0,923.0,6384.0,5819.0,0.0,2.0,0.0,1.0,69.0,Start,10.31227694482922
