,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,200354,605237137,513957898,0.0,23505.0,13944.0,12.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,27.0,3151.0,22912.0,18213.0,20.0,9.0,27.0,18.0,94.0,C,14.912434588993769
1,43360033,618182670,618070956,0.0,5106.0,2548.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,502.0,5104.0,2915.0,10.0,5.0,10.0,4.0,42.0,Start,12.56105933183029
2,44188530,694535305,639299639,0.0,12722.0,6380.0,6.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1395.0,12270.0,4909.0,19.0,7.0,18.0,31.0,63.0,C,13.120675119765712
3,37006011,515932339,516902667,1.0,2007.0,1024.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,205.0,2000.0,757.0,1.0,3.0,2.0,7.0,13.0,Stub,15.605581769553712
4,43164932,667279870,667279990,1.0,13537.0,7092.0,4.0,27.0,0.0,0.0,1.0,216.0,0.0,0.0,29.0,1529.0,13523.0,5430.0,27.0,4.0,32.0,40.0,68.0,GA,13.408357192217494
5,41890842,525069777,510015865,0.0,9792.0,6049.0,1.0,5.0,0.0,0.0,1.0,648.0,0.0,0.0,16.0,1125.0,9666.0,5956.0,11.0,11.0,5.0,15.0,42.0,C,15.605581769553712
6,30907,809919829,809866754,0.0,55037.0,33505.0,7.0,33.0,1.0,0.0,0.0,2238.0,0.0,0.0,88.0,7457.0,54797.0,38324.0,63.0,5.0,83.0,71.0,161.0,B,9.689379706946278
7,226789,551729649,703646306,1.0,8994.0,5482.0,7.0,0.0,0.0,0.0,0.0,3012.0,0.0,0.0,9.0,1243.0,8952.0,7311.0,14.0,4.0,12.0,8.0,65.0,C,14.21928740843382
8,2162787,323806568,323499145,0.0,25551.0,15980.0,10.0,0.0,2.0,0.0,1.0,25497.0,0.0,0.0,40.0,3477.0,25529.0,21171.0,1.0,7.0,0.0,7.0,164.0,B,12.386705944685511
9,12407970,645585861,763454437,1.0,19626.0,10180.0,6.0,28.0,3.0,0.0,1.0,1650.0,0.0,0.0,19.0,2301.0,19620.0,9166.0,46.0,7.0,44.0,49.0,91.0,C,10.20741906803596
10,40130447,642061953,573205803,0.0,5770.0,2507.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,516.0,5764.0,1613.0,17.0,3.0,11.0,15.0,19.0,Start,14.21928740843382
11,399803,377818530,377605397,0.0,7108.0,4374.0,2.0,5.0,1.0,0.0,0.0,4359.0,0.0,0.0,6.0,927.0,7108.0,4615.0,4.0,5.0,15.0,9.0,39.0,C,13.996143857119613
12,18120279,504761247,504919113,1.0,18511.0,10764.0,2.0,8.0,2.0,4.0,1.0,0.0,0.0,0.0,20.0,2344.0,18473.0,11430.0,18.0,7.0,41.0,21.0,95.0,C,13.040632412092176
13,38983,582419581,601073723,1.0,10427.0,6604.0,1.0,0.0,1.0,0.0,0.0,7649.0,0.0,0.0,29.0,1515.0,10426.0,9211.0,7.0,3.0,7.0,9.0,49.0,C,12.715210011657549
14,51274092,751980390,733548419,0.0,1823.0,1194.0,1.0,1.0,1.0,0.0,0.0,1426.0,0.0,0.0,6.0,257.0,1823.0,1420.0,1.0,4.0,1.0,7.0,7.0,Start,14.506969480885603
15,38492414,894185694,764663377,0.0,11487.0,6177.0,18.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1241.0,11451.0,5141.0,9.0,4.0,6.0,16.0,105.0,C,13.996143857119613
16,36265324,499643101,511788904,1.0,2347.0,1584.0,0.0,0.0,0.0,0.0,0.0,2332.0,0.0,0.0,4.0,381.0,2340.0,2271.0,1.0,0.0,0.0,2.0,0.0,Start,14.912434588993769
