,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,155942,72624045,60480763,0.0,206.0,106.0,1.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,18.0,206.0,123.0,0.0,1.0,0.0,3.0,6.0,Stub,0.7369037003468105
1,875027,62544048,78998179,1.0,1857.0,1176.0,1.0,0.0,2.0,0.0,0.0,1849.0,0.0,0.0,2.0,250.0,1857.0,1598.0,0.0,1.0,0.0,3.0,36.0,Stub,12.17990536004968
2,1060572,115404872,115196431,0.0,7096.0,4533.0,2.0,0.0,0.0,0.0,1.0,6952.0,0.0,0.0,21.0,964.0,6972.0,5890.0,1.0,6.0,0.0,2.0,70.0,B,2.747086332652388
3,165507,147469946,145150238,0.0,31064.0,17096.0,22.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,61.0,3885.0,30893.0,21138.0,57.0,14.0,48.0,29.0,324.0,C,13.927324565876129
4,212390,220624151,221540894,1.0,20904.0,12278.0,4.0,0.0,3.0,0.0,0.0,17773.0,0.0,0.0,37.0,2973.0,20752.0,16465.0,8.0,13.0,4.0,26.0,209.0,B,49.816919702253735
5,555750,295297484,295296688,0.0,14702.0,9344.0,4.0,0.0,0.0,0.0,0.0,13708.0,0.0,0.0,21.0,1986.0,14684.0,12997.0,12.0,8.0,4.0,8.0,48.0,C,7.868859597126563
6,78404,120443995,110103484,0.0,2159.0,1432.0,2.0,0.0,0.0,0.0,0.0,2126.0,0.0,0.0,3.0,309.0,2144.0,1901.0,0.0,0.0,0.0,0.0,37.0,Start,0.4590764359755776
7,13069006,178220153,178300880,1.0,2500.0,1545.0,1.0,0.0,0.0,0.0,1.0,2497.0,0.0,0.0,0.0,316.0,2499.0,1051.0,1.0,3.0,0.0,5.0,39.0,Stub,1.8013981857710517
8,7607935,562686485,587267342,1.0,10183.0,6233.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,24.0,1326.0,10183.0,7232.0,12.0,4.0,8.0,13.0,91.0,C,0.597712554871495
9,16472,755461346,832445515,1.0,44272.0,25144.0,3.0,24.0,3.0,0.0,0.0,651.0,0.0,0.0,39.0,5517.0,44208.0,29744.0,78.0,12.0,77.0,56.0,147.0,B,18.89128507247988
10,4854903,844624575,831949902,0.0,19644.0,11161.0,5.0,11.0,0.0,0.0,1.0,10233.0,0.0,0.0,18.0,2473.0,19625.0,12649.0,19.0,7.0,25.0,28.0,82.0,C,1.1801634547094926
11,810528,89394807,82143879,0.0,15834.0,10020.0,6.0,0.0,0.0,0.0,1.0,15770.0,0.0,0.0,28.0,2206.0,15834.0,11825.0,6.0,7.0,0.0,5.0,144.0,B,1.7062819449805993
12,9378087,103328874,103231407,0.0,18197.0,9737.0,3.0,12.0,0.0,0.0,0.0,2064.0,0.0,0.0,22.0,2187.0,18184.0,12652.0,41.0,6.0,15.0,13.0,85.0,B,0.8698419718537476
13,2204223,135489016,134083420,0.0,6604.0,3931.0,2.0,8.0,0.0,0.0,0.0,1320.0,0.0,0.0,2.0,768.0,6595.0,3166.0,5.0,3.0,12.0,10.0,37.0,B,1.50813423765026
14,252701,590107364,565007109,0.0,21236.0,12459.0,13.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,2810.0,21202.0,14148.0,19.0,11.0,19.0,36.0,128.0,C,2.1905047282028143
15,1766613,387724755,387614353,0.0,4396.0,2707.0,3.0,2.0,0.0,0.0,1.0,2292.0,0.0,0.0,9.0,631.0,4376.0,3164.0,2.0,3.0,2.0,8.0,46.0,Start,0.7417540187065557
16,707615,595995998,653028040,1.0,7959.0,4848.0,3.0,3.0,2.0,0.0,1.0,5059.0,0.0,0.0,12.0,957.0,7958.0,6274.0,7.0,6.0,8.0,14.0,49.0,C,9.158707750355456
17,42882,352771396,353286524,1.0,9700.0,6217.0,3.0,0.0,0.0,0.0,0.0,7864.0,0.0,0.0,21.0,1289.0,9523.0,7626.0,2.0,7.0,1.0,10.0,130.0,B,13.213017844340293
18,69386,59529231,59580027,1.0,2555.0,1669.0,3.0,0.0,0.0,0.0,0.0,2546.0,0.0,0.0,4.0,369.0,2552.0,2129.0,1.0,1.0,0.0,2.0,42.0,Start,3.0850578037455785
19,386111,207993868,217881925,1.0,20618.0,13118.0,8.0,3.0,1.0,0.0,0.0,11259.0,0.0,1.0,35.0,2799.0,20543.0,17398.0,16.0,7.0,6.0,9.0,91.0,C,2.820731045729115
20,153990,115902651,117669108,1.0,19393.0,12985.0,3.0,2.0,0.0,0.0,0.0,17505.0,0.0,0.0,58.0,3108.0,19319.0,17792.0,6.0,9.0,3.0,6.0,111.0,B,16.287780626761588
21,12305001,145970595,145977410,1.0,4165.0,2421.0,9.0,0.0,1.0,0.0,1.0,704.0,0.0,0.0,4.0,560.0,4163.0,2327.0,7.0,3.0,10.0,10.0,33.0,Start,1.8017585278331048
22,43478389,619948246,619963309,1.0,1514.0,850.0,4.0,0.0,0.0,0.0,2.0,1514.0,0.0,0.0,1.0,154.0,1514.0,269.0,0.0,0.0,0.0,8.0,18.0,Stub,1.8305235964011135
23,1175448,357127176,333646145,0.0,3553.0,2340.0,4.0,2.0,1.0,0.0,1.0,3550.0,0.0,0.0,3.0,377.0,3552.0,909.0,2.0,1.0,0.0,12.0,41.0,Stub,10.256509118854602
24,867323,49823985,45879836,0.0,9929.0,6605.0,2.0,0.0,0.0,0.0,0.0,9884.0,0.0,0.0,14.0,1431.0,9918.0,9318.0,0.0,5.0,0.0,0.0,77.0,B,31.08585700847823
25,1868140,68547849,70284278,1.0,17081.0,10238.0,6.0,1.0,7.0,3.0,1.0,17078.0,0.0,0.0,25.0,2276.0,17080.0,12968.0,27.0,9.0,1.0,17.0,93.0,C,1.4861230640127552
26,1690187,73629660,66761593,0.0,1127.0,777.0,1.0,0.0,0.0,0.0,0.0,1121.0,0.0,0.0,3.0,172.0,1127.0,1031.0,0.0,0.0,0.0,1.0,11.0,Stub,0.3049206187471327
27,1452496,76911906,76518169,0.0,9258.0,6247.0,2.0,0.0,0.0,0.0,0.0,9232.0,0.0,0.0,16.0,1452.0,9254.0,8609.0,8.0,7.0,0.0,1.0,37.0,B,0.7340607573802433
28,8894036,889217938,892108612,1.0,3108.0,1740.0,3.0,3.0,0.0,0.0,0.0,970.0,0.0,0.0,2.0,359.0,3101.0,1251.0,6.0,3.0,3.0,18.0,20.0,Start,0.6603814755078877
29,2936775,184964189,184888399,0.0,2560.0,1731.0,2.0,0.0,0.0,0.0,0.0,2540.0,0.0,0.0,3.0,366.0,2556.0,2150.0,0.0,3.0,0.0,5.0,22.0,Start,3.1561981726538377
30,7819359,382654297,382678763,1.0,3886.0,2359.0,0.0,0.0,0.0,0.0,0.0,2108.0,0.0,0.0,5.0,572.0,3886.0,3357.0,4.0,3.0,3.0,2.0,9.0,Start,19.08407299820837
31,6371949,373474840,373333836,0.0,5168.0,2914.0,12.0,0.0,0.0,0.0,0.0,1993.0,0.0,0.0,9.0,586.0,5164.0,3940.0,7.0,4.0,4.0,10.0,37.0,Start,2.0205450568858017
32,597006,259344559,293382869,1.0,3159.0,1887.0,1.0,0.0,0.0,0.0,1.0,3042.0,0.0,0.0,2.0,422.0,3048.0,1665.0,0.0,2.0,0.0,25.0,43.0,Start,32.14728206008537
