,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,333549,734250176,780913363,1.0,15952.0,9333.0,14.0,9.0,0.0,0.0,1.0,1106.0,0.0,0.0,6.0,1997.0,15924.0,4487.0,13.0,6.0,12.0,38.0,86.0,C,1.1536758756755043
1,1704303,92800138,93989765,1.0,11143.0,6562.0,4.0,0.0,5.0,0.0,0.0,11058.0,0.0,0.0,12.0,1405.0,11076.0,8892.0,15.0,8.0,10.0,8.0,94.0,B,5.729191871240758
2,8398537,91247106,108424483,1.0,7870.0,4387.0,7.0,3.0,0.0,0.0,0.0,3150.0,0.0,0.0,4.0,898.0,7825.0,4954.0,7.0,4.0,10.0,29.0,37.0,C,0.2212431592454663
3,1398694,83094499,83207606,1.0,8398.0,5071.0,2.0,0.0,8.0,0.0,0.0,8396.0,0.0,0.0,19.0,1136.0,8396.0,6451.0,11.0,2.0,0.0,11.0,66.0,B,12.097342115284002
4,1914773,99349481,197676980,1.0,2778.0,1872.0,4.0,0.0,8.0,0.0,1.0,2761.0,0.0,0.0,7.0,401.0,2769.0,1954.0,0.0,1.0,0.0,13.0,31.0,Start,3.7508526863753
5,34381867,472722715,472716418,0.0,84651.0,39990.0,8.0,118.0,2.0,0.0,1.0,0.0,0.0,0.0,77.0,8497.0,84422.0,31275.0,202.0,11.0,203.0,163.0,268.0,B,1.8420249653819365
6,5195361,56341759,56308158,0.0,5882.0,4044.0,4.0,0.0,0.0,0.0,0.0,5867.0,0.0,0.0,7.0,872.0,5881.0,5118.0,2.0,3.0,0.0,0.0,40.0,B,0.4412270871258279
7,15885372,977584125,870593290,0.0,6715.0,3745.0,7.0,2.0,0.0,0.0,1.0,6697.0,0.0,0.0,4.0,754.0,6697.0,2995.0,3.0,4.0,15.0,24.0,49.0,C,0.2055267182913394
8,10498242,225306351,225425922,1.0,10267.0,5852.0,3.0,0.0,0.0,0.0,1.0,10267.0,0.0,0.0,8.0,1306.0,10267.0,7914.0,21.0,6.0,0.0,2.0,79.0,B,0.1816911998274918
9,46462945,817439296,833359554,1.0,67655.0,36021.0,14.0,113.0,0.0,0.0,0.0,2031.0,0.0,0.0,66.0,7739.0,67527.0,32773.0,127.0,10.0,163.0,147.0,203.0,B,0.2384015091068529
10,984217,153520069,153056702,0.0,28016.0,15877.0,14.0,15.0,5.0,0.0,1.0,4127.0,0.0,0.0,32.0,3415.0,27988.0,17949.0,38.0,8.0,35.0,47.0,215.0,C,8.107613546986723
11,7791974,145400917,169942651,1.0,6012.0,3228.0,4.0,0.0,2.0,0.0,0.0,1598.0,0.0,0.0,10.0,716.0,6012.0,4734.0,12.0,5.0,14.0,5.0,22.0,C,0.2110950397445001
12,40379651,184280323,189661538,1.0,34170.0,19269.0,10.0,24.0,2.0,3.0,1.0,9792.0,0.0,0.0,24.0,4197.0,34059.0,22087.0,32.0,10.0,29.0,49.0,289.0,C,314.20338477502736
13,2278624,880118398,880116359,0.0,16374.0,7938.0,8.0,15.0,6.0,0.0,1.0,550.0,0.0,0.0,15.0,1749.0,16324.0,6954.0,23.0,8.0,26.0,34.0,108.0,C,1.310503739927702
14,4980930,231611380,229382690,0.0,6075.0,3522.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,749.0,6061.0,4839.0,10.0,2.0,17.0,2.0,40.0,B,1.3102367366422052
15,14644187,495140716,495187613,1.0,40260.0,22244.0,7.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,51.0,4801.0,40076.0,26482.0,75.0,7.0,83.0,50.0,207.0,B,0.2145152198520024
16,2648713,33534507,33928923,1.0,10880.0,5376.0,4.0,0.0,0.0,0.0,0.0,10552.0,0.0,0.0,7.0,1151.0,10566.0,7644.0,5.0,5.0,0.0,2.0,133.0,B,8.605677323602086
17,3190225,431611886,432072572,1.0,18569.0,12169.0,1.0,0.0,0.0,0.0,0.0,8471.0,0.0,0.0,26.0,2677.0,18482.0,16165.0,4.0,5.0,10.0,7.0,108.0,C,19.932785090740094
