,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,14082953,169325023,169326357,1.0,1430.0,586.0,0.0,3.0,0.0,0.0,0.0,186.0,0.0,0.0,2.0,124.0,1418.0,494.0,3.0,2.0,3.0,4.0,8.0,Stub,1.8826664581441463
1,42439844,683207409,683146238,0.0,10138.0,6106.0,3.0,0.0,0.0,14.0,0.0,126.0,0.0,0.0,0.0,1268.0,10113.0,4832.0,1.0,6.0,12.0,5.0,22.0,B,0.4797395274845641
2,2820482,31903683,31902734,0.0,2017.0,1325.0,0.0,0.0,0.0,0.0,0.0,2003.0,0.0,0.0,1.0,298.0,2017.0,1778.0,0.0,0.0,0.0,2.0,40.0,Stub,0.7602445522901484
3,4123773,89843346,89844765,1.0,536.0,351.0,4.0,0.0,3.0,0.0,0.0,536.0,0.0,0.0,2.0,70.0,536.0,286.0,0.0,0.0,0.0,6.0,11.0,Stub,7.1531528026883935
4,209918,74691933,74691034,0.0,1609.0,951.0,3.0,0.0,0.0,0.0,1.0,1585.0,0.0,0.0,1.0,191.0,1587.0,708.0,1.0,0.0,0.0,6.0,40.0,Stub,1.271342941509543
5,12464527,813918376,810263579,0.0,24950.0,13688.0,6.0,30.0,4.0,0.0,0.0,540.0,0.0,0.0,37.0,3032.0,24886.0,14379.0,39.0,10.0,56.0,39.0,51.0,B,0.1900783174741611
6,4353671,180849343,180895329,1.0,1445.0,957.0,4.0,0.0,0.0,0.0,0.0,1434.0,0.0,0.0,3.0,208.0,1440.0,1180.0,0.0,0.0,0.0,4.0,14.0,Stub,0.3106318750228405
7,21221032,670755560,675359894,1.0,7572.0,4125.0,13.0,0.0,2.0,0.0,1.0,4060.0,0.0,0.0,5.0,823.0,6864.0,4369.0,11.0,2.0,4.0,25.0,49.0,Start,0.2226146302770285
8,25360954,434708008,434708077,1.0,4088.0,2542.0,4.0,1.0,2.0,0.0,0.0,3479.0,0.0,0.0,6.0,577.0,4078.0,3190.0,1.0,1.0,1.0,8.0,22.0,Start,0.1648939229980178
9,6325518,114638545,114643463,1.0,2288.0,1073.0,3.0,0.0,0.0,0.0,0.0,2287.0,0.0,0.0,0.0,224.0,2287.0,1476.0,0.0,0.0,0.0,1.0,67.0,Start,4.665358715035143
10,34291701,693115397,693015058,0.0,3462.0,2131.0,7.0,2.0,0.0,0.0,0.0,1808.0,0.0,0.0,3.0,469.0,3462.0,2418.0,2.0,3.0,2.0,6.0,47.0,Start,0.1553425638631454
11,42663642,625869056,625827230,0.0,5127.0,2484.0,2.0,7.0,6.0,0.0,0.0,1024.0,0.0,0.0,4.0,513.0,5119.0,991.0,8.0,4.0,13.0,18.0,11.0,Start,0.2058927909293525
12,5443351,57114925,57121846,1.0,6075.0,4185.0,0.0,0.0,0.0,0.0,0.0,6005.0,0.0,0.0,14.0,1075.0,6019.0,5894.0,0.0,2.0,0.0,4.0,16.0,Start,2.141840582499541
13,14918546,369039168,378371880,1.0,92612.0,57932.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,12681.0,90272.0,67174.0,39.0,16.0,129.0,66.0,598.0,B,4.219184364629279
14,5659605,59906142,59906963,1.0,558.0,327.0,0.0,0.0,0.0,0.0,0.0,554.0,0.0,0.0,0.0,73.0,558.0,505.0,1.0,1.0,0.0,1.0,5.0,Stub,0.2206961992205594
15,5080453,319175571,318845177,0.0,4323.0,2350.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,557.0,4123.0,2637.0,2.0,4.0,2.0,25.0,32.0,Start,0.3532266458117822
16,11226828,680793024,684668455,1.0,1943.0,1194.0,5.0,0.0,0.0,0.0,0.0,1941.0,0.0,0.0,1.0,263.0,1943.0,953.0,0.0,0.0,0.0,7.0,15.0,Stub,0.2311191140405168
17,30136585,409420298,409390277,0.0,13984.0,9121.0,2.0,3.0,0.0,0.0,0.0,848.0,0.0,0.0,23.0,1940.0,13968.0,11902.0,9.0,7.0,24.0,5.0,42.0,B,0.5019400263467367
18,1335088,443765632,444656154,1.0,4612.0,2493.0,4.0,4.0,2.0,0.0,0.0,2338.0,0.0,0.0,4.0,565.0,4612.0,2785.0,10.0,6.0,5.0,15.0,31.0,Start,0.3015213555983187
19,8384788,853475604,853471202,0.0,4956.0,2872.0,6.0,1.0,0.0,0.0,1.0,4952.0,0.0,0.0,1.0,572.0,4956.0,1930.0,4.0,5.0,3.0,14.0,56.0,Start,0.2141373866195688
20,11168836,130052996,130053196,1.0,1277.0,827.0,0.0,0.0,0.0,0.0,0.0,1237.0,0.0,0.0,4.0,191.0,1239.0,973.0,0.0,0.0,0.0,2.0,4.0,Stub,0.2473626491807266
21,3444308,31952676,31953534,1.0,304.0,192.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,47.0,304.0,256.0,0.0,0.0,0.0,4.0,0.0,Stub,0.2867907333574341
22,48848288,695822049,695876192,1.0,521.0,290.0,1.0,0.0,0.0,0.0,1.0,519.0,0.0,0.0,0.0,60.0,521.0,241.0,0.0,2.0,0.0,4.0,7.0,Stub,0.1709782486473339
23,21857860,256630551,256627420,0.0,2134.0,1202.0,2.0,0.0,0.0,0.0,0.0,2123.0,0.0,0.0,4.0,245.0,2125.0,1007.0,0.0,1.0,0.0,9.0,30.0,Stub,0.8476526462202909
24,18835845,227935972,159697619,0.0,2118.0,1110.0,1.0,2.0,0.0,0.0,1.0,1413.0,0.0,0.0,2.0,241.0,2118.0,944.0,2.0,3.0,2.0,15.0,28.0,Stub,0.6111521733949647
25,925611,603635732,601186166,0.0,6883.0,4321.0,7.0,0.0,0.0,0.0,1.0,6847.0,0.0,0.0,10.0,949.0,6873.0,5208.0,0.0,3.0,0.0,13.0,61.0,Start,3.525778182388805
26,5606905,68274674,68636785,1.0,425.0,273.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,55.0,425.0,364.0,0.0,0.0,0.0,2.0,4.0,Stub,0.4188561629666286
27,19092475,235042723,235044386,1.0,341.0,228.0,1.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,1.0,44.0,341.0,219.0,0.0,0.0,0.0,3.0,2.0,Stub,0.2187563424957706
28,23338864,298286902,298282162,0.0,1186.0,752.0,1.0,1.0,0.0,0.0,0.0,1182.0,0.0,0.0,2.0,155.0,1186.0,816.0,2.0,1.0,0.0,4.0,8.0,Stub,0.1635771067348176
29,3165113,28423796,28460682,1.0,622.0,478.0,0.0,0.0,0.0,0.0,0.0,622.0,0.0,0.0,0.0,108.0,622.0,612.0,0.0,0.0,0.0,1.0,0.0,Stub,0.5459063343959297
30,4706881,488339377,487769685,0.0,4100.0,1894.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,435.0,4091.0,1104.0,7.0,3.0,7.0,16.0,19.0,Start,0.3082754994552856
31,32911237,447367002,449832010,1.0,2125.0,1334.0,5.0,0.0,0.0,0.0,1.0,1110.0,0.0,0.0,4.0,268.0,2125.0,1412.0,1.0,5.0,1.0,3.0,14.0,Stub,0.4529497064760417
32,31164954,418507416,418507556,1.0,196.0,114.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,26.0,193.0,123.0,0.0,0.0,0.0,2.0,3.0,Stub,0.3436792871593571
33,1209966,354255150,353266381,0.0,24886.0,14118.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,26.0,3015.0,24568.0,15448.0,45.0,10.0,42.0,26.0,145.0,C,1.7117446808638936
34,8025116,91627122,91895124,1.0,1563.0,847.0,4.0,0.0,0.0,0.0,1.0,1561.0,0.0,0.0,1.0,185.0,1563.0,387.0,0.0,1.0,0.0,4.0,30.0,Stub,1.4040401833812348
35,1304321,54858796,54835697,0.0,9548.0,6089.0,3.0,0.0,2.0,0.0,0.0,489.0,0.0,0.0,13.0,1305.0,9494.0,8608.0,9.0,4.0,2.0,4.0,22.0,Start,0.215236829391549
36,3791920,36123060,36123915,1.0,184.0,112.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,1.0,28.0,184.0,163.0,0.0,0.0,0.0,1.0,3.0,Stub,0.6657691188601836
37,22551695,457744765,457757573,1.0,4498.0,2664.0,8.0,4.0,0.0,0.0,0.0,2487.0,0.0,0.0,14.0,559.0,4497.0,3284.0,7.0,6.0,4.0,6.0,39.0,Start,0.19515717215046
38,6526541,70306296,70307930,1.0,2978.0,2053.0,0.0,0.0,0.0,0.0,0.0,2970.0,0.0,0.0,11.0,480.0,2978.0,2944.0,0.0,0.0,0.0,1.0,2.0,Start,0.2603451236610708
39,36939863,511130832,511128611,0.0,8132.0,4930.0,3.0,0.0,0.0,0.0,0.0,7885.0,0.0,0.0,8.0,1199.0,7891.0,6930.0,3.0,2.0,0.0,4.0,3.0,Start,0.1547726871712206
40,26916747,355522171,355390207,0.0,1321.0,790.0,0.0,0.0,0.0,0.0,0.0,1311.0,0.0,0.0,0.0,173.0,1315.0,1127.0,2.0,3.0,0.0,2.0,28.0,Stub,0.1924082739564376
41,9453471,108463781,108445016,0.0,3420.0,1849.0,1.0,0.0,0.0,0.0,0.0,3416.0,0.0,0.0,4.0,394.0,3416.0,1982.0,2.0,0.0,0.0,22.0,11.0,Start,0.2071123451750471
42,4941006,59901772,58912131,0.0,556.0,349.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,1.0,77.0,553.0,446.0,1.0,0.0,0.0,1.0,7.0,Stub,0.1702380190708069
43,18835845,159697619,227935972,1.0,746.0,444.0,0.0,0.0,0.0,0.0,1.0,746.0,0.0,0.0,2.0,85.0,746.0,0.0,0.0,0.0,0.0,5.0,4.0,Stub,0.6111521733949647
44,19192312,236530504,237109496,1.0,3730.0,2617.0,0.0,0.0,0.0,0.0,0.0,3716.0,0.0,0.0,10.0,640.0,3730.0,3681.0,0.0,0.0,0.0,3.0,2.0,Stub,0.1892194175742205
45,5085523,52439369,52437265,0.0,1206.0,802.0,3.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,6.0,189.0,1206.0,1018.0,0.0,1.0,0.0,1.0,6.0,Stub,2.5449641484221854
46,36033749,496095696,496056226,0.0,944.0,585.0,2.0,1.0,0.0,0.0,0.0,159.0,0.0,0.0,14.0,121.0,944.0,673.0,1.0,4.0,1.0,2.0,3.0,Stub,0.2877987855528239
47,6064231,140843891,140975249,1.0,1225.0,731.0,0.0,0.0,0.0,0.0,0.0,1221.0,0.0,0.0,3.0,150.0,1225.0,932.0,3.0,0.0,0.0,2.0,2.0,Stub,0.1700375548012453
48,6770035,146361148,150446881,1.0,10021.0,5865.0,2.0,1.0,3.0,0.0,0.0,2492.0,0.0,0.0,5.0,1279.0,10019.0,6292.0,2.0,3.0,1.0,9.0,155.0,Start,1.1023697830927128
49,11390850,133181279,133126151,0.0,1057.0,602.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,135.0,1057.0,851.0,2.0,1.0,0.0,0.0,8.0,Stub,65.22904936883332
50,11856314,301155740,301657036,1.0,3844.0,2578.0,3.0,0.0,0.0,0.0,0.0,3818.0,0.0,0.0,6.0,583.0,3844.0,3669.0,0.0,2.0,0.0,2.0,6.0,Start,0.914549452052559
51,7203963,842714893,842713045,0.0,3180.0,2137.0,2.0,0.0,1.0,0.0,0.0,3168.0,0.0,0.0,1.0,473.0,3180.0,2088.0,1.0,2.0,0.0,6.0,5.0,Start,0.174682824331988
52,4089762,39862459,39837310,0.0,611.0,450.0,0.0,0.0,0.0,0.0,0.0,607.0,0.0,0.0,2.0,102.0,611.0,574.0,0.0,0.0,0.0,3.0,0.0,Stub,0.5986285648955316
53,2267260,175740079,176215265,1.0,848.0,527.0,5.0,0.0,0.0,0.0,0.0,837.0,0.0,0.0,0.0,98.0,839.0,359.0,0.0,0.0,0.0,6.0,20.0,Stub,0.2169714817517852
54,10155339,897361533,889949337,0.0,3347.0,2062.0,2.0,2.0,0.0,0.0,0.0,294.0,0.0,0.0,2.0,460.0,3345.0,2438.0,2.0,3.0,4.0,7.0,11.0,Start,0.3217217117814983
55,4672942,58233226,58629353,1.0,1349.0,796.0,0.0,0.0,0.0,0.0,0.0,1325.0,0.0,0.0,0.0,153.0,1339.0,1206.0,1.0,0.0,0.0,1.0,2.0,Stub,0.3735127505749557
56,26773927,353304808,353281071,0.0,2930.0,1301.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,273.0,2928.0,1651.0,9.0,1.0,9.0,6.0,9.0,Start,0.7812405553811038
57,34525854,477445924,483988453,1.0,236.0,160.0,1.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,35.0,236.0,186.0,0.0,0.0,0.0,2.0,1.0,Stub,0.5360227902023864
58,3012356,636597637,635542754,0.0,564.0,332.0,2.0,0.0,0.0,0.0,0.0,562.0,0.0,0.0,0.0,67.0,564.0,353.0,1.0,1.0,0.0,2.0,8.0,Stub,0.1695202638755375
59,10968885,177941209,177854783,0.0,587.0,374.0,0.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,85.0,587.0,457.0,0.0,0.0,0.0,2.0,9.0,Stub,0.675968204444383
60,48797905,713660848,695045120,0.0,5789.0,3061.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,674.0,5787.0,2931.0,11.0,2.0,15.0,15.0,25.0,Start,0.1506141126789268
61,36673356,506546181,506733076,1.0,1742.0,878.0,0.0,0.0,0.0,0.0,1.0,1736.0,0.0,0.0,0.0,155.0,1742.0,519.0,0.0,3.0,0.0,4.0,8.0,Stub,0.9384939123686428
62,758448,543441152,543746271,1.0,2116.0,1106.0,2.0,1.0,0.0,0.0,1.0,1258.0,0.0,0.0,2.0,239.0,2094.0,875.0,1.0,1.0,1.0,6.0,11.0,Stub,1.7832094641416485
63,849456,269195475,269894466,1.0,386.0,242.0,1.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0,1.0,61.0,380.0,300.0,0.0,0.0,0.0,2.0,7.0,Stub,0.1874028456200104
64,4262787,42073686,42073409,0.0,335.0,227.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,1.0,54.0,335.0,325.0,0.0,0.0,0.0,1.0,0.0,Stub,0.3452336813124232
65,1628215,53817728,53818386,1.0,2883.0,1609.0,3.0,0.0,0.0,0.0,0.0,2875.0,0.0,0.0,2.0,343.0,2883.0,1557.0,0.0,2.0,0.0,12.0,25.0,Start,0.1524584203977613
66,3603112,426715872,426711147,0.0,1843.0,1204.0,5.0,0.0,0.0,0.0,1.0,1825.0,0.0,0.0,3.0,230.0,1827.0,739.0,0.0,2.0,0.0,8.0,22.0,Stub,2.3170277622082125
67,3791920,36123915,36123060,0.0,1572.0,691.0,1.0,0.0,0.0,0.0,0.0,1572.0,0.0,0.0,1.0,155.0,1572.0,552.0,0.0,0.0,0.0,7.0,8.0,Stub,0.6657691188601836
68,8322885,218967286,218936645,0.0,4183.0,2626.0,1.0,1.0,0.0,0.0,1.0,3594.0,0.0,0.0,6.0,568.0,4183.0,3320.0,4.0,5.0,1.0,6.0,12.0,Start,0.6544785685633554
69,53823294,746854934,747150629,1.0,5999.0,2828.0,6.0,11.0,0.0,0.0,1.0,1130.0,0.0,0.0,7.0,578.0,5997.0,1616.0,13.0,6.0,12.0,29.0,26.0,Start,0.1925593005117533
70,21937222,277084891,277086662,1.0,440.0,297.0,1.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,65.0,440.0,331.0,0.0,0.0,0.0,2.0,6.0,Stub,0.1890307689461607
71,1212038,91832864,91835906,1.0,98542.0,61078.0,14.0,25.0,4.0,0.0,0.0,3140.0,0.0,0.0,160.0,13224.0,98310.0,82297.0,83.0,12.0,78.0,75.0,543.0,B,16.330848549068275
72,16787723,454994491,466936468,1.0,3085.0,1720.0,6.0,3.0,0.0,0.0,1.0,3067.0,0.0,0.0,0.0,359.0,3073.0,1153.0,1.0,2.0,0.0,11.0,24.0,Stub,0.623110947345516
73,4965063,126278073,126335814,1.0,1935.0,1291.0,3.0,0.0,0.0,0.0,0.0,1923.0,0.0,0.0,7.0,280.0,1935.0,1740.0,0.0,3.0,0.0,1.0,12.0,Start,0.4596113682455969
74,9891909,113041576,113044014,1.0,670.0,475.0,0.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,1.0,102.0,646.0,614.0,0.0,0.0,0.0,3.0,0.0,Stub,1.0309225381391791
75,1086554,40299911,40836198,1.0,1919.0,1200.0,1.0,0.0,0.0,0.0,0.0,1909.0,0.0,0.0,0.0,257.0,1919.0,1742.0,0.0,4.0,0.0,1.0,28.0,Stub,2.229278840023606
76,17416342,87428337,87380612,0.0,33559.0,20274.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,59.0,4628.0,33461.0,27077.0,29.0,8.0,7.0,8.0,329.0,B,51.18281948149314
77,7457548,91718799,91719501,1.0,3233.0,1589.0,5.0,0.0,3.0,0.0,1.0,3229.0,0.0,0.0,2.0,334.0,3229.0,1398.0,2.0,3.0,0.0,33.0,20.0,Start,0.7247312057703981
78,49099817,699916368,699950987,1.0,3288.0,1731.0,7.0,0.0,0.0,0.0,1.0,1612.0,0.0,0.0,2.0,367.0,3288.0,1988.0,4.0,1.0,4.0,10.0,42.0,Start,0.2199205577821046
79,19444970,388529300,388532472,1.0,17961.0,10739.0,3.0,2.0,1.0,0.0,0.0,2511.0,0.0,0.0,33.0,2372.0,17902.0,11600.0,31.0,6.0,22.0,10.0,50.0,C,0.8772131842205042
80,3965102,42853650,42851038,0.0,6966.0,4313.0,1.0,0.0,0.0,0.0,0.0,6942.0,0.0,0.0,13.0,945.0,6942.0,5779.0,5.0,3.0,0.0,5.0,53.0,Start,0.3212112435247532
81,9269113,105145981,105193718,1.0,441.0,278.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,62.0,441.0,189.0,0.0,0.0,0.0,2.0,0.0,Stub,0.2678605889215332
82,3684992,202654211,202785535,1.0,18996.0,13044.0,3.0,0.0,0.0,0.0,0.0,18025.0,0.0,0.0,26.0,2966.0,18982.0,18515.0,1.0,8.0,1.0,4.0,31.0,C,1.1017227231450353
83,5468667,159764266,159401627,0.0,1469.0,952.0,3.0,0.0,0.0,0.0,0.0,825.0,0.0,0.0,2.0,213.0,1469.0,935.0,1.0,1.0,1.0,7.0,26.0,Stub,0.4674764629476083
84,6526269,70306476,70307569,1.0,2275.0,1574.0,0.0,0.0,0.0,0.0,0.0,2269.0,0.0,0.0,7.0,373.0,2275.0,2230.0,0.0,0.0,0.0,2.0,2.0,Stub,0.2603451236610708
85,5832770,62105511,62167358,1.0,482.0,345.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,1.0,72.0,482.0,464.0,0.0,0.0,0.0,1.0,0.0,Stub,1.7085548321588284
86,4124766,282403179,281319920,0.0,2036.0,1301.0,8.0,1.0,0.0,0.0,0.0,2022.0,0.0,0.0,0.0,256.0,2036.0,1584.0,1.0,1.0,0.0,3.0,26.0,Start,0.1579410420073293
87,17950543,219459201,219459444,1.0,512.0,285.0,2.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,61.0,512.0,440.0,1.0,1.0,1.0,3.0,5.0,Stub,0.2015208468714265
88,14460282,174265725,176658804,1.0,909.0,528.0,0.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,127.0,895.0,850.0,0.0,1.0,0.0,2.0,0.0,Stub,0.4908797026843705
89,849456,269894466,269195475,0.0,733.0,463.0,1.0,0.0,0.0,0.0,0.0,725.0,0.0,0.0,1.0,107.0,727.0,303.0,0.0,0.0,0.0,2.0,7.0,Stub,0.1874028456200104
90,50498595,719552180,720131343,1.0,116.0,84.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,17.0,116.0,81.0,0.0,0.0,0.0,1.0,1.0,Stub,0.1616039837217671
91,1628215,53818386,53817728,0.0,2867.0,1604.0,3.0,0.0,0.0,0.0,0.0,2859.0,0.0,0.0,2.0,342.0,2867.0,1554.0,0.0,2.0,0.0,11.0,25.0,Stub,0.1524584203977613
92,23915846,306925454,307253495,1.0,863.0,527.0,0.0,0.0,0.0,0.0,0.0,859.0,0.0,0.0,2.0,123.0,863.0,784.0,1.0,4.0,0.0,1.0,1.0,Stub,0.2140790541958629
93,55906,254640238,259429758,1.0,78249.0,45716.0,5.0,49.0,7.0,15.0,2.0,70872.0,0.0,1.0,92.0,9502.0,77764.0,44493.0,60.0,19.0,60.0,129.0,713.0,C,188.932025610382
94,585765,72030209,70965657,0.0,831.0,532.0,2.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,118.0,814.0,720.0,0.0,0.0,0.0,1.0,10.0,Stub,0.2433853265457733
95,45377778,655351094,655130109,0.0,2084.0,1125.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251.0,2084.0,809.0,3.0,2.0,5.0,7.0,5.0,Stub,0.1623036168174135
96,20049869,683421482,683146023,0.0,9199.0,5547.0,1.0,0.0,1.0,0.0,0.0,505.0,0.0,0.0,1.0,1158.0,9113.0,6594.0,2.0,4.0,15.0,7.0,68.0,C,0.3037955815788476
97,16985765,355570252,355568750,0.0,801.0,458.0,5.0,0.0,1.0,0.0,0.0,801.0,0.0,0.0,0.0,90.0,801.0,351.0,1.0,1.0,0.0,8.0,13.0,Stub,0.2090864069716028
98,2488212,177446631,177557050,1.0,5990.0,3785.0,9.0,0.0,1.0,0.0,0.0,5973.0,0.0,0.0,9.0,831.0,5990.0,5397.0,4.0,4.0,0.0,4.0,35.0,Start,2.1703011710587727
99,13052574,264948353,264850542,0.0,986.0,441.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,986.0,297.0,3.0,0.0,3.0,4.0,8.0,Stub,0.1815136024953166
100,34255579,855517305,855397194,0.0,1660.0,965.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,1657.0,543.0,2.0,1.0,2.0,6.0,8.0,Stub,0.1909464533131537
101,45682270,662139677,662134510,0.0,2209.0,1234.0,4.0,4.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,258.0,2194.0,917.0,4.0,2.0,4.0,8.0,20.0,Stub,0.1538396652862461
102,33980635,464542076,464512427,0.0,1365.0,912.0,0.0,0.0,0.0,0.0,0.0,1357.0,0.0,0.0,2.0,222.0,1357.0,1304.0,0.0,0.0,0.0,0.0,4.0,Stub,0.1876238499947265
103,3515067,74138082,84371140,1.0,1755.0,1155.0,0.0,0.0,0.0,0.0,0.0,1745.0,0.0,0.0,0.0,236.0,1753.0,1683.0,0.0,0.0,0.0,3.0,0.0,Stub,0.2774246610028889
104,5752099,78863358,78863500,1.0,378.0,244.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,3.0,57.0,378.0,301.0,0.0,0.0,0.0,3.0,1.0,Stub,113.82624459390934
105,14286866,179470207,180156441,1.0,4905.0,2774.0,0.0,2.0,0.0,0.0,0.0,4893.0,0.0,0.0,7.0,627.0,4903.0,3546.0,3.0,7.0,5.0,5.0,40.0,Start,0.5226488293887718
106,8312733,316300931,316302278,1.0,772.0,480.0,1.0,0.0,0.0,0.0,0.0,766.0,0.0,0.0,1.0,99.0,772.0,560.0,0.0,0.0,0.0,2.0,11.0,Stub,0.2042708935113533
107,6980708,116514870,116316444,0.0,4244.0,2739.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,600.0,4238.0,3543.0,2.0,9.0,1.0,10.0,54.0,Start,0.2739374793701875
108,1086554,40836198,40299911,0.0,2356.0,1499.0,1.0,0.0,0.0,0.0,0.0,2348.0,0.0,0.0,3.0,322.0,2356.0,2181.0,0.0,3.0,0.0,0.0,28.0,Start,2.229278840023606
109,30850662,772290512,770055943,0.0,1838.0,1087.0,5.0,1.0,0.0,0.0,0.0,1836.0,0.0,0.0,1.0,233.0,1838.0,801.0,1.0,1.0,2.0,8.0,13.0,Stub,0.1652654576045873
110,49099817,699950987,699916368,0.0,3858.0,2067.0,7.0,4.0,0.0,0.0,1.0,1624.0,0.0,0.0,2.0,444.0,3856.0,1647.0,4.0,1.0,4.0,13.0,41.0,Start,0.2199205577821046
111,7457548,91719501,91718799,0.0,3215.0,1579.0,5.0,0.0,3.0,0.0,1.0,3211.0,0.0,0.0,2.0,332.0,3211.0,1398.0,2.0,3.0,0.0,31.0,20.0,Start,0.7247312057703981
112,6064231,140975249,140843891,0.0,3253.0,1325.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,261.0,3253.0,771.0,10.0,4.0,9.0,10.0,14.0,Start,0.1700375548012453
113,27477122,944406137,944419829,1.0,1539.0,944.0,2.0,0.0,0.0,0.0,0.0,1533.0,0.0,0.0,2.0,202.0,1533.0,1200.0,1.0,2.0,3.0,4.0,15.0,Stub,0.1903279645453128
114,5574,301662311,315352178,1.0,38727.0,24728.0,1.0,0.0,2.0,0.0,0.0,8960.0,0.0,0.0,57.0,5254.0,38503.0,32697.0,30.0,11.0,20.0,23.0,312.0,B,13.046101621469424
115,35829208,802610047,802484752,0.0,5097.0,2946.0,7.0,0.0,0.0,0.0,1.0,2183.0,0.0,0.0,6.0,554.0,5097.0,2543.0,3.0,5.0,2.0,12.0,35.0,Start,2.8370392148013868
116,18207901,543387130,542053360,0.0,7823.0,4546.0,3.0,0.0,0.0,0.0,0.0,4536.0,0.0,0.0,13.0,960.0,7763.0,5516.0,8.0,6.0,13.0,13.0,23.0,C,1.1715748514015671
