,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,151327,899636926,877125631,0.0,11695.0,7068.0,15.0,2.0,1.0,5.0,1.0,4751.0,0.0,0.0,16.0,1605.0,11683.0,8688.0,6.0,7.0,5.0,18.0,65.0,C,2.4436640442101605
1,177665,932621031,918088137,0.0,8095.0,4970.0,6.0,5.0,0.0,0.0,2.0,1571.0,0.0,0.0,5.0,1121.0,8083.0,4560.0,5.0,6.0,9.0,19.0,49.0,C,1.4471860568880746
2,1009303,915922037,914534042,0.0,17078.0,10860.0,12.0,9.0,0.0,0.0,0.0,5468.0,0.0,0.0,25.0,2491.0,17056.0,9811.0,5.0,6.0,19.0,25.0,122.0,C,6.162806029617176
3,46540947,885439555,842694439,0.0,7086.0,4150.0,5.0,3.0,1.0,0.0,1.0,1437.0,0.0,0.0,8.0,900.0,7080.0,4617.0,6.0,6.0,13.0,15.0,44.0,C,0.2317329226393168
4,22947990,895514467,933866198,1.0,1474.0,780.0,6.0,0.0,0.0,0.0,1.0,1467.0,0.0,0.0,0.0,165.0,1469.0,719.0,0.0,2.0,0.0,9.0,18.0,Stub,0.3160232565050942
5,5479828,921083509,895268566,0.0,1135.0,651.0,6.0,0.0,0.0,0.0,1.0,1122.0,0.0,0.0,0.0,119.0,1124.0,427.0,0.0,1.0,0.0,6.0,17.0,Stub,0.6910342676342301
6,3989965,830020418,908381496,1.0,2448.0,1400.0,2.0,1.0,0.0,2.0,1.0,523.0,0.0,0.0,1.0,266.0,2444.0,671.0,1.0,3.0,1.0,12.0,13.0,Stub,1.3697974145446197
7,20303690,860693946,967649841,1.0,22321.0,14324.0,1.0,0.0,0.0,0.0,0.0,22263.0,0.0,0.0,24.0,2835.0,22265.0,444.0,0.0,6.0,0.0,134.0,49.0,Stub,0.1750201421840325
8,33093893,878282594,960358685,1.0,16427.0,9331.0,2.0,1.0,1.0,0.0,0.0,985.0,0.0,0.0,7.0,2131.0,16307.0,15094.0,17.0,4.0,21.0,6.0,18.0,C,0.179614206715507
9,927058,961064997,820542234,0.0,26427.0,15360.0,14.0,31.0,1.0,0.0,1.0,6888.0,0.0,0.0,32.0,3476.0,26411.0,15350.0,37.0,8.0,41.0,55.0,161.0,C,3.167175045457282
10,5020300,947280178,938195523,0.0,6881.0,4244.0,6.0,1.0,1.0,0.0,1.0,3063.0,0.0,0.0,3.0,852.0,6879.0,4295.0,6.0,8.0,4.0,12.0,80.0,C,0.517974175565537
11,314655,898238401,838228236,0.0,15199.0,7676.0,11.0,32.0,0.0,0.0,1.0,1148.0,0.0,0.0,19.0,1622.0,15140.0,5414.0,34.0,8.0,35.0,48.0,54.0,C,2.2690108149654167
