,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,4274371,473579681,610282596,1.0,2122.0,1319.0,5.0,0.0,0.0,0.0,1.0,2085.0,0.0,0.0,0.0,237.0,2093.0,1168.0,1.0,3.0,0.0,9.0,32.0,Stub,1.4702874218578712
1,16084536,371121408,370513248,0.0,12100.0,8164.0,4.0,0.0,0.0,0.0,0.0,12066.0,0.0,0.0,24.0,1806.0,12094.0,11617.0,0.0,3.0,0.0,5.0,37.0,B,3.0625507163288765
2,16266526,972685322,842935105,0.0,2674.0,1376.0,5.0,0.0,0.0,0.0,1.0,2008.0,0.0,0.0,0.0,281.0,2674.0,965.0,7.0,2.0,1.0,10.0,29.0,Stub,0.2361784713988637
3,28207742,594674046,476820663,0.0,4896.0,2382.0,4.0,4.0,0.0,0.0,1.0,254.0,0.0,0.0,1.0,471.0,4894.0,2503.0,5.0,3.0,7.0,40.0,65.0,Start,0.2945165639843325
4,40811819,829913661,829913707,1.0,5300.0,3138.0,3.0,1.0,0.0,0.0,1.0,3471.0,0.0,0.0,2.0,643.0,5298.0,3608.0,5.0,4.0,2.0,9.0,17.0,Start,4.03846945803928
5,41613169,590243637,590301389,1.0,2303.0,1475.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,305.0,2299.0,1335.0,1.0,1.0,1.0,13.0,30.0,Stub,0.1541356834664471
6,934009,662391257,669102203,1.0,13490.0,9195.0,4.0,1.0,0.0,0.0,0.0,8898.0,0.0,0.0,19.0,2075.0,13480.0,11592.0,1.0,8.0,1.0,5.0,140.0,B,0.2696323670407297
7,59150,463376442,672406516,1.0,1825.0,1152.0,3.0,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,1.0,264.0,1818.0,1459.0,0.0,3.0,2.0,3.0,22.0,Stub,6.528166678095427
8,463669,549908040,477690316,0.0,2572.0,1457.0,9.0,0.0,0.0,0.0,1.0,2561.0,0.0,0.0,1.0,272.0,2567.0,1077.0,0.0,2.0,0.0,12.0,25.0,Stub,3.006630288780457
9,44979653,672167233,641591492,0.0,13389.0,6682.0,1.0,0.0,0.0,0.0,1.0,743.0,0.0,0.0,0.0,1350.0,13337.0,3265.0,6.0,10.0,5.0,5.0,20.0,Start,28.399196189374248
10,51008214,728587320,728822695,1.0,1491.0,881.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,0.0,195.0,1479.0,1274.0,2.0,0.0,3.0,6.0,0.0,Stub,1.6815499582566615
11,20071251,754457796,754434549,0.0,1898.0,983.0,7.0,2.0,0.0,0.0,1.0,1895.0,0.0,0.0,0.0,212.0,1895.0,572.0,2.0,3.0,2.0,12.0,22.0,Stub,0.5629106239899477
12,22480184,641225956,968187469,1.0,4091.0,2691.0,1.0,0.0,0.0,0.0,0.0,2671.0,0.0,0.0,7.0,626.0,4091.0,3613.0,1.0,7.0,1.0,6.0,23.0,Start,1.1640849797341923
13,36409382,702889900,688413628,0.0,4682.0,2982.0,1.0,0.0,0.0,0.0,0.0,3035.0,0.0,0.0,1.0,677.0,4682.0,4356.0,4.0,4.0,5.0,4.0,18.0,Start,0.1623068902136988
14,32254435,461471072,437002227,0.0,2473.0,1209.0,6.0,1.0,0.0,0.0,1.0,707.0,0.0,0.0,1.0,245.0,2470.0,927.0,2.0,2.0,3.0,7.0,25.0,Stub,0.2197655781906718
15,40242174,568657362,568683207,1.0,661.0,356.0,2.0,1.0,0.0,0.0,0.0,163.0,0.0,0.0,1.0,73.0,661.0,341.0,1.0,1.0,1.0,6.0,7.0,Stub,0.1546769155267714
