,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,19190770,636266976,576649330,0.0,10702.0,6778.0,10.0,4.0,2.0,0.0,1.0,10688.0,0.0,0.0,12.0,1516.0,10700.0,8799.0,5.0,4.0,4.0,11.0,50.0,C,0.1715025171244017
1,1041160,239630186,239698554,1.0,13563.0,8491.0,7.0,2.0,0.0,0.0,1.0,8649.0,0.0,0.0,23.0,1831.0,13556.0,9677.0,10.0,8.0,3.0,14.0,121.0,C,1.5921010358923584
2,422421,308694792,309647290,1.0,9128.0,6112.0,1.0,0.0,0.0,0.0,0.0,7051.0,0.0,0.0,22.0,1415.0,9128.0,6849.0,1.0,7.0,4.0,12.0,42.0,C,0.6425570973045253
3,60114,854360020,895728119,1.0,15019.0,8595.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1963.0,15017.0,9542.0,22.0,7.0,23.0,28.0,65.0,C,10.358366391861992
4,171290,915322560,625126261,0.0,23347.0,13984.0,13.0,15.0,1.0,0.0,1.0,10315.0,0.0,0.0,31.0,3270.0,23331.0,15081.0,14.0,3.0,24.0,29.0,268.0,C,23.266655712812803
5,13974969,178156963,178186222,1.0,1768.0,1009.0,2.0,0.0,0.0,0.0,1.0,1766.0,0.0,0.0,3.0,206.0,1768.0,787.0,0.0,0.0,0.0,3.0,27.0,Stub,1.2493788903758647
6,48481687,736627295,735927663,0.0,31861.0,16076.0,3.0,25.0,0.0,0.0,1.0,481.0,0.0,0.0,41.0,3348.0,30800.0,15459.0,38.0,11.0,71.0,45.0,167.0,GA,3.345687872719627
7,1047958,529664972,561859958,1.0,10077.0,6817.0,2.0,0.0,4.0,0.0,0.0,8294.0,0.0,2.0,9.0,1531.0,10069.0,8999.0,0.0,7.0,3.0,14.0,39.0,C,2.594786289227188
8,3894258,773096682,965125992,1.0,11573.0,6988.0,2.0,6.0,0.0,0.0,0.0,3365.0,0.0,0.0,16.0,1505.0,11565.0,9464.0,14.0,7.0,13.0,13.0,10.0,C,1.7675733436441372
9,26005215,712081189,726483943,1.0,6283.0,3844.0,7.0,3.0,8.0,0.0,1.0,6262.0,0.0,0.0,7.0,855.0,6264.0,3938.0,3.0,5.0,3.0,19.0,46.0,Start,0.1841575088771747
10,43343961,692712876,692565000,0.0,9411.0,4365.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,955.0,9376.0,3763.0,23.0,2.0,27.0,26.0,40.0,C,9.540547859988994
11,19440563,246721134,251085628,1.0,5078.0,3167.0,2.0,0.0,0.0,0.0,0.0,2543.0,0.0,0.0,9.0,617.0,5067.0,3869.0,4.0,5.0,3.0,6.0,62.0,Start,0.2028152187148805
12,15089373,409528315,409529482,1.0,7566.0,4936.0,3.0,0.0,0.0,0.0,0.0,7530.0,0.0,0.0,8.0,1097.0,7566.0,6422.0,2.0,5.0,0.0,4.0,39.0,B,0.2749690979058765
13,39787564,561835549,562059758,1.0,721.0,456.0,1.0,0.0,0.0,0.0,0.0,713.0,0.0,0.0,5.0,101.0,721.0,530.0,0.0,1.0,0.0,6.0,4.0,Stub,0.2535974938730739
14,2146638,347025174,347257391,1.0,6700.0,4057.0,2.0,0.0,1.0,0.0,0.0,6629.0,0.0,0.0,10.0,781.0,6639.0,5378.0,3.0,3.0,0.0,4.0,179.0,Start,6.654248141901077
15,3153949,551990519,551599176,0.0,23815.0,11563.0,10.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,52.0,2387.0,23575.0,11967.0,50.0,6.0,51.0,37.0,195.0,C,2.766012667031573
16,16002873,363168939,362701895,0.0,23370.0,13495.0,16.0,15.0,0.0,0.0,1.0,3716.0,0.0,0.0,90.0,2883.0,23275.0,12800.0,18.0,7.0,20.0,72.0,227.0,C,4.318578237557208
17,5579899,663351069,643103336,0.0,9367.0,4421.0,6.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,944.0,9349.0,3161.0,26.0,5.0,23.0,34.0,36.0,C,2.06224159032323
18,19139207,962613982,460149731,0.0,1942.0,1265.0,3.0,0.0,0.0,0.0,0.0,1139.0,0.0,0.0,3.0,283.0,1893.0,1467.0,0.0,2.0,1.0,4.0,13.0,Stub,1.4432153944799864
19,15771215,191673869,191744273,1.0,1265.0,741.0,0.0,0.0,0.0,0.0,0.0,1258.0,0.0,0.0,2.0,147.0,1265.0,1027.0,4.0,1.0,0.0,2.0,5.0,Stub,0.6488755185700378
20,12917,819978030,824702587,1.0,13114.0,6391.0,2.0,11.0,0.0,0.0,0.0,259.0,0.0,0.0,9.0,1387.0,13074.0,6234.0,26.0,7.0,22.0,34.0,44.0,C,1.3319178371217806
21,2379141,306336308,306090769,0.0,5554.0,3557.0,2.0,1.0,0.0,0.0,0.0,5078.0,0.0,0.0,17.0,863.0,5519.0,4908.0,0.0,2.0,1.0,9.0,25.0,Start,0.768435583936594
22,47786293,307762228,327856012,1.0,17667.0,9769.0,5.0,0.0,1.0,0.0,5.0,5207.0,0.0,0.0,15.0,1858.0,16919.0,1422.0,2.0,8.0,2.0,62.0,93.0,C,3.427870854429054
23,501594,121419320,114931394,0.0,21260.0,13947.0,8.0,0.0,2.0,0.0,1.0,19092.0,0.0,0.0,37.0,3362.0,21234.0,18416.0,5.0,7.0,4.0,8.0,127.0,B,1.0819930656322
24,18253305,641408415,684187259,1.0,3546.0,2322.0,6.0,0.0,0.0,0.0,1.0,3538.0,0.0,0.0,5.0,529.0,3544.0,2653.0,0.0,2.0,0.0,12.0,35.0,Start,0.2596576904012252
25,2232167,620831032,634384593,1.0,10268.0,6982.0,5.0,0.0,0.0,0.0,1.0,10224.0,0.0,0.0,22.0,1603.0,10254.0,8051.0,1.0,7.0,0.0,29.0,14.0,C,0.3755967000747212
26,8192724,788583965,542619319,0.0,5291.0,3574.0,13.0,0.0,0.0,0.0,1.0,5277.0,0.0,0.0,8.0,763.0,5289.0,4222.0,0.0,1.0,0.0,3.0,36.0,Start,1.6398501183437428
27,28820884,637946416,618596171,0.0,705.0,355.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,705.0,272.0,2.0,1.0,2.0,5.0,5.0,Stub,0.2085380355442213
28,23372115,264599107,250027329,0.0,40450.0,26413.0,9.0,2.0,1.0,0.0,1.0,6139.0,0.0,0.0,119.0,6026.0,40023.0,34605.0,11.0,12.0,4.0,15.0,272.0,B,14.106538256947596
29,1446564,636863398,497662123,0.0,9497.0,5462.0,3.0,8.0,0.0,0.0,1.0,1936.0,0.0,0.0,7.0,1131.0,9489.0,5105.0,9.0,5.0,8.0,14.0,92.0,C,4.275548730433765
