,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,265500,59391577,58788319,0.0,8549.0,5468.0,2.0,0.0,0.0,0.0,0.0,8536.0,0.0,0.0,14.0,1104.0,8548.0,7180.0,11.0,5.0,0.0,0.0,103.0,B,8.249430825546275
1,1573974,239073650,193940859,0.0,24512.0,15077.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3190.0,24350.0,22352.0,13.0,5.0,13.0,3.0,98.0,B,0.990419662363917
2,2426307,167543052,73668644,0.0,12118.0,7363.0,1.0,9.0,3.0,0.0,0.0,7555.0,0.0,0.0,19.0,1688.0,12100.0,9217.0,11.0,3.0,4.0,16.0,60.0,C,7.792920015014358
3,865675,291137255,291118891,0.0,23102.0,12258.0,3.0,0.0,2.0,0.0,2.0,2366.0,0.0,0.0,15.0,2535.0,22945.0,16021.0,36.0,8.0,33.0,12.0,138.0,B,3.248975454400441
4,1767662,69348189,69012498,0.0,61822.0,36967.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,153.0,8350.0,61743.0,49667.0,83.0,9.0,22.0,13.0,175.0,B,1.0821155900706867
5,7049432,125746711,150310078,1.0,4592.0,3065.0,1.0,0.0,0.0,0.0,0.0,4568.0,0.0,0.0,13.0,696.0,4592.0,4450.0,0.0,6.0,0.0,4.0,8.0,Start,0.2399313332675469
6,10421676,275506556,275726752,1.0,1779.0,1122.0,3.0,0.0,0.0,0.0,0.0,1769.0,0.0,0.0,2.0,268.0,1779.0,1242.0,0.0,0.0,0.0,6.0,28.0,Stub,0.3617713990629104
7,3324503,605008212,603857932,0.0,11500.0,5590.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,1212.0,11477.0,7555.0,28.0,5.0,26.0,12.0,34.0,C,0.5177378919448777
8,22048903,427759739,427758758,0.0,6826.0,4412.0,1.0,0.0,0.0,0.0,0.0,1614.0,0.0,0.0,8.0,900.0,6808.0,6101.0,0.0,7.0,8.0,6.0,48.0,C,0.1550195332125124
9,14782629,284053325,259546185,0.0,622.0,397.0,2.0,0.0,0.0,0.0,0.0,614.0,0.0,0.0,1.0,89.0,620.0,456.0,0.0,0.0,0.0,3.0,9.0,Stub,0.241245790441874
10,2507955,393936093,389431424,0.0,60276.0,34539.0,3.0,0.0,3.0,0.0,1.0,60021.0,111.0,0.0,74.0,7635.0,60031.0,28696.0,75.0,8.0,0.0,230.0,116.0,FA,7.271862282383727
11,312477,55726387,63487881,1.0,11921.0,8292.0,1.0,0.0,0.0,0.0,0.0,11850.0,0.0,0.0,34.0,1729.0,11888.0,11136.0,4.0,12.0,0.0,3.0,56.0,B,7.725068856776517
12,19260,43257883,40439654,0.0,42316.0,25271.0,2.0,0.0,0.0,2.0,1.0,41986.0,0.0,0.0,52.0,5169.0,42017.0,31247.0,37.0,19.0,0.0,14.0,484.0,B,304.89670423614626
13,40966270,977714031,977713952,0.0,71405.0,43601.0,15.0,74.0,2.0,0.0,0.0,4819.0,188.0,0.0,180.0,9352.0,70309.0,38500.0,41.0,7.0,76.0,281.0,441.0,FA,0.5786339242850926
14,1300515,429162444,429161914,0.0,11151.0,7247.0,3.0,0.0,0.0,0.0,0.0,3420.0,0.0,0.0,7.0,1498.0,11044.0,9786.0,1.0,8.0,6.0,10.0,98.0,C,3.2889225610407427
15,2668699,23484157,23905970,1.0,634.0,486.0,0.0,0.0,0.0,0.0,0.0,634.0,0.0,0.0,0.0,106.0,634.0,603.0,0.0,0.0,0.0,3.0,0.0,Stub,1.811259688146357
16,71490,361936923,360906251,0.0,28139.0,18397.0,25.0,1.0,5.0,0.0,1.0,22020.0,0.0,0.0,62.0,3787.0,27661.0,22465.0,6.0,11.0,5.0,28.0,295.0,B,20.450654576217936
