,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,26372316,753499991,824009473,1.0,1868.0,1000.0,5.0,0.0,0.0,0.0,1.0,1571.0,0.0,0.0,0.0,193.0,1868.0,924.0,3.0,2.0,1.0,7.0,12.0,Stub,2.551510318844596
1,46948342,666431585,666455369,1.0,5677.0,3391.0,0.0,0.0,0.0,0.0,1.0,2248.0,0.0,0.0,2.0,794.0,5671.0,4600.0,5.0,3.0,4.0,6.0,28.0,Start,0.3254375110450212
2,40526047,649780066,662294130,1.0,4584.0,2560.0,9.0,3.0,0.0,0.0,1.0,833.0,0.0,0.0,2.0,509.0,4572.0,2180.0,7.0,3.0,6.0,13.0,25.0,Start,0.1602631554195082
3,4546576,900278587,978723532,1.0,3714.0,2041.0,2.0,1.0,0.0,0.0,1.0,1393.0,0.0,0.0,0.0,382.0,3714.0,1170.0,3.0,2.0,3.0,12.0,33.0,Stub,0.9037433830965286
4,1685450,836833312,689278468,0.0,58200.0,37312.0,17.0,2.0,0.0,0.0,1.0,3663.0,0.0,0.0,97.0,7838.0,58018.0,51822.0,6.0,6.0,100.0,27.0,118.0,GA,2.786616562500128
5,45312880,880767506,645766061,0.0,7002.0,4167.0,14.0,0.0,0.0,0.0,1.0,6967.0,0.0,0.0,9.0,896.0,6969.0,5655.0,7.0,6.0,17.0,3.0,28.0,C,0.1822830555631262
6,9399194,869915421,466781152,0.0,5475.0,2849.0,14.0,0.0,0.0,0.0,1.0,915.0,0.0,0.0,10.0,591.0,5475.0,3231.0,14.0,8.0,11.0,8.0,41.0,Start,0.3747851334512026
7,38664512,571246402,540947094,0.0,11539.0,7453.0,7.0,13.0,7.0,0.0,1.0,0.0,0.0,0.0,12.0,1532.0,11494.0,7330.0,6.0,5.0,14.0,30.0,57.0,C,0.168143937951274
8,28300028,549288519,557699477,1.0,6548.0,3222.0,1.0,7.0,0.0,0.0,0.0,1118.0,0.0,0.0,5.0,686.0,6542.0,3370.0,15.0,7.0,21.0,12.0,6.0,Start,0.4190617182526353
9,44626449,637298621,637020081,0.0,3497.0,1905.0,5.0,0.0,0.0,0.0,0.0,774.0,0.0,0.0,10.0,408.0,3497.0,2728.0,8.0,2.0,8.0,3.0,17.0,Start,0.2841522437613217
10,1639135,924557580,775078867,0.0,7456.0,3728.0,3.0,9.0,0.0,0.0,0.0,7444.0,0.0,0.0,5.0,774.0,7452.0,3527.0,14.0,4.0,16.0,13.0,25.0,C,5.373376546276914
11,42161130,869738333,864341014,0.0,5665.0,3105.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,597.0,5665.0,2089.0,9.0,4.0,8.0,33.0,27.0,Start,0.2806658351875429
12,8451808,634988121,571450534,0.0,4236.0,2526.0,7.0,0.0,0.0,0.0,1.0,3057.0,0.0,0.0,6.0,551.0,4226.0,2997.0,6.0,2.0,2.0,5.0,14.0,Start,0.3113056240668019
13,28185280,539443812,560059558,1.0,1631.0,1007.0,3.0,0.0,0.0,0.0,0.0,1627.0,0.0,0.0,1.0,218.0,1631.0,1025.0,1.0,1.0,0.0,9.0,9.0,Stub,0.3916764882169472
14,22118991,536811631,536813693,1.0,10572.0,6890.0,4.0,0.0,0.0,0.0,1.0,6898.0,0.0,0.0,18.0,1528.0,10559.0,9467.0,8.0,5.0,5.0,7.0,36.0,C,0.8073279885267695
15,28190636,788307330,794875219,1.0,15997.0,8762.0,6.0,6.0,0.0,0.0,0.0,5265.0,0.0,0.0,18.0,1815.0,15813.0,12467.0,28.0,4.0,16.0,13.0,27.0,C,0.1584541448241516
16,33964039,482121325,521560343,1.0,920.0,523.0,0.0,0.0,0.0,0.0,0.0,916.0,0.0,0.0,1.0,108.0,920.0,723.0,2.0,7.0,0.0,3.0,1.0,Stub,0.2757569710724622
