,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,2950007,118318401,118507209,1.0,1146.0,755.0,6.0,0.0,0.0,0.0,0.0,1126.0,0.0,0.0,0.0,179.0,1130.0,965.0,0.0,0.0,0.0,2.0,25.0,Stub,0.715276824681129
1,8936967,538333075,715466342,1.0,1413.0,868.0,1.0,0.0,0.0,0.0,0.0,1392.0,0.0,0.0,0.0,205.0,1396.0,1149.0,0.0,0.0,0.0,2.0,7.0,Stub,0.2729124080473489
2,463845,844911758,820354626,0.0,2137.0,1235.0,5.0,0.0,0.0,0.0,1.0,594.0,0.0,0.0,0.0,245.0,2137.0,1171.0,2.0,4.0,1.0,9.0,44.0,Stub,2.2094209131935765
3,1641323,675376322,669043652,0.0,3828.0,2044.0,3.0,2.0,0.0,0.0,0.0,1592.0,0.0,0.0,4.0,427.0,3826.0,2449.0,10.0,4.0,1.0,6.0,27.0,Start,0.4682136538213714
4,238731,858799380,853774429,0.0,45121.0,24364.0,12.0,43.0,1.0,0.0,1.0,4809.0,0.0,0.0,34.0,5532.0,44991.0,20790.0,59.0,7.0,49.0,80.0,247.0,C,6.286743112939464
5,7464978,863704984,560601016,0.0,3473.0,2161.0,9.0,1.0,5.0,0.0,0.0,443.0,0.0,0.0,2.0,427.0,3449.0,2732.0,1.0,2.0,2.0,10.0,17.0,Start,0.370287327900719
6,6330370,66160724,62490402,0.0,3668.0,2479.0,2.0,0.0,0.0,0.0,0.0,3653.0,0.0,0.0,1.0,548.0,3668.0,3444.0,1.0,3.0,0.0,0.0,26.0,Start,3.6786681955950735
7,22241678,281203295,281154869,0.0,655.0,424.0,1.0,0.0,0.0,0.0,0.0,653.0,0.0,0.0,2.0,95.0,655.0,553.0,0.0,0.0,0.0,2.0,3.0,Stub,0.3685195132066486
8,6575817,204339512,204229079,0.0,587.0,378.0,3.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,83.0,587.0,496.0,0.0,0.0,0.0,2.0,7.0,Stub,2.2599029243736175
9,399563,138759332,138933281,1.0,1567.0,1033.0,4.0,0.0,0.0,0.0,0.0,1519.0,0.0,0.0,4.0,199.0,1525.0,1149.0,0.0,0.0,0.0,1.0,26.0,Stub,3.636807228615639
10,48495339,966055794,692325700,0.0,2706.0,1623.0,6.0,0.0,0.0,0.0,1.0,2698.0,0.0,0.0,1.0,339.0,2700.0,1398.0,0.0,4.0,0.0,10.0,46.0,Stub,0.2159352363348932
11,16687535,202926341,212525420,1.0,3421.0,1851.0,6.0,0.0,0.0,0.0,1.0,3415.0,0.0,0.0,0.0,376.0,3419.0,1511.0,2.0,4.0,0.0,6.0,59.0,Start,0.4228295918587654
12,40214473,568184062,568110426,0.0,3465.0,1599.0,12.0,0.0,0.0,0.0,1.0,2014.0,0.0,0.0,0.0,290.0,3425.0,822.0,3.0,3.0,1.0,10.0,32.0,Stub,0.1526773968795092
13,5890711,211610208,211671234,1.0,6192.0,4167.0,1.0,0.0,0.0,0.0,0.0,6110.0,0.0,0.0,5.0,964.0,6134.0,5777.0,2.0,1.0,0.0,2.0,34.0,Start,0.2111618424842946
14,1320662,112310198,112245782,0.0,3226.0,2110.0,5.0,0.0,0.0,0.0,0.0,3185.0,0.0,0.0,4.0,453.0,3197.0,2458.0,2.0,2.0,0.0,2.0,47.0,Start,0.5292298515530087
15,29688440,398069949,587319221,1.0,2148.0,1517.0,0.0,0.0,0.0,0.0,0.0,2146.0,0.0,0.0,14.0,346.0,2148.0,2077.0,0.0,0.0,0.0,1.0,8.0,Stub,0.7088715853870187
16,19214215,647276748,824469263,1.0,1245.0,660.0,1.0,0.0,0.0,0.0,1.0,1237.0,0.0,0.0,0.0,120.0,1239.0,216.0,0.0,2.0,0.0,12.0,9.0,Stub,0.5290154545457321
17,7182044,857939917,814565072,0.0,2251.0,1338.0,7.0,0.0,0.0,0.0,0.0,2245.0,0.0,0.0,1.0,271.0,2251.0,1603.0,0.0,4.0,0.0,7.0,29.0,Stub,0.2133042642256267
18,13684050,389413640,356839431,0.0,15855.0,8404.0,4.0,23.0,0.0,0.0,1.0,2075.0,0.0,0.0,3.0,1719.0,15833.0,7016.0,15.0,5.0,41.0,28.0,85.0,GA,0.2336043976085217
19,12795102,379223938,379288401,1.0,2580.0,1469.0,2.0,0.0,0.0,0.0,1.0,2541.0,0.0,1.0,3.0,327.0,2547.0,1590.0,1.0,3.0,0.0,5.0,13.0,Start,0.1782195190903139
20,47154747,669968272,670169930,1.0,984.0,560.0,1.0,0.0,0.0,0.0,0.0,977.0,0.0,0.0,2.0,122.0,981.0,805.0,1.0,1.0,0.0,2.0,10.0,Stub,0.2314484128350383
21,33779700,622306970,528022242,0.0,4926.0,3083.0,4.0,5.0,0.0,0.0,0.0,2218.0,0.0,0.0,8.0,716.0,4926.0,3692.0,5.0,1.0,6.0,9.0,10.0,Start,0.5140012240853981
22,24096336,309796029,309807958,1.0,899.0,544.0,0.0,0.0,0.0,0.0,0.0,899.0,0.0,0.0,0.0,122.0,899.0,855.0,0.0,0.0,0.0,1.0,0.0,Stub,0.2236985500438052
23,41167340,721004011,584882845,0.0,1041.0,554.0,6.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,126.0,1041.0,919.0,1.0,1.0,1.0,2.0,11.0,Stub,0.8624705367697636
24,140784,209335061,209056473,0.0,18084.0,12582.0,2.0,0.0,0.0,0.0,1.0,18040.0,0.0,0.0,51.0,2930.0,18076.0,16090.0,0.0,6.0,0.0,5.0,84.0,B,1.8494593115475435
25,1567024,157223213,90791691,0.0,553.0,355.0,1.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,1.0,65.0,553.0,486.0,0.0,1.0,0.0,1.0,6.0,Stub,0.1734996735470888
26,5327996,90966192,92329925,1.0,1572.0,962.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,220.0,1556.0,950.0,1.0,1.0,2.0,2.0,13.0,Stub,0.4064986252424611
27,11745243,148893080,148822400,0.0,619.0,375.0,2.0,0.0,0.0,0.0,0.0,617.0,0.0,0.0,1.0,75.0,619.0,474.0,0.0,0.0,0.0,4.0,5.0,Stub,0.380545808364144
28,5138294,371531729,372104208,1.0,727.0,424.0,1.0,0.0,0.0,0.0,0.0,723.0,0.0,0.0,0.0,88.0,725.0,578.0,1.0,2.0,0.0,2.0,9.0,Stub,0.3834465252515214
29,8755468,320834101,310911729,0.0,1743.0,1180.0,2.0,0.0,0.0,0.0,0.0,1731.0,0.0,0.0,2.0,243.0,1743.0,1553.0,0.0,0.0,0.0,1.0,10.0,Stub,3.141282252908683
30,8348815,216294463,214445049,0.0,1873.0,1161.0,11.0,0.0,0.0,0.0,0.0,1852.0,0.0,0.0,1.0,212.0,1858.0,929.0,0.0,1.0,0.0,18.0,34.0,Stub,0.696112274268692
31,3337459,199578436,199519631,0.0,4543.0,3001.0,4.0,0.0,0.0,0.0,1.0,4527.0,0.0,0.0,6.0,640.0,4541.0,3560.0,3.0,4.0,0.0,2.0,37.0,Start,0.1646565579129029
32,5758620,311927878,311781411,0.0,1145.0,683.0,1.0,0.0,2.0,0.0,0.0,1112.0,0.0,0.0,0.0,141.0,1116.0,729.0,0.0,1.0,0.0,7.0,23.0,Stub,2.12902477919264
33,2831517,246952320,246923159,0.0,1723.0,1087.0,4.0,0.0,0.0,0.0,0.0,1709.0,0.0,0.0,2.0,239.0,1721.0,1283.0,1.0,1.0,0.0,3.0,31.0,Stub,0.8504419265322158
34,11370737,182435885,181742298,0.0,2284.0,1498.0,2.0,0.0,0.0,0.0,0.0,2274.0,0.0,0.0,1.0,343.0,2282.0,1995.0,0.0,1.0,0.0,1.0,26.0,Start,0.5301680380419188
35,1275456,260433322,235268111,0.0,4189.0,2224.0,10.0,0.0,0.0,0.0,1.0,2440.0,0.0,0.0,4.0,454.0,4189.0,2265.0,12.0,4.0,3.0,5.0,73.0,Start,0.3242432823251097
36,40957686,584497149,624845776,1.0,5486.0,3288.0,4.0,0.0,0.0,0.0,1.0,5470.0,0.0,0.0,13.0,688.0,5484.0,3707.0,0.0,5.0,0.0,7.0,32.0,Start,1.2866453970093064
37,35087,699029459,975710468,1.0,8598.0,5011.0,1.0,0.0,0.0,0.0,0.0,8578.0,0.0,0.0,0.0,1025.0,8582.0,6650.0,0.0,4.0,0.0,8.0,185.0,Start,0.3121531125153447
38,26373871,348124335,347986432,0.0,1170.0,660.0,0.0,2.0,0.0,0.0,1.0,1164.0,0.0,0.0,1.0,155.0,1170.0,447.0,2.0,2.0,0.0,8.0,13.0,Stub,0.2274704963475227
39,1720048,705233353,679985160,0.0,2755.0,1680.0,4.0,0.0,0.0,0.0,1.0,2748.0,0.0,0.0,2.0,396.0,2753.0,1908.0,0.0,2.0,0.0,4.0,44.0,Start,1.9907451437209664
40,5255137,435851852,435889894,1.0,1011.0,595.0,4.0,0.0,0.0,0.0,0.0,1007.0,0.0,0.0,0.0,115.0,1011.0,659.0,1.0,2.0,0.0,7.0,12.0,Stub,1.1576998188838137
41,695218,433551814,268112221,0.0,3576.0,2224.0,2.0,0.0,1.0,0.0,0.0,3552.0,0.0,0.0,5.0,438.0,3556.0,2977.0,0.0,5.0,0.0,5.0,41.0,Start,9.739962375722184
42,1117368,560949924,664550276,1.0,4810.0,3152.0,4.0,0.0,0.0,0.0,1.0,4796.0,0.0,0.0,10.0,710.0,4810.0,3837.0,0.0,3.0,0.0,5.0,31.0,Start,1.2146550289396298
43,17689643,216797053,216338135,0.0,729.0,400.0,1.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,81.0,726.0,574.0,2.0,0.0,0.0,0.0,1.0,Stub,0.6396965161522461
