,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,rank
0,595284,724458589,561015849,0.0,43970.0,22119.0,9.0,77.0,1.0,0.0,1.0,3851.0,0.0,0.0,46.0,4841.0,43862.0,12402.0,80.0,8.0,219.0,94.0,225.0,B,5.996537066334598
1,48752708,695865211,696837664,1.0,5156.0,2897.0,0.0,6.0,0.0,0.0,1.0,5154.0,0.0,0.0,6.0,621.0,5156.0,2365.0,6.0,4.0,6.0,17.0,37.0,Start,0.177694578681848
2,647756,840009072,961247115,1.0,19005.0,11017.0,27.0,20.0,0.0,0.0,2.0,7873.0,0.0,0.0,23.0,2512.0,19001.0,9956.0,23.0,8.0,25.0,42.0,138.0,C,2.0141017398334005
3,43405357,696381382,694872034,0.0,59953.0,27481.0,2.0,95.0,0.0,0.0,0.0,4546.0,0.0,0.0,14.0,5331.0,59420.0,19400.0,100.0,12.0,112.0,518.0,423.0,GA,1.5809490451020485
4,4518890,587463833,865860172,1.0,2807.0,1624.0,3.0,0.0,0.0,0.0,1.0,1927.0,0.0,0.0,1.0,331.0,2807.0,1690.0,1.0,4.0,1.0,8.0,32.0,Start,0.867997834037994
5,200354,605237137,513957898,0.0,23505.0,13944.0,12.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,27.0,3151.0,22912.0,18213.0,20.0,9.0,27.0,18.0,94.0,C,12.658073094132572
6,34384720,734655214,488627506,0.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,28.0,23.0,0.0,0.0,0.0,0.0,1.0,Stub,1.746145249444865
7,34364931,534016605,538850887,1.0,23702.0,12273.0,11.0,24.0,0.0,0.0,1.0,1043.0,0.0,0.0,37.0,2754.0,23596.0,12674.0,48.0,9.0,55.0,41.0,129.0,GA,3.9072271585167737
8,6251150,776719847,559459395,0.0,40175.0,22036.0,3.0,11.0,0.0,0.0,0.0,126.0,0.0,0.0,25.0,4910.0,39437.0,14540.0,34.0,16.0,13.0,15.0,292.0,B,0.8414533126860884
9,4755911,455946699,455947710,1.0,63971.0,31295.0,6.0,159.0,0.0,0.0,0.0,2114.0,0.0,0.0,30.0,6917.0,63854.0,22711.0,178.0,8.0,167.0,184.0,542.0,GA,5.210969067931325
10,43360033,618182670,618070956,0.0,5106.0,2548.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,502.0,5104.0,2915.0,10.0,5.0,10.0,4.0,42.0,Start,0.2641124379561882
11,44188530,694535305,639299639,0.0,12722.0,6380.0,6.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1395.0,12270.0,4909.0,19.0,7.0,18.0,31.0,63.0,C,0.3102824636862886
12,73982,527343643,526617657,0.0,18647.0,11622.0,10.0,3.0,0.0,0.0,1.0,14597.0,0.0,0.0,24.0,2687.0,18591.0,13873.0,4.0,12.0,7.0,20.0,119.0,C,2.3816355810459457
13,2466721,792305029,783881174,0.0,23753.0,14502.0,13.0,17.0,1.0,0.0,1.0,4041.0,32.0,0.0,19.0,3093.0,23638.0,13359.0,2.0,6.0,11.0,86.0,169.0,C,3.0470118722314936
14,28537571,528935988,512093592,0.0,1931.0,1175.0,6.0,1.0,0.0,0.0,0.0,1919.0,0.0,0.0,3.0,252.0,1925.0,1230.0,1.0,3.0,1.0,6.0,13.0,Stub,0.2001973830362262
15,40398151,742468683,927658887,1.0,26709.0,14881.0,4.0,8.0,0.0,0.0,1.0,20260.0,0.0,0.0,9.0,2720.0,26485.0,11919.0,12.0,8.0,9.0,211.0,376.0,C,2.433387727648209
16,4681430,715298309,672585988,0.0,2385.0,1331.0,8.0,0.0,0.0,0.0,1.0,2357.0,0.0,0.0,0.0,259.0,2361.0,1059.0,0.0,4.0,0.0,6.0,37.0,Stub,0.402016700083235
17,8517423,857531062,858626786,1.0,15330.0,8459.0,18.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1818.0,15287.0,10108.0,20.0,15.0,19.0,20.0,59.0,C,1.5156483877915563
18,2313771,770537359,770538264,1.0,18391.0,10637.0,6.0,6.0,0.0,0.0,0.0,18361.0,0.0,0.0,11.0,2412.0,18367.0,10457.0,10.0,9.0,6.0,39.0,136.0,C,1.2557554720251392
19,37006011,515932339,516902667,1.0,2007.0,1024.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,205.0,2000.0,757.0,1.0,3.0,2.0,7.0,13.0,Stub,0.1508254796792302
20,31497622,516513124,522551572,1.0,1088.0,438.0,2.0,0.0,0.0,0.0,0.0,1086.0,0.0,0.0,3.0,86.0,1088.0,545.0,6.0,3.0,1.0,4.0,6.0,Stub,0.4012915009700422
21,7199040,704456518,493061409,0.0,15143.0,8274.0,7.0,23.0,6.0,0.0,1.0,3246.0,0.0,0.0,17.0,1714.0,15142.0,8277.0,24.0,5.0,42.0,46.0,115.0,C,2.46412079819193
22,58839480,870926336,870823660,0.0,12134.0,6044.0,3.0,23.0,0.0,0.0,1.0,889.0,0.0,0.0,3.0,1239.0,12064.0,3116.0,24.0,5.0,23.0,42.0,48.0,C,0.180729464900395
23,25604331,610461722,619718440,1.0,10806.0,6367.0,5.0,0.0,0.0,0.0,1.0,6155.0,0.0,0.0,23.0,1420.0,10698.0,8260.0,11.0,4.0,8.0,6.0,63.0,C,0.1874763767245327
24,43164932,667279870,667279990,1.0,13537.0,7092.0,4.0,27.0,0.0,0.0,1.0,216.0,0.0,0.0,29.0,1529.0,13523.0,5430.0,27.0,4.0,32.0,40.0,68.0,GA,0.3263263607985941
25,19973122,754169579,698087984,0.0,75.0,49.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,12.0,73.0,68.0,0.0,0.0,0.0,0.0,1.0,Stub,0.3865297116400674
26,3500188,317064821,317147653,1.0,6556.0,4602.0,5.0,0.0,0.0,0.0,1.0,6532.0,0.0,0.0,11.0,990.0,6554.0,5376.0,0.0,5.0,0.0,4.0,42.0,Start,0.4941748431888234
27,42263829,603413341,600671703,0.0,4545.0,1901.0,0.0,0.0,0.0,0.0,0.0,4532.0,0.0,0.0,2.0,347.0,4538.0,4151.0,21.0,1.0,0.0,1.0,30.0,Start,0.5305859005271504
28,43795924,641662561,673267061,1.0,502.0,247.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,502.0,246.0,1.0,1.0,1.0,4.0,6.0,Stub,4.380403335023284
29,2485487,527140921,518435031,0.0,4241.0,2617.0,4.0,0.0,0.0,0.0,1.0,2274.0,0.0,0.0,8.0,607.0,4215.0,3112.0,3.0,3.0,2.0,8.0,48.0,Start,0.5069592887061573
30,19459924,661955461,635138213,0.0,33164.0,22911.0,5.0,1.0,0.0,0.0,1.0,27542.0,0.0,0.0,73.0,5513.0,33153.0,30393.0,6.0,4.0,10.0,8.0,75.0,C,0.7850728292844323
31,30907,809919829,809866754,0.0,55037.0,33505.0,7.0,33.0,1.0,0.0,0.0,2238.0,0.0,0.0,88.0,7457.0,54797.0,38324.0,63.0,5.0,83.0,71.0,161.0,B,22.58976131796852
32,41241957,602187258,592945324,0.0,3992.0,2039.0,4.0,0.0,1.0,0.0,0.0,208.0,0.0,0.0,4.0,443.0,3978.0,3189.0,12.0,2.0,18.0,7.0,27.0,Start,0.3966981742920949
33,27217626,554479624,562281121,1.0,3264.0,2174.0,4.0,0.0,0.0,0.0,0.0,3226.0,0.0,0.0,6.0,459.0,3248.0,2822.0,0.0,3.0,0.0,5.0,18.0,Start,0.6618493144195049
34,37453272,519938423,557970635,1.0,621.0,297.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,57.0,621.0,147.0,1.0,1.0,1.0,5.0,3.0,Stub,1.2595137229371247
35,16673113,539099135,600855186,1.0,2298.0,1365.0,3.0,0.0,0.0,0.0,1.0,2292.0,0.0,0.0,1.0,295.0,2298.0,1417.0,0.0,4.0,0.0,5.0,35.0,Stub,0.5947163695105142
36,47637251,681690039,678414003,0.0,6854.0,3775.0,7.0,0.0,0.0,0.0,0.0,6810.0,0.0,0.0,5.0,753.0,6810.0,4930.0,19.0,5.0,0.0,6.0,35.0,Start,0.3242255136125077
37,226789,551729649,703646306,1.0,8994.0,5482.0,7.0,0.0,0.0,0.0,0.0,3012.0,0.0,0.0,9.0,1243.0,8952.0,7311.0,14.0,4.0,12.0,8.0,65.0,C,21.49247032343932
38,47302883,672542343,672523619,0.0,2048.0,1130.0,4.0,3.0,0.0,0.0,0.0,151.0,0.0,0.0,3.0,248.0,2042.0,1104.0,3.0,1.0,3.0,5.0,14.0,Stub,0.2809172959630037
39,170699,566617476,561649493,0.0,56411.0,34862.0,4.0,4.0,2.0,0.0,1.0,15581.0,0.0,0.0,71.0,7737.0,56386.0,46755.0,61.0,11.0,61.0,14.0,152.0,B,12.647342658771882
40,44923479,640689229,641725991,1.0,5095.0,3143.0,0.0,0.0,0.0,0.0,0.0,4809.0,0.0,0.0,8.0,687.0,4813.0,4440.0,0.0,1.0,0.0,7.0,0.0,Start,0.1606461240457344
41,16375609,709928765,699367979,0.0,5335.0,2840.0,5.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,7.0,595.0,5331.0,2295.0,8.0,4.0,9.0,18.0,33.0,Start,8.29583454920208
42,30952855,420713381,418906473,0.0,4660.0,2566.0,2.0,6.0,0.0,0.0,1.0,4658.0,0.0,0.0,0.0,519.0,4660.0,1210.0,6.0,4.0,7.0,11.0,29.0,Start,2.638368018076207
43,44147127,632779651,635541500,1.0,14083.0,7024.0,4.0,1.0,0.0,0.0,1.0,1991.0,0.0,0.0,14.0,1519.0,14070.0,8017.0,31.0,7.0,31.0,48.0,101.0,C,0.297214969285941
44,19930780,648762758,575546215,0.0,3726.0,2048.0,8.0,2.0,0.0,0.0,1.0,792.0,0.0,0.0,2.0,417.0,3694.0,1822.0,2.0,5.0,2.0,10.0,44.0,Start,0.2994346071611388
45,187726,781340890,781479337,1.0,39937.0,24585.0,11.0,14.0,12.0,1.0,1.0,0.0,82.0,0.0,27.0,5039.0,39907.0,18752.0,31.0,9.0,29.0,174.0,277.0,B,11.576855707196822
46,45634841,651596422,650745030,0.0,4709.0,2418.0,4.0,6.0,0.0,0.0,1.0,4629.0,0.0,0.0,1.0,443.0,4629.0,1861.0,7.0,5.0,6.0,14.0,37.0,Start,0.1782697420004276
47,44038133,667798566,668174140,1.0,16694.0,7976.0,6.0,28.0,0.0,0.0,1.0,3253.0,0.0,0.0,9.0,1694.0,16644.0,9293.0,52.0,4.0,28.0,40.0,167.0,GA,0.2228363345064083
48,799294,572936505,944960643,1.0,4850.0,2959.0,4.0,0.0,1.0,0.0,1.0,3741.0,0.0,0.0,5.0,638.0,4848.0,3411.0,0.0,5.0,1.0,7.0,49.0,Start,0.8327216307818872
49,26131989,594672630,445360510,0.0,5227.0,2778.0,1.0,4.0,0.0,0.0,0.0,2041.0,0.0,0.0,4.0,676.0,5225.0,3748.0,4.0,5.0,4.0,25.0,14.0,Start,0.2044628525472397
50,13066711,658366873,612576010,0.0,7815.0,5131.0,2.0,0.0,0.0,0.0,1.0,7781.0,0.0,0.0,9.0,1080.0,7789.0,6277.0,3.0,6.0,0.0,7.0,22.0,Start,0.421511823465239
51,34374603,471274958,477718928,1.0,3173.0,1668.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,335.0,3125.0,829.0,7.0,3.0,9.0,11.0,11.0,Stub,0.1732575055292111
52,22054045,336718706,335748700,0.0,4889.0,2712.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,550.0,4885.0,2961.0,9.0,4.0,7.0,14.0,32.0,Start,0.2225215567449714
53,39669412,559834395,560424531,1.0,2340.0,1582.0,0.0,0.0,0.0,0.0,0.0,2332.0,0.0,0.0,4.0,390.0,2340.0,2112.0,0.0,1.0,0.0,6.0,4.0,Stub,0.1616183123758985
54,2162787,323806568,323499145,0.0,25551.0,15980.0,10.0,0.0,2.0,0.0,1.0,25497.0,0.0,0.0,40.0,3477.0,25529.0,21171.0,1.0,7.0,0.0,7.0,164.0,B,0.6101083877771649
