,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,1060572,115404872,115196431,0.0,7096.0,4533.0,2.0,0.0,0.0,0.0,1.0,6952.0,0.0,0.0,21.0,964.0,6972.0,5890.0,1.0,6.0,0.0,2.0,70.0,B,12.715210011657549
1,212390,220624151,221540894,1.0,20904.0,12278.0,4.0,0.0,3.0,0.0,0.0,17773.0,0.0,0.0,37.0,2973.0,20752.0,16465.0,8.0,13.0,4.0,26.0,209.0,B,10.037237265792616
2,78404,120443995,110103484,0.0,2159.0,1432.0,2.0,0.0,0.0,0.0,0.0,2126.0,0.0,0.0,3.0,309.0,2144.0,1901.0,0.0,0.0,0.0,0.0,37.0,Start,13.526140227873876
3,16472,755461346,832445515,1.0,44272.0,25144.0,3.0,24.0,3.0,0.0,0.0,651.0,0.0,0.0,39.0,5517.0,44208.0,29744.0,78.0,12.0,77.0,56.0,147.0,B,13.302996676559667
4,810528,89394807,82143879,0.0,15834.0,10020.0,6.0,0.0,0.0,0.0,1.0,15770.0,0.0,0.0,28.0,2206.0,15834.0,11825.0,6.0,7.0,0.0,5.0,144.0,B,11.223555134879833
5,2204223,135489016,134083420,0.0,6604.0,3931.0,2.0,8.0,0.0,0.0,0.0,1320.0,0.0,0.0,2.0,768.0,6595.0,3166.0,5.0,3.0,12.0,10.0,37.0,B,12.897531568451504
6,42882,352771396,353286524,1.0,9700.0,6217.0,3.0,0.0,0.0,0.0,0.0,7864.0,0.0,0.0,21.0,1289.0,9523.0,7626.0,2.0,7.0,1.0,10.0,130.0,B,9.824838253761383
7,153990,115902651,117669108,1.0,19393.0,12985.0,3.0,2.0,0.0,0.0,0.0,17505.0,0.0,0.0,58.0,3108.0,19319.0,17792.0,6.0,9.0,3.0,6.0,111.0,B,12.022062831097603
8,8188320,697143025,487332145,0.0,24429.0,14677.0,3.0,30.0,2.0,0.0,0.0,2888.0,0.0,0.0,23.0,3090.0,24378.0,13637.0,19.0,8.0,42.0,37.0,43.0,C,13.120675119765712
9,1452496,76911906,76518169,0.0,9258.0,6247.0,2.0,0.0,0.0,0.0,0.0,9232.0,0.0,0.0,16.0,1452.0,9254.0,8609.0,8.0,7.0,0.0,1.0,37.0,B,12.661142790387272
10,2936775,184964189,184888399,0.0,2560.0,1731.0,2.0,0.0,0.0,0.0,0.0,2540.0,0.0,0.0,3.0,366.0,2556.0,2150.0,0.0,3.0,0.0,5.0,22.0,Start,11.693558764125568
11,240972,153587661,160551787,1.0,6374.0,4031.0,1.0,0.0,1.0,0.0,0.0,6328.0,0.0,0.0,6.0,934.0,6334.0,5400.0,8.0,5.0,0.0,4.0,47.0,Start,15.605581769553712
12,7038275,146436798,146681291,1.0,5080.0,3336.0,3.0,0.0,2.0,0.0,1.0,5066.0,0.0,0.0,6.0,710.0,5080.0,3967.0,2.0,5.0,0.0,7.0,36.0,Start,15.605581769553712
13,362922,76751715,71192778,0.0,1736.0,1040.0,2.0,0.0,0.0,0.0,0.0,1711.0,0.0,0.0,2.0,223.0,1715.0,1448.0,2.0,2.0,0.0,2.0,17.0,Stub,11.431194499658076
14,814490,81172392,82193110,1.0,9119.0,6006.0,3.0,0.0,0.0,0.0,0.0,9092.0,0.0,0.0,25.0,1335.0,9118.0,7330.0,1.0,6.0,0.0,2.0,119.0,B,8.044980606785156
15,20453,181522877,178884734,0.0,3923.0,2467.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,545.0,3916.0,3211.0,3.0,4.0,7.0,2.0,33.0,Start,11.342901892512398
16,53276,215418358,196126675,0.0,17717.0,11271.0,5.0,2.0,2.0,0.0,1.0,13762.0,0.0,0.0,33.0,2501.0,17690.0,14362.0,19.0,12.0,5.0,8.0,137.0,B,8.461964166849592
17,627468,336124839,336721440,1.0,7801.0,4927.0,2.0,1.0,0.0,0.0,0.0,3072.0,0.0,0.0,13.0,955.0,7775.0,6398.0,7.0,5.0,6.0,5.0,72.0,C,11.041233578085876
18,21920512,32396813,30587879,0.0,10255.0,6741.0,1.0,0.0,0.0,0.0,0.0,10106.0,0.0,0.0,24.0,1580.0,10158.0,9151.0,3.0,5.0,0.0,2.0,103.0,B,10.980608956269442
19,38115,135632883,135615831,0.0,40019.0,25317.0,12.0,0.0,1.0,0.0,0.0,1066.0,0.0,0.0,95.0,5735.0,39898.0,34236.0,39.0,11.0,21.0,18.0,243.0,B,7.437946054307344
20,277570,239929981,244737808,1.0,9836.0,6125.0,3.0,0.0,0.0,4.0,0.0,7551.0,0.0,0.0,13.0,1333.0,9700.0,7048.0,3.0,7.0,3.0,11.0,121.0,C,15.605581769553712
21,77231,20601442,25884139,1.0,1073.0,705.0,3.0,0.0,0.0,0.0,0.0,1065.0,0.0,0.0,2.0,153.0,1073.0,918.0,1.0,1.0,0.0,2.0,11.0,Stub,11.47844738450862
22,167097,30468743,27471091,0.0,11106.0,7082.0,1.0,0.0,0.0,0.0,0.0,11084.0,0.0,0.0,22.0,1705.0,11096.0,9779.0,6.0,8.0,0.0,1.0,78.0,B,6.957535769718713
23,17901849,674935613,674179550,0.0,9179.0,4768.0,1.0,6.0,0.0,0.0,1.0,1175.0,0.0,0.0,8.0,1041.0,9163.0,4754.0,23.0,5.0,21.0,20.0,49.0,GA,13.526140227873876
24,1866599,272777271,272561699,0.0,23220.0,14022.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,3080.0,23157.0,18243.0,25.0,10.0,25.0,9.0,151.0,B,14.506969480885603
25,605304,202643909,202646469,1.0,27681.0,16585.0,6.0,0.0,0.0,0.0,1.0,24445.0,0.0,0.0,81.0,3705.0,27679.0,23335.0,12.0,10.0,6.0,11.0,218.0,B,10.272862976288344
26,1972411,194030735,192766055,0.0,8866.0,5319.0,3.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,26.0,1201.0,8856.0,7418.0,12.0,8.0,13.0,0.0,57.0,B,11.386074064377606
27,274848,267907259,293384161,1.0,17456.0,10266.0,4.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,24.0,2195.0,17379.0,10795.0,20.0,8.0,20.0,31.0,76.0,C,11.083793192504672
28,19373898,43563870,46174372,1.0,4073.0,2621.0,5.0,0.0,0.0,0.0,0.0,4010.0,0.0,0.0,10.0,605.0,4022.0,3409.0,3.0,3.0,0.0,3.0,51.0,Start,9.739113712620416
29,106164,339551615,339319240,0.0,3049.0,2007.0,4.0,0.0,0.0,0.0,0.0,2420.0,0.0,0.0,3.0,389.0,2987.0,2477.0,0.0,4.0,1.0,5.0,51.0,Start,15.605581769553712
30,3390,20387799,21981248,1.0,47605.0,27946.0,5.0,0.0,0.0,0.0,0.0,47498.0,0.0,0.0,75.0,6169.0,47588.0,38699.0,89.0,13.0,0.0,8.0,400.0,B,5.275193828189355
31,322148,271818396,247719053,0.0,2991.0,1915.0,1.0,0.0,0.0,0.0,0.0,2983.0,0.0,0.0,4.0,470.0,2991.0,2392.0,2.0,4.0,0.0,7.0,26.0,Start,9.702948436152347
32,625125,423760302,548833146,1.0,31147.0,19646.0,3.0,1.0,1.0,0.0,0.0,3768.0,0.0,0.0,62.0,4449.0,30979.0,24936.0,12.0,10.0,10.0,15.0,277.0,B,14.912434588993769
33,2643257,99801447,100935871,1.0,11221.0,6632.0,3.0,0.0,0.0,10.0,1.0,11221.0,0.0,0.0,16.0,1428.0,11221.0,7983.0,8.0,4.0,0.0,6.0,116.0,B,11.942020123424069
34,20850395,288175871,288086137,0.0,8472.0,5486.0,1.0,0.0,0.0,0.0,0.0,1235.0,0.0,0.0,20.0,1113.0,8458.0,7701.0,7.0,8.0,6.0,5.0,28.0,C,13.6596716204984
35,1715,196475671,226948323,1.0,53406.0,34862.0,7.0,12.0,1.0,0.0,0.0,440.0,0.0,0.0,88.0,8379.0,53135.0,45270.0,25.0,11.0,26.0,39.0,401.0,B,12.022062831097603
36,15516,210870861,218655765,1.0,10340.0,5605.0,5.0,3.0,2.0,0.0,1.0,2205.0,0.0,0.0,14.0,1187.0,10297.0,7133.0,11.0,7.0,7.0,9.0,129.0,B,9.235680786725483
37,156661,178923767,181573904,1.0,13892.0,7537.0,2.0,1.0,2.0,0.0,0.0,4324.0,0.0,0.0,22.0,1770.0,13830.0,12033.0,15.0,10.0,16.0,6.0,44.0,C,15.605581769553712
38,3705615,228151736,228532381,1.0,1807.0,1103.0,4.0,2.0,0.0,0.0,0.0,1231.0,0.0,0.0,3.0,255.0,1807.0,1324.0,2.0,3.0,2.0,4.0,21.0,Stub,11.693558764125568
39,1060572,115196431,115404872,1.0,7158.0,4565.0,2.0,0.0,0.0,0.0,1.0,7017.0,0.0,0.0,22.0,977.0,7037.0,5923.0,1.0,6.0,0.0,3.0,71.0,B,12.715210011657549
40,266473,152655063,165626292,1.0,5732.0,3726.0,3.0,0.0,2.0,0.0,0.0,5706.0,0.0,0.0,17.0,875.0,5732.0,4886.0,2.0,7.0,0.0,4.0,63.0,Start,11.386074064377606
41,19088,210777408,208139008,0.0,31855.0,19234.0,5.0,0.0,2.0,0.0,1.0,28998.0,0.0,0.0,36.0,4008.0,31565.0,23047.0,23.0,12.0,4.0,35.0,389.0,B,6.929335648282875
42,905253,82397483,83984500,1.0,4298.0,2408.0,1.0,0.0,3.0,0.0,0.0,3233.0,0.0,0.0,9.0,548.0,4298.0,3191.0,7.0,3.0,2.0,4.0,45.0,Start,14.21928740843382
43,1117301,337343751,337270359,0.0,5722.0,3635.0,2.0,5.0,0.0,0.0,0.0,5654.0,0.0,0.0,12.0,875.0,5668.0,3259.0,2.0,5.0,0.0,21.0,54.0,Start,8.604336147484236
44,45609,368109896,369278561,1.0,41775.0,26471.0,9.0,14.0,2.0,0.0,0.0,13058.0,0.0,0.0,94.0,6007.0,41429.0,30361.0,19.0,7.0,23.0,53.0,341.0,B,8.295700283728927
45,106164,339319240,339551615,1.0,3031.0,1996.0,4.0,0.0,0.0,0.0,0.0,2402.0,0.0,0.0,3.0,387.0,2969.0,2477.0,0.0,4.0,1.0,5.0,51.0,Start,15.605581769553712
46,16831059,602375100,601995577,0.0,89142.0,50205.0,2.0,156.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,10806.0,88888.0,35823.0,94.0,12.0,282.0,218.0,295.0,GA,4.894123932636151
47,264326,81921095,83538066,1.0,2989.0,1954.0,3.0,0.0,0.0,0.0,0.0,2967.0,0.0,0.0,1.0,425.0,2982.0,2635.0,0.0,2.0,0.0,3.0,34.0,Start,12.661142790387272
48,426399,23885156,24719611,1.0,1790.0,1227.0,1.0,0.0,0.0,0.0,0.0,1779.0,0.0,0.0,2.0,304.0,1789.0,1681.0,0.0,0.0,0.0,1.0,16.0,Start,10.649754711952452
49,16831059,601995577,602375100,1.0,89157.0,50214.0,2.0,156.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,10807.0,88903.0,35824.0,94.0,12.0,282.0,219.0,295.0,GA,4.894123932636151
50,637333,331906425,331121846,0.0,14397.0,9691.0,2.0,0.0,3.0,0.0,0.0,9551.0,0.0,0.0,34.0,2181.0,14369.0,12997.0,0.0,7.0,5.0,8.0,80.0,B,9.689379706946278
51,22763,107607483,98956033,0.0,26987.0,17836.0,8.0,1.0,12.0,0.0,0.0,6401.0,0.0,0.0,77.0,4293.0,26791.0,24092.0,6.0,7.0,4.0,19.0,176.0,B,8.50061632128387
52,1824001,33503732,39871260,1.0,19482.0,12582.0,1.0,0.0,0.0,0.0,0.0,19455.0,0.0,0.0,26.0,2766.0,19481.0,16250.0,7.0,7.0,0.0,3.0,180.0,B,10.20741906803596
53,78404,110103484,120443995,1.0,1993.0,1336.0,1.0,0.0,0.0,0.0,0.0,1971.0,0.0,0.0,3.0,298.0,1985.0,1780.0,0.0,1.0,0.0,1.0,27.0,Start,13.526140227873876
54,10188356,583437893,761373450,1.0,2454.0,1385.0,2.0,0.0,0.0,0.0,0.0,2450.0,0.0,0.0,1.0,234.0,2452.0,752.0,2.0,2.0,0.0,15.0,14.0,Stub,15.605581769553712
55,27790,266357194,266303631,0.0,132188.0,77477.0,4.0,198.0,1.0,0.0,1.0,21935.0,0.0,0.0,171.0,15635.0,131611.0,59420.0,88.0,13.0,220.0,219.0,496.0,B,7.422463690158967
56,1673438,290470504,290527193,1.0,6456.0,3610.0,2.0,9.0,8.0,0.0,0.0,4218.0,0.0,0.0,10.0,739.0,6426.0,2907.0,8.0,7.0,6.0,26.0,40.0,C,14.912434588993769
57,139176,610476135,628734489,1.0,25272.0,15633.0,3.0,4.0,2.0,0.0,0.0,13507.0,0.0,0.0,45.0,3318.0,25221.0,18198.0,7.0,6.0,36.0,39.0,311.0,C,7.990776404842639
