,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,29083,74466086,74044301,0.0,24804.0,16352.0,1.0,0.0,0.0,0.0,0.0,24776.0,0.0,0.0,32.0,3822.0,24782.0,22986.0,16.0,10.0,1.0,2.0,130.0,B,10.45808729274026
1,34824098,674076817,672274508,0.0,3601.0,1681.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,342.0,3589.0,826.0,11.0,3.0,9.0,15.0,14.0,Start,15.605581769553712
2,40379651,184280323,189661538,1.0,34170.0,19269.0,10.0,24.0,2.0,3.0,1.0,9792.0,0.0,0.0,24.0,4197.0,34059.0,22087.0,32.0,10.0,29.0,49.0,289.0,C,6.279683056943258
3,39634869,336390736,336608209,1.0,8290.0,5478.0,3.0,1.0,1.0,0.0,1.0,2904.0,0.0,0.0,7.0,1134.0,8290.0,7037.0,1.0,5.0,8.0,6.0,38.0,C,12.0502337080643
4,6097297,4245315,4244912,0.0,24629.0,13872.0,3.0,0.0,0.0,0.0,0.0,24617.0,0.0,0.0,45.0,3076.0,24625.0,19149.0,75.0,9.0,0.0,0.0,224.0,B,6.504944662669494
5,198618,220503931,221793728,1.0,17573.0,10833.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2331.0,17507.0,14867.0,22.0,7.0,23.0,13.0,76.0,C,11.342901892512398
6,3264882,29498094,29498778,1.0,309.0,191.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,42.0,309.0,237.0,0.0,1.0,0.0,1.0,5.0,Stub,13.813822300325658
7,1025066,520835360,519690748,0.0,2631.0,1593.0,1.0,0.0,0.0,0.0,0.0,2621.0,0.0,0.0,2.0,343.0,2627.0,2001.0,6.0,0.0,0.0,7.0,2.0,Stub,10.801560724820456
8,73594,6327630,4650887,0.0,2295.0,1545.0,0.0,0.0,0.0,0.0,0.0,2287.0,0.0,0.0,11.0,359.0,2295.0,2050.0,0.0,3.0,0.0,1.0,34.0,Start,13.120675119765712
9,4685763,429869985,429869267,0.0,42690.0,27355.0,5.0,26.0,2.0,0.0,0.0,2973.0,0.0,0.0,43.0,5309.0,42524.0,30476.0,44.0,16.0,28.0,48.0,454.0,B,13.996143857119613
10,3464486,966227524,545459946,0.0,147.0,110.0,3.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,18.0,147.0,130.0,0.0,0.0,0.0,0.0,4.0,Stub,14.506969480885603
11,1806648,701895730,588590405,0.0,23874.0,15071.0,14.0,8.0,7.0,0.0,0.0,17648.0,0.0,0.0,47.0,3397.0,23581.0,19266.0,7.0,9.0,23.0,34.0,103.0,C,13.996143857119613
12,955128,54819757,54909052,1.0,1038.0,682.0,2.0,0.0,0.0,0.0,0.0,1025.0,0.0,0.0,4.0,151.0,1031.0,868.0,0.0,0.0,0.0,2.0,18.0,Stub,11.545138759007294
13,238246,9070682,9078913,1.0,7427.0,4641.0,2.0,0.0,0.0,0.0,0.0,7411.0,0.0,0.0,12.0,1037.0,7425.0,6502.0,8.0,5.0,0.0,1.0,55.0,B,11.916702315439776
14,874283,37639778,60919258,1.0,1723.0,1108.0,1.0,0.0,0.0,0.0,0.0,1708.0,0.0,0.0,3.0,250.0,1718.0,1594.0,2.0,3.0,0.0,1.0,14.0,Stub,13.813822300325658
15,4272945,892366371,697190663,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,18.0,13.0,0.0,0.0,0.0,0.0,1.0,Stub,14.912434588993769
16,14975,96133378,94045508,0.0,50434.0,30065.0,5.0,19.0,2.0,8.0,0.0,0.0,0.0,0.0,100.0,6563.0,50271.0,39023.0,60.0,15.0,53.0,26.0,285.0,B,12.470087553624564
17,2672176,27303815,27436860,1.0,2762.0,1794.0,2.0,0.0,0.0,0.0,0.0,2738.0,0.0,0.0,12.0,396.0,2762.0,2398.0,4.0,1.0,0.0,2.0,4.0,Start,11.916702315439776
18,698454,4534484,4753135,1.0,3565.0,2408.0,0.0,0.0,0.0,0.0,0.0,3557.0,0.0,0.0,8.0,472.0,3565.0,3148.0,0.0,0.0,0.0,2.0,62.0,Start,9.217020364008084
19,3431172,202185334,202306964,1.0,2307.0,1437.0,1.0,0.0,0.0,0.0,0.0,2291.0,0.0,0.0,3.0,305.0,2303.0,1857.0,4.0,2.0,0.0,3.0,32.0,Start,12.34748523153223
