,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,1009303,915922037,914534042,0.0,17078.0,10860.0,12.0,9.0,0.0,0.0,0.0,5468.0,0.0,0.0,25.0,2491.0,17056.0,9811.0,5.0,6.0,19.0,25.0,122.0,C,8.31939005485133
1,50634896,904293726,902739600,0.0,15455.0,8372.0,1.0,22.0,0.0,6.0,1.0,6800.0,0.0,0.0,6.0,1671.0,15431.0,5712.0,25.0,10.0,22.0,37.0,54.0,C,14.912434588993769
2,26184478,897851276,925689017,1.0,1564.0,844.0,6.0,0.0,0.0,0.0,1.0,1552.0,0.0,0.0,0.0,170.0,1554.0,693.0,0.0,3.0,0.0,8.0,29.0,Stub,10.785300203948676
3,30999976,888276215,962838394,1.0,2023.0,1195.0,7.0,0.0,0.0,0.0,1.0,2019.0,0.0,0.0,0.0,248.0,2023.0,1131.0,0.0,3.0,0.0,5.0,38.0,Stub,15.605581769553712
4,17752,832889377,837019433,1.0,105246.0,59054.0,13.0,90.0,8.0,6.0,1.0,15830.0,0.0,0.0,94.0,12472.0,104773.0,59556.0,155.0,11.0,148.0,194.0,601.0,B,6.688941542354874
5,6150321,943398554,828107841,0.0,10753.0,6180.0,15.0,10.0,0.0,0.0,1.0,3950.0,0.0,0.0,16.0,1397.0,10683.0,6290.0,9.0,7.0,19.0,22.0,71.0,GA,13.996143857119613
6,31169538,831372583,896497921,1.0,1234.0,798.0,3.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,111.0,1234.0,194.0,0.0,2.0,1.0,7.0,18.0,Stub,15.605581769553712
7,2645,916335011,839847838,0.0,25979.0,14968.0,6.0,23.0,0.0,0.0,1.0,5719.0,8.0,0.0,22.0,3231.0,25855.0,13241.0,28.0,11.0,34.0,67.0,113.0,GA,8.685897919706301
8,21562812,876399086,854842721,0.0,6534.0,4226.0,4.0,1.0,2.0,0.0,0.0,4792.0,0.0,0.0,4.0,909.0,6534.0,5734.0,3.0,7.0,1.0,10.0,23.0,Start,14.912434588993769
9,50707312,825871094,893937260,1.0,723.0,443.0,1.0,1.0,0.0,0.0,0.0,719.0,0.0,0.0,0.0,78.0,721.0,134.0,0.0,2.0,0.0,5.0,7.0,Stub,15.605581769553712
10,1765551,945413312,825530357,0.0,26.0,19.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,26.0,21.0,0.0,0.0,0.0,0.0,1.0,Stub,14.912434588993769
11,249425,912039888,912039618,0.0,8639.0,5230.0,6.0,5.0,0.0,0.0,1.0,3087.0,0.0,0.0,12.0,1137.0,8616.0,5233.0,1.0,5.0,11.0,16.0,53.0,C,11.528044325647992
12,384810,931209953,894168107,0.0,27569.0,15601.0,2.0,26.0,5.0,0.0,0.0,1382.0,0.0,2.0,14.0,3306.0,27545.0,15066.0,37.0,8.0,32.0,39.0,118.0,C,15.605581769553712
13,38817,863925658,917709993,1.0,17188.0,10048.0,8.0,5.0,1.0,0.0,1.0,6309.0,0.0,0.0,22.0,2231.0,17175.0,12735.0,12.0,6.0,7.0,24.0,135.0,C,8.642391783683475
14,17239747,924322887,949454425,1.0,5252.0,2979.0,9.0,0.0,0.0,0.0,1.0,2048.0,0.0,0.0,5.0,641.0,5252.0,2280.0,2.0,5.0,3.0,22.0,63.0,Start,11.821392135635453
15,8116755,872420553,955613686,1.0,26260.0,17094.0,10.0,1.0,0.0,0.0,1.0,7721.0,0.0,0.0,37.0,3674.0,26257.0,7808.0,3.0,8.0,1.0,86.0,100.0,C,14.912434588993769
16,50993728,887417535,887599159,1.0,4732.0,2382.0,6.0,3.0,0.0,0.0,1.0,4690.0,0.0,0.0,3.0,476.0,4696.0,2302.0,3.0,4.0,3.0,10.0,70.0,Start,12.56105933183029
17,11784033,947717285,975208358,1.0,7851.0,5109.0,2.0,3.0,1.0,0.0,1.0,3704.0,0.0,0.0,28.0,1101.0,7851.0,5674.0,5.0,7.0,4.0,15.0,44.0,C,12.171594565068569
