,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,4274371,473579681,610282596,1.0,2122.0,1319.0,5.0,0.0,0.0,0.0,1.0,2085.0,0.0,0.0,0.0,237.0,2093.0,1168.0,1.0,3.0,0.0,9.0,32.0,Stub,12.897531568451504
1,16266526,972685322,842935105,0.0,2674.0,1376.0,5.0,0.0,0.0,0.0,1.0,2008.0,0.0,0.0,0.0,281.0,2674.0,965.0,7.0,2.0,1.0,10.0,29.0,Stub,14.912434588993769
2,59150,463376442,672406516,1.0,1825.0,1152.0,3.0,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,1.0,264.0,1818.0,1459.0,0.0,3.0,2.0,3.0,22.0,Stub,13.526140227873876
3,22480184,641225956,968187469,1.0,4091.0,2691.0,1.0,0.0,0.0,0.0,0.0,2671.0,0.0,0.0,7.0,626.0,4091.0,3613.0,1.0,7.0,1.0,6.0,23.0,Start,14.506969480885603
4,19009024,504959317,729011062,1.0,4927.0,2973.0,6.0,1.0,0.0,0.0,1.0,3050.0,0.0,0.0,10.0,648.0,4907.0,3459.0,2.0,4.0,2.0,5.0,55.0,Start,12.079221244937552
5,18986405,477550344,961413721,1.0,782.0,471.0,1.0,0.0,0.0,0.0,0.0,754.0,0.0,0.0,0.0,112.0,756.0,529.0,0.0,1.0,0.0,6.0,19.0,Stub,13.6596716204984
6,9912046,799604110,550055355,0.0,5563.0,3063.0,7.0,2.0,0.0,0.0,1.0,3666.0,0.0,0.0,3.0,609.0,5558.0,3040.0,5.0,4.0,4.0,10.0,47.0,Start,13.207686496755342
7,23688245,464907830,688110094,1.0,1219.0,714.0,3.0,0.0,0.0,0.0,0.0,643.0,0.0,0.0,2.0,162.0,1219.0,906.0,1.0,1.0,1.0,5.0,10.0,Stub,13.996143857119613
8,35319301,485476183,489603950,1.0,4474.0,2920.0,1.0,0.0,0.0,0.0,1.0,4446.0,0.0,0.0,7.0,649.0,4452.0,3399.0,1.0,6.0,5.0,6.0,27.0,Start,14.912434588993769
9,36032979,608246397,677450308,1.0,1853.0,798.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,1852.0,102.0,0.0,1.0,1.0,6.0,2.0,Stub,14.21928740843382
10,25824799,561568931,561569038,1.0,970.0,578.0,1.0,1.0,0.0,0.0,1.0,968.0,0.0,0.0,0.0,88.0,970.0,147.0,1.0,1.0,0.0,6.0,6.0,Stub,15.605581769553712
11,61658513,914378695,915766412,1.0,3746.0,2128.0,0.0,1.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,256.0,3718.0,187.0,1.0,1.0,1.0,7.0,18.0,Stub,13.408357192217494
12,53635253,787065691,780762811,0.0,4233.0,2622.0,7.0,2.0,0.0,0.0,0.0,296.0,0.0,0.0,7.0,582.0,4233.0,3391.0,2.0,4.0,9.0,5.0,17.0,Start,14.506969480885603
13,41492106,588204729,588204624,0.0,3103.0,1765.0,7.0,5.0,0.0,0.0,1.0,945.0,0.0,0.0,2.0,325.0,3101.0,1360.0,8.0,4.0,4.0,11.0,18.0,Start,14.21928740843382
14,64254408,974369722,980129592,1.0,1979.0,1135.0,3.0,0.0,0.0,0.0,1.0,665.0,0.0,0.0,2.0,220.0,1966.0,930.0,1.0,3.0,1.0,11.0,26.0,Stub,13.302996676559667
15,3799783,821855148,769142491,0.0,25453.0,14975.0,3.0,32.0,5.0,0.0,1.0,10882.0,0.0,0.0,22.0,3186.0,25397.0,9919.0,20.0,7.0,42.0,73.0,91.0,C,12.309744903549385
16,42103164,600127425,616778339,1.0,1834.0,1079.0,0.0,0.0,0.0,0.0,1.0,867.0,0.0,0.0,2.0,224.0,1834.0,776.0,2.0,1.0,2.0,5.0,5.0,Stub,13.408357192217494
17,954553,823170177,822580466,0.0,3202.0,1967.0,8.0,0.0,0.0,0.0,1.0,2238.0,0.0,0.0,4.0,366.0,3144.0,2081.0,4.0,3.0,1.0,8.0,37.0,Start,13.207686496755342
18,37720,326566986,326566795,0.0,3150.0,1943.0,3.0,0.0,0.0,0.0,0.0,3107.0,0.0,0.0,9.0,396.0,3119.0,2200.0,3.0,4.0,1.0,5.0,40.0,Start,8.680969373505153
19,54383,490155941,395211592,0.0,7554.0,4764.0,4.0,0.0,0.0,0.0,0.0,6612.0,0.0,0.0,11.0,1087.0,7367.0,6362.0,1.0,6.0,1.0,3.0,91.0,B,12.386705944685511
20,1869512,369458462,369443410,0.0,1413.0,851.0,6.0,0.0,0.0,0.0,0.0,1405.0,0.0,0.0,1.0,203.0,1413.0,1145.0,1.0,2.0,0.0,3.0,16.0,Stub,15.605581769553712
21,42024914,796842578,611877433,0.0,4352.0,2404.0,5.0,1.0,5.0,0.0,1.0,1564.0,0.0,0.0,3.0,456.0,4327.0,2811.0,9.0,5.0,1.0,15.0,31.0,Start,14.912434588993769
