,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,60114,854360020,895728119,1.0,15019.0,8595.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1963.0,15017.0,9542.0,22.0,7.0,23.0,28.0,65.0,C,15.605581769553712
1,26005215,712081189,726483943,1.0,6283.0,3844.0,7.0,3.0,8.0,0.0,1.0,6262.0,0.0,0.0,7.0,855.0,6264.0,3938.0,3.0,5.0,3.0,19.0,46.0,Start,13.526140227873876
2,1309212,430434725,467238287,1.0,5756.0,3596.0,1.0,2.0,0.0,0.0,0.0,4840.0,0.0,0.0,10.0,830.0,5742.0,4628.0,4.0,4.0,5.0,9.0,21.0,Start,13.6596716204984
3,2146638,347025174,347257391,1.0,6700.0,4057.0,2.0,0.0,1.0,0.0,0.0,6629.0,0.0,0.0,10.0,781.0,6639.0,5378.0,3.0,3.0,0.0,4.0,179.0,Start,12.661142790387272
4,3153949,551990519,551599176,0.0,23815.0,11563.0,10.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,52.0,2387.0,23575.0,11967.0,50.0,6.0,51.0,37.0,195.0,C,10.555725762304176
5,2346196,767182578,675170153,0.0,12223.0,6770.0,6.0,9.0,0.0,1.0,1.0,4882.0,0.0,0.0,8.0,1348.0,12115.0,4815.0,18.0,9.0,12.0,85.0,83.0,C,11.400889150162747
6,21897683,276480278,276394367,0.0,401.0,246.0,2.0,0.0,2.0,0.0,0.0,401.0,0.0,0.0,0.0,49.0,401.0,256.0,0.0,0.0,0.0,4.0,5.0,Stub,14.506969480885603
7,3219250,717627915,641300738,0.0,10654.0,6952.0,2.0,5.0,0.0,0.0,1.0,5761.0,0.0,0.0,24.0,1457.0,10650.0,7530.0,5.0,6.0,5.0,11.0,81.0,C,14.912434588993769
8,76592,505109191,495670951,0.0,49338.0,27079.0,9.0,56.0,0.0,10.0,1.0,4047.0,0.0,0.0,55.0,6059.0,49014.0,26917.0,57.0,11.0,77.0,71.0,260.0,GA,7.605903190054263
9,6141500,249620238,332302260,1.0,2878.0,1882.0,2.0,0.0,0.0,0.0,0.0,2834.0,0.0,0.0,2.0,388.0,2846.0,2462.0,0.0,3.0,0.0,3.0,46.0,Start,13.996143857119613
10,839756,377640402,713275096,1.0,5889.0,3731.0,3.0,0.0,0.0,0.0,0.0,4509.0,0.0,0.0,69.0,848.0,5874.0,4805.0,1.0,6.0,1.0,7.0,80.0,Start,12.204384387891558
11,56444,485638879,591843536,1.0,16433.0,9807.0,6.0,8.0,6.0,0.0,0.0,3847.0,0.0,0.0,31.0,2252.0,16197.0,11866.0,12.0,7.0,11.0,22.0,156.0,C,7.321582465305187
12,201330,735955571,780501286,1.0,42546.0,27456.0,16.0,9.0,6.0,4.0,0.0,22303.0,0.0,1.0,73.0,5912.0,42452.0,32947.0,12.0,13.0,30.0,43.0,462.0,C,11.776940373064615
13,19881804,697431296,625073575,0.0,22344.0,13579.0,1.0,8.0,2.0,25.0,0.0,10465.0,0.0,0.0,33.0,3026.0,22303.0,15129.0,24.0,9.0,21.0,25.0,119.0,C,8.97754039337418
14,17239781,209850688,212512961,1.0,633.0,418.0,0.0,0.0,0.0,0.0,0.0,631.0,0.0,0.0,3.0,89.0,633.0,540.0,0.0,0.0,0.0,2.0,5.0,Stub,14.912434588993769
15,957830,377874173,377867900,0.0,1030.0,667.0,2.0,0.0,0.0,0.0,0.0,1025.0,0.0,0.0,0.0,139.0,1029.0,756.0,0.0,1.0,0.0,1.0,24.0,Stub,10.769299862602235
16,1219251,695976845,490004741,0.0,6338.0,3955.0,1.0,3.0,0.0,0.0,0.0,3125.0,0.0,0.0,8.0,860.0,6338.0,5198.0,4.0,5.0,5.0,3.0,33.0,B,13.408357192217494
17,32541,612351232,731489010,1.0,77448.0,45493.0,5.0,109.0,7.0,0.0,1.0,11780.0,0.0,0.0,58.0,9834.0,77142.0,39235.0,38.0,26.0,148.0,138.0,243.0,B,14.912434588993769
18,2559266,423278386,335958285,0.0,34587.0,21972.0,1.0,0.0,0.0,0.0,0.0,34012.0,0.0,0.0,63.0,4995.0,34558.0,29317.0,4.0,19.0,2.0,1.0,373.0,B,8.723144298555866
19,3143864,759299133,759300305,1.0,27665.0,11967.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,28.0,2676.0,27665.0,23731.0,120.0,7.0,120.0,16.0,108.0,B,12.514539316195396
20,23533163,482130385,453036658,0.0,40503.0,21423.0,3.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,4723.0,40320.0,19581.0,74.0,6.0,88.0,80.0,162.0,GA,12.56105933183029
21,1309212,467238287,430434725,0.0,2816.0,1605.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,358.0,2810.0,2185.0,4.0,4.0,9.0,3.0,9.0,Start,13.6596716204984
22,72346,377632491,377537449,0.0,38851.0,25171.0,8.0,0.0,14.0,0.0,0.0,6657.0,0.0,0.0,96.0,5689.0,38777.0,32466.0,21.0,19.0,44.0,66.0,193.0,B,9.840390666768869
23,553888,641598023,548080210,0.0,9643.0,6392.0,4.0,0.0,0.0,0.0,0.0,9605.0,0.0,0.0,36.0,1442.0,9631.0,8787.0,4.0,3.0,0.0,5.0,71.0,B,15.605581769553712
24,98514,145696033,161183901,1.0,8729.0,5428.0,5.0,0.0,0.0,0.0,0.0,8676.0,0.0,0.0,24.0,1119.0,8698.0,7208.0,9.0,5.0,0.0,3.0,126.0,B,15.605581769553712
25,528282,597803590,597803695,1.0,16486.0,9311.0,2.0,17.0,1.0,0.0,0.0,4285.0,0.0,0.0,25.0,2148.0,16486.0,10718.0,20.0,8.0,34.0,28.0,119.0,C,2.9671781567808138
26,13930,899708200,938547107,1.0,72824.0,43700.0,13.0,64.0,8.0,0.0,1.0,21261.0,0.0,0.0,86.0,9955.0,72740.0,41764.0,64.0,10.0,93.0,127.0,593.0,B,11.288093656017402
27,1328783,523596435,586779044,1.0,8570.0,5062.0,8.0,0.0,0.0,0.0,1.0,6198.0,0.0,0.0,6.0,1093.0,8570.0,5821.0,4.0,8.0,2.0,14.0,51.0,C,13.526140227873876
28,10730517,175750878,175910025,1.0,8458.0,5270.0,4.0,0.0,0.0,0.0,0.0,5566.0,0.0,0.0,21.0,1179.0,8454.0,6814.0,2.0,6.0,3.0,4.0,93.0,Start,6.5940582569006825
29,1557265,488383179,487783290,0.0,237.0,149.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,33.0,237.0,201.0,0.0,0.0,0.0,1.0,2.0,Stub,15.605581769553712
30,30862363,641391794,940894023,1.0,26668.0,16977.0,10.0,4.0,2.0,0.0,1.0,16035.0,0.0,0.0,61.0,3960.0,26638.0,23532.0,18.0,11.0,15.0,22.0,94.0,C,11.942020123424069
31,189909,384942962,384933162,0.0,11136.0,7167.0,1.0,0.0,0.0,0.0,0.0,11119.0,0.0,0.0,13.0,1660.0,11135.0,9665.0,5.0,3.0,0.0,7.0,90.0,Start,12.470087553624564
32,7710110,500487009,417622260,0.0,28104.0,17044.0,8.0,20.0,0.0,0.0,1.0,9887.0,0.0,0.0,51.0,3750.0,28067.0,19603.0,22.0,5.0,35.0,25.0,78.0,GA,12.23828593956724
33,2723308,771147212,779290546,1.0,10169.0,6743.0,8.0,0.0,0.0,0.0,0.0,6093.0,0.0,0.0,12.0,1510.0,9974.0,9568.0,5.0,6.0,3.0,3.0,18.0,C,15.605581769553712
34,72346,377537449,377632491,1.0,38834.0,25161.0,8.0,0.0,14.0,0.0,0.0,6657.0,0.0,0.0,96.0,5687.0,38760.0,32466.0,21.0,19.0,44.0,66.0,193.0,B,9.840390666768869
35,16740112,963298752,958944279,0.0,542.0,368.0,2.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,68.0,542.0,394.0,0.0,2.0,0.0,3.0,7.0,Stub,13.526140227873876
36,18993825,886544979,631135105,0.0,30339.0,18593.0,4.0,6.0,1.0,0.0,0.0,10845.0,0.0,0.0,40.0,4190.0,30246.0,22576.0,13.0,7.0,30.0,39.0,201.0,C,5.6159165207765325
37,2146638,347257391,347025174,0.0,6711.0,4062.0,2.0,0.0,1.0,0.0,0.0,6640.0,0.0,0.0,10.0,782.0,6650.0,5378.0,3.0,3.0,0.0,4.0,179.0,Start,12.661142790387272
38,16926,761425179,746127099,0.0,18824.0,10315.0,6.0,26.0,0.0,0.0,0.0,6713.0,0.0,0.0,13.0,2340.0,18536.0,10561.0,32.0,8.0,36.0,46.0,85.0,C,8.91473949213515
39,175461,824378959,954545005,1.0,55954.0,32395.0,2.0,10.0,2.0,0.0,0.0,4794.0,0.0,0.0,61.0,6518.0,53894.0,38587.0,36.0,5.0,35.0,101.0,455.0,C,13.302996676559667
40,3260388,243219780,243344904,1.0,1743.0,1179.0,1.0,0.0,0.0,0.0,0.0,1734.0,0.0,0.0,3.0,286.0,1743.0,1510.0,0.0,1.0,0.0,2.0,14.0,Start,11.000411583565622
