,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,28300028,549288519,557699477,1.0,6548.0,3222.0,1.0,7.0,0.0,0.0,0.0,1118.0,0.0,0.0,5.0,686.0,6542.0,3370.0,15.0,7.0,21.0,12.0,6.0,Start,13.408357192217494
1,1639135,924557580,775078867,0.0,7456.0,3728.0,3.0,9.0,0.0,0.0,0.0,7444.0,0.0,0.0,5.0,774.0,7452.0,3527.0,14.0,4.0,16.0,13.0,25.0,C,12.079221244937552
2,560365,735732611,662797208,0.0,26905.0,16097.0,7.0,12.0,7.0,0.0,1.0,7978.0,0.0,0.0,23.0,3389.0,26891.0,18883.0,28.0,8.0,34.0,41.0,171.0,C,14.21928740843382
3,32886037,853360007,764059012,0.0,159.0,111.0,1.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,19.0,159.0,118.0,0.0,0.0,0.0,2.0,2.0,Stub,14.912434588993769
4,25945729,515333224,615516432,1.0,11150.0,5952.0,5.0,17.0,0.0,0.0,1.0,2894.0,0.0,0.0,11.0,1327.0,11109.0,5916.0,24.0,10.0,19.0,28.0,55.0,C,13.207686496755342
5,32032998,764335224,763887722,0.0,30682.0,15527.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,3343.0,30582.0,14133.0,57.0,15.0,69.0,62.0,38.0,C,12.772368425497495
6,37713831,846678697,911017317,1.0,3932.0,2127.0,6.0,0.0,3.0,0.0,1.0,2322.0,0.0,0.0,4.0,428.0,3928.0,2245.0,5.0,3.0,1.0,9.0,21.0,Start,13.813822300325658
7,47269728,916210251,840527191,0.0,6420.0,3425.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,831.0,6365.0,3167.0,15.0,7.0,13.0,25.0,26.0,Start,15.605581769553712
8,20979279,787722243,798344838,1.0,4457.0,2514.0,11.0,0.0,0.0,0.0,1.0,1025.0,0.0,0.0,0.0,478.0,4452.0,2609.0,6.0,11.0,5.0,14.0,78.0,Start,14.912434588993769
9,27091466,738510811,738616486,1.0,18366.0,9295.0,13.0,40.0,0.0,0.0,1.0,1666.0,0.0,0.0,22.0,1913.0,18286.0,12648.0,42.0,12.0,40.0,50.0,31.0,C,12.966524439938452
10,38981459,978342150,548189625,0.0,3737.0,2162.0,2.0,0.0,0.0,0.0,1.0,3714.0,0.0,0.0,3.0,458.0,3724.0,2849.0,5.0,3.0,0.0,6.0,24.0,Start,14.506969480885603
11,51755341,741382499,741290693,0.0,19496.0,11804.0,1.0,18.0,0.0,0.0,0.0,2266.0,0.0,0.0,20.0,2343.0,19284.0,14462.0,18.0,5.0,18.0,22.0,19.0,C,14.912434588993769
12,10846552,659497558,676749127,1.0,2461.0,1462.0,1.0,0.0,0.0,0.0,0.0,2457.0,0.0,0.0,0.0,331.0,2461.0,2079.0,3.0,2.0,0.0,6.0,5.0,Stub,13.813822300325658
13,984789,872007949,690353991,0.0,26192.0,15752.0,5.0,5.0,2.0,0.0,1.0,3167.0,0.0,0.0,38.0,3506.0,26168.0,20506.0,23.0,7.0,46.0,43.0,88.0,C,15.605581769553712
14,41779532,641285604,633406596,0.0,11445.0,6749.0,1.0,10.0,0.0,0.0,1.0,6351.0,0.0,0.0,11.0,1471.0,11441.0,8289.0,16.0,7.0,10.0,11.0,20.0,C,14.912434588993769
15,1325621,806708481,890960110,1.0,44756.0,27407.0,11.0,4.0,1.0,0.0,1.0,4717.0,0.0,0.0,66.0,5714.0,44269.0,31222.0,17.0,14.0,22.0,33.0,328.0,B,9.113341934533242
16,1436367,578426370,539011678,0.0,3289.0,1845.0,2.0,3.0,4.0,0.0,0.0,3285.0,0.0,1.0,3.0,399.0,3289.0,2203.0,4.0,5.0,4.0,10.0,47.0,Start,12.273377259378508
17,39344682,554450105,554298651,0.0,5736.0,3288.0,5.0,4.0,1.0,0.0,0.0,5726.0,0.0,0.0,3.0,699.0,5736.0,4246.0,9.0,5.0,5.0,7.0,9.0,Start,14.506969480885603
