,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,86395,194600005,385040734,1.0,1490.0,979.0,2.0,0.0,0.0,0.0,0.0,1484.0,0.0,0.0,1.0,225.0,1490.0,1203.0,1.0,1.0,0.0,4.0,8.0,Stub,15.605581769553712
1,5758620,311927878,311781411,0.0,1145.0,683.0,1.0,0.0,2.0,0.0,0.0,1112.0,0.0,0.0,0.0,141.0,1116.0,729.0,0.0,1.0,0.0,7.0,23.0,Stub,13.120675119765712
2,35087,699029459,975710468,1.0,8598.0,5011.0,1.0,0.0,0.0,0.0,0.0,8578.0,0.0,0.0,0.0,1025.0,8582.0,6650.0,0.0,4.0,0.0,8.0,185.0,Start,7.41939577532763
3,1720048,705233353,679985160,0.0,2755.0,1680.0,4.0,0.0,0.0,0.0,1.0,2748.0,0.0,0.0,2.0,396.0,2753.0,1908.0,0.0,2.0,0.0,4.0,44.0,Start,14.912434588993769
4,58926424,869829063,867054747,0.0,2064.0,866.0,5.0,0.0,0.0,0.0,1.0,462.0,0.0,0.0,0.0,169.0,2064.0,1081.0,4.0,3.0,4.0,5.0,23.0,Stub,12.715210011657549
5,2728035,255845505,256039453,1.0,523.0,344.0,1.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,71.0,523.0,462.0,0.0,0.0,0.0,2.0,5.0,Stub,12.772368425497495
6,885351,91122957,139773134,1.0,5925.0,3641.0,2.0,0.0,0.0,0.0,0.0,4816.0,0.0,0.0,7.0,872.0,5924.0,5088.0,5.0,6.0,5.0,2.0,40.0,B,12.23828593956724
7,26810748,92636998,108121596,1.0,43679.0,23994.0,2.0,8.0,4.0,0.0,0.0,43540.0,0.0,0.0,28.0,5071.0,43544.0,26997.0,33.0,14.0,13.0,25.0,701.0,B,5.154348601652649
8,944016,296551989,405384677,1.0,4286.0,2757.0,3.0,0.0,0.0,0.0,0.0,4262.0,0.0,0.0,4.0,625.0,4272.0,3466.0,2.0,5.0,0.0,1.0,36.0,Start,13.120675119765712
9,1029281,241761137,242160186,1.0,34398.0,22092.0,10.0,0.0,0.0,0.0,0.0,34306.0,0.0,0.0,33.0,4659.0,34322.0,31354.0,8.0,6.0,0.0,4.0,358.0,B,11.654338050972283
10,19176456,236364971,251063157,1.0,707.0,390.0,3.0,0.0,0.0,0.0,1.0,704.0,0.0,0.0,0.0,76.0,707.0,246.0,1.0,1.0,0.0,6.0,8.0,Stub,14.912434588993769
11,1482529,91868083,229076139,1.0,3427.0,2046.0,1.0,0.0,0.0,0.0,0.0,3417.0,0.0,0.0,1.0,439.0,3427.0,2682.0,15.0,2.0,0.0,1.0,24.0,Start,12.514539316195396
12,11020642,260071536,260071589,1.0,1371.0,813.0,3.0,0.0,0.0,0.0,1.0,1369.0,0.0,0.0,1.0,172.0,1371.0,520.0,1.0,1.0,0.0,7.0,18.0,Stub,13.813822300325658
13,1297816,123048036,122743056,0.0,889.0,592.0,1.0,0.0,0.0,0.0,0.0,881.0,0.0,0.0,1.0,130.0,889.0,697.0,0.0,2.0,0.0,1.0,12.0,Stub,13.6596716204984
14,28380365,676424998,504662002,0.0,1608.0,819.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,1600.0,178.0,1.0,0.0,1.0,5.0,9.0,Stub,14.912434588993769
15,66904,341113759,341118426,1.0,16073.0,10055.0,2.0,4.0,1.0,0.0,0.0,3674.0,0.0,0.0,25.0,2295.0,16022.0,13453.0,12.0,6.0,8.0,15.0,97.0,C,14.912434588993769
16,13248831,291652044,493611847,1.0,1233.0,722.0,2.0,0.0,0.0,0.0,1.0,1230.0,0.0,0.0,0.0,120.0,1233.0,433.0,0.0,0.0,0.0,3.0,6.0,Stub,12.661142790387272
